   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0  "Barrow"         4       592       0        50               "nul"     108   "S_tarson_D"        64       2       139;
       2         1  "Rarrow"       224       353       2        52       "telephone19"     347   "S_tarson_D"        64       2       168;
       3         1  "Rarrow"       234       465       3        53            "Alarm2"     235   "S_tarson_D"        64       2       162;
       4         1  "Rarrow"       202       197       0        50               "nul"     503   "S_tarson_B"        62       1       121;
       5         1  "Larrow"       103       496       0        50               "nul"     204   "S_tarson_C"        63       2        37;
       6         0  "Barrow"         2       192       0        50               "nul"     508   "S_tarson_B"        62       1       158;
       7         0  "Barrow"         3       173       0        50               "nul"     527   "S_tarson_C"        63       2        89;
       8         1  "Rarrow"       202       370       0        50               "nul"     330   "S_tarson_B"        62       1       143;
       9         0  "Barrow"         2       113       0        50               "nul"     587   "S_tarson_B"        62       1        12;
      10         0  "Barrow"         1        94       0        50               "nul"     606   "S_tarson_A"        61       1       156;
      11         1  "Larrow"       123       405       2        52          "AlarmMix"     295   "S_tarson_C"        63       2        70;
      12         1  "Rarrow"       204       359       0        50               "nul"     341   "S_tarson_D"        64       2       183;
      13         0  "Barrow"         3       545       0        50               "nul"     155   "S_tarson_C"        63       2        77;
      14         1  "Larrow"       113       212       1        51        "telephone5"     488   "S_tarson_C"        63       2        97;
      15         1  "Larrow"       101       505       0        50               "nul"     195   "S_tarson_A"        61       1       183;
      16         1  "Larrow"       101        96       0        50               "nul"     604   "S_tarson_A"        61       1       168;
      17         0  "Barrow"        11        77       1        51       "telephone17"     623   "S_tarson_A"        61       1       108;
      18         1  "Larrow"       131       542       3        53           "reveil6"     158   "S_tarson_A"        61       1        78;
      19         1  "Larrow"       103       117       0        50               "nul"     583   "S_tarson_C"        63       2       117;
      20         1  "Larrow"       121       391       2        52            "ring20"     309   "S_tarson_A"        61       1        18;
      21         1  "Larrow"       101       166       0        50               "nul"     534   "S_tarson_A"        61       1        81;
      22         0  "Barrow"         3       336       0        50               "nul"     364   "S_tarson_C"        63       2        44;
      23         1  "Larrow"       101       267       0        50               "nul"     433   "S_tarson_A"        61       1        56;
      24         1  "Larrow"       103       295       0        50               "nul"     405   "S_tarson_C"        63       2        31;
      25         1  "Rarrow"       202       172       0        50               "nul"     528   "S_tarson_B"        62       1       163;
      26         1  "Rarrow"       204       302       0        50               "nul"     398   "S_tarson_D"        64       2        48;
      27         1  "Larrow"       103       636       0        50               "nul"      64   "S_tarson_C"        63       2        32;
      28         1  "Rarrow"       204       599       0        50               "nul"     101   "S_tarson_D"        64       2        80;
      29         0  "Barrow"         4        84       0        50               "nul"     616   "S_tarson_D"        64       2       194;
      30         1  "Rarrow"       232       502       3        53            "RINGIN"     198   "S_tarson_B"        62       1       195;
      31         0  "Barrow"        21       396       2        52         "sonnette9"     304   "S_tarson_A"        61       1        14;
      32         1  "Larrow"       103       203       0        50               "nul"     497   "S_tarson_C"        63       2       187;
      33         1  "Larrow"       103       606       0        50               "nul"      94   "S_tarson_C"        63       2       139;
      34         0  "Barrow"         1       404       0        50               "nul"     296   "S_tarson_A"        61       1       197;
      35         0  "Barrow"        24       362       2        52           "alarme5"     338   "S_tarson_D"        64       2       123;
      36         1  "Larrow"       101       496       0        50               "nul"     204   "S_tarson_A"        61       1        32;
      37         1  "Rarrow"       204       239       0        50               "nul"     461   "S_tarson_D"        64       2        50;
      38         1  "Larrow"       133       515       3        53          "TELEPH01"     185   "S_tarson_C"        63       2        44;
      39         0  "Barrow"        33       579       3        53              "DING"     121   "S_tarson_C"        63       2        38;
      40         1  "Rarrow"       204       650       0        50               "nul"      50   "S_tarson_D"        64       2       148;
      41         0  "Barrow"         2       626       0        50               "nul"      74   "S_tarson_B"        62       1       108;
      42         0  "Barrow"         3       193       0        50               "nul"     507   "S_tarson_C"        63       2        75;
      43         0  "Barrow"        32       574       3        53          "reveil11"     126   "S_tarson_B"        62       1        72;
      44         1  "Rarrow"       204       203       0        50               "nul"     497   "S_tarson_D"        64       2       183;
      45         1  "Rarrow"       214       164       1        51           "reveil5"     536   "S_tarson_D"        64       2       130;
      46         0  "Barrow"        14       176       1        51             "ring8"     524   "S_tarson_D"        64       2       199;
      47         0  "Barrow"         2       362       0        50               "nul"     338   "S_tarson_B"        62       1        64;
      48         1  "Rarrow"       202        75       0        50               "nul"     625   "S_tarson_B"        62       1         8;
      49         1  "Rarrow"       222       369       2        52            "Alarm6"     331   "S_tarson_B"        62       1       174;
      50         1  "Larrow"       103       443       0        50               "nul"     257   "S_tarson_C"        63       2       101;
      51         0  "Barrow"         1       236       0        50               "nul"     464   "S_tarson_A"        61       1         7;
      52         1  "Rarrow"       202       425       0        50               "nul"     275   "S_tarson_B"        62       1        47;
      53         1  "Larrow"       111       200       1        51       "telephone15"     500   "S_tarson_A"        61       1        63;
      54         1  "Rarrow"       202       550       0        50               "nul"     150   "S_tarson_B"        62       1       104;
      55         1  "Rarrow"       204       549       0        50               "nul"     151   "S_tarson_D"        64       2        22;
      56         0  "Barrow"         1       297       0        50               "nul"     403   "S_tarson_A"        61       1        75;
      57         1  "Rarrow"       202       525       0        50               "nul"     175   "S_tarson_B"        62       1       189;
      58         1  "Larrow"       103       383       0        50               "nul"     317   "S_tarson_C"        63       2       183;
      59         1  "Rarrow"       202       584       0        50               "nul"     116   "S_tarson_B"        62       1       193;
      60         1  "Larrow"       101       427       0        50               "nul"     273   "S_tarson_A"        61       1        63;
      61         1  "Larrow"       101       460       0        50               "nul"     240   "S_tarson_A"        61       1       157;
      62         1  "Rarrow"       202       291       0        50               "nul"     409   "S_tarson_B"        62       1        11;
      63         0  "Barrow"         4       410       0        50               "nul"     290   "S_tarson_D"        64       2       149;
      64         1  "Rarrow"       212       115       1        51        "sonnette10"     585   "S_tarson_B"        62       1       105;
      65         1  "Larrow"       103       160       0        50               "nul"     540   "S_tarson_C"        63       2       109;
      66         1  "Rarrow"       204       263       0        50               "nul"     437   "S_tarson_D"        64       2        23;
      67         0  "Barrow"         4       211       0        50               "nul"     489   "S_tarson_D"        64       2       164;
      68         1  "Larrow"       101        65       0        50               "nul"     635   "S_tarson_A"        61       1        38;
      69         0  "Barrow"         4       427       0        50               "nul"     273   "S_tarson_D"        64       2        36;
      70         1  "Rarrow"       204       228       0        50               "nul"     472   "S_tarson_D"        64       2       148;
      71         0  "Barrow"         1       587       0        50               "nul"     113   "S_tarson_A"        61       1        46;
      72         1  "Larrow"       101       417       0        50               "nul"     283   "S_tarson_A"        61       1       162;
};
