   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1  "Rarrow"       202       376       0        50               "nul"     324   "S_tarson_B"        62       1       102;
       2         0  "Barrow"         3       271       0        50               "nul"     429   "S_tarson_C"        63       2        21;
       3         1  "Rarrow"       232       641       3        53            "Alarm6"      59   "S_tarson_B"        62       1       110;
       4         0  "Barrow"        33       489       3        53           "alarme5"     211   "S_tarson_C"        63       2        96;
       5         1  "Rarrow"       202        69       0        50               "nul"     631   "S_tarson_B"        62       1        40;
       6         1  "Larrow"       101       566       0        50               "nul"     134   "S_tarson_A"        61       1       110;
       7         1  "Rarrow"       204       327       0        50               "nul"     373   "S_tarson_D"        64       2        78;
       8         0  "Barrow"        32       574       3        53         "sonnette9"     126   "S_tarson_B"        62       1        71;
       9         1  "Larrow"       101       178       0        50               "nul"     522   "S_tarson_A"        61       1       120;
      10         0  "Barrow"        11       123       1        51            "RINGIN"     577   "S_tarson_A"        61       1         1;
      11         1  "Rarrow"       204       244       0        50               "nul"     456   "S_tarson_D"        64       2       111;
      12         1  "Larrow"       101       324       0        50               "nul"     376   "S_tarson_A"        61       1        17;
      13         1  "Larrow"       103       298       0        50               "nul"     402   "S_tarson_C"        63       2       110;
      14         0  "Barrow"         4       526       0        50               "nul"     174   "S_tarson_D"        64       2       125;
      15         1  "Larrow"       101       139       0        50               "nul"     561   "S_tarson_A"        61       1       160;
      16         1  "Rarrow"       204       543       0        50               "nul"     157   "S_tarson_D"        64       2       153;
      17         0  "Barrow"        21       434       2        52       "telephone17"     266   "S_tarson_A"        61       1       139;
      18         0  "Barrow"         2       158       0        50               "nul"     542   "S_tarson_B"        62       1        94;
      19         1  "Larrow"       111        79       1        51       "telephone20"     621   "S_tarson_A"        61       1        32;
      20         0  "Barrow"         4        95       0        50               "nul"     605   "S_tarson_D"        64       2        24;
      21         1  "Rarrow"       202       187       0        50               "nul"     513   "S_tarson_B"        62       1       186;
      22         0  "Barrow"         2       384       0        50               "nul"     316   "S_tarson_B"        62       1       145;
      23         1  "Rarrow"       204       159       0        50               "nul"     541   "S_tarson_D"        64       2        35;
      24         0  "Barrow"         3       597       0        50               "nul"     103   "S_tarson_C"        63       2        60;
      25         1  "Rarrow"       204       221       0        50               "nul"     479   "S_tarson_D"        64       2        60;
      26         0  "Barrow"         1       282       0        50               "nul"     418   "S_tarson_A"        61       1        14;
      27         0  "Barrow"         1        86       0        50               "nul"     614   "S_tarson_A"        61       1       151;
      28         1  "Larrow"       103       351       0        50               "nul"     349   "S_tarson_C"        63       2       102;
      29         1  "Rarrow"       204       377       0        50               "nul"     323   "S_tarson_D"        64       2        62;
      30         0  "Barrow"         2       524       0        50               "nul"     176   "S_tarson_B"        62       1        31;
      31         0  "Barrow"         2       168       0        50               "nul"     532   "S_tarson_B"        62       1       182;
      32         0  "Barrow"         4       396       0        50               "nul"     304   "S_tarson_D"        64       2        63;
      33         1  "Larrow"       113        63       1        51             "ring9"     637   "S_tarson_C"        63       2        41;
      34         1  "Rarrow"       204       593       0        50               "nul"     107   "S_tarson_D"        64       2        36;
      35         0  "Barrow"         1        87       0        50               "nul"     613   "S_tarson_A"        61       1        14;
      36         1  "Larrow"       123       344       2        52        "telephone5"     356   "S_tarson_C"        63       2       165;
      37         1  "Larrow"       131       625       3        53            "ring20"      75   "S_tarson_A"        61       1        98;
      38         1  "Rarrow"       204       447       0        50               "nul"     253   "S_tarson_D"        64       2        17;
      39         1  "Larrow"       121       356       2        52       "telephone15"     344   "S_tarson_A"        61       1       127;
      40         1  "Rarrow"       204       592       0        50               "nul"     108   "S_tarson_D"        64       2        48;
