   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0  "Barrow"         1       647       0        50               "nul"      53   "S_tarson_A"        61       1        24;
       2         1  "Larrow"       133       626       3        53             "ring7"      74   "S_tarson_C"        63       2        29;
       3         1  "Larrow"       101       308       0        50               "nul"     392   "S_tarson_A"        61       1       126;
       4         0  "Barrow"         4       464       0        50               "nul"     236   "S_tarson_D"        64       2        35;
       5         1  "Rarrow"       204       371       0        50               "nul"     329   "S_tarson_D"        64       2        21;
       6         1  "Rarrow"       212       185       1        51             "Alarm"     515   "S_tarson_B"        62       1       158;
       7         1  "Larrow"       103       327       0        50               "nul"     373   "S_tarson_C"        63       2        63;
       8         1  "Rarrow"       202       402       0        50               "nul"     298   "S_tarson_B"        62       1        44;
       9         1  "Larrow"       103       489       0        50               "nul"     211   "S_tarson_C"        63       2        60;
      10         1  "Larrow"       113       155       1        51              "DING"     545   "S_tarson_C"        63       2       106;
      11         1  "Rarrow"       204       358       0        50               "nul"     342   "S_tarson_D"        64       2        68;
      12         0  "Barrow"        33       510       3        53          "AlarmMix"     190   "S_tarson_C"        63       2        29;
      13         1  "Larrow"       101       353       0        50               "nul"     347   "S_tarson_A"        61       1       151;
      14         0  "Barrow"        24       388       2        52        "telephone5"     312   "S_tarson_D"        64       2        34;
      15         0  "Barrow"         2       124       0        50               "nul"     576   "S_tarson_B"        62       1        49;
      16         0  "Barrow"         4       165       0        50               "nul"     535   "S_tarson_D"        64       2       146;
      17         0  "Barrow"         3        60       0        50               "nul"     640   "S_tarson_C"        63       2       101;
      18         1  "Larrow"       123       320       2        52       "telephone11"     380   "S_tarson_C"        63       2       176;
      19         1  "Larrow"       101       556       0        50               "nul"     144   "S_tarson_A"        61       1        50;
      20         1  "Rarrow"       222       284       2        52           "reveil3"     416   "S_tarson_B"        62       1        97;
      21         0  "Barrow"        32       621       3        53            "ring20"      79   "S_tarson_B"        62       1       138;
      22         1  "Rarrow"       202       411       0        50               "nul"     289   "S_tarson_B"        62       1        18;
      23         0  "Barrow"         1       111       0        50               "nul"     589   "S_tarson_A"        61       1        46;
      24         1  "Larrow"       103       485       0        50               "nul"     215   "S_tarson_C"        63       2        97;
      25         0  "Barrow"         3       139       0        50               "nul"     561   "S_tarson_C"        63       2        62;
      26         1  "Rarrow"       202        91       0        50               "nul"     609   "S_tarson_B"        62       1         4;
      27         1  "Rarrow"       204        62       0        50               "nul"     638   "S_tarson_D"        64       2       186;
      28         0  "Barrow"         2       293       0        50               "nul"     407   "S_tarson_B"        62       1       182;
      29         1  "Rarrow"       204       194       0        50               "nul"     506   "S_tarson_D"        64       2       124;
      30         1  "Larrow"       101       212       0        50               "nul"     488   "S_tarson_A"        61       1        91;
      31         1  "Rarrow"       204       605       0        50               "nul"      95   "S_tarson_D"        64       2       113;
      32         0  "Barrow"         1       294       0        50               "nul"     406   "S_tarson_A"        61       1       195;
      33         1  "Larrow"       101       556       0        50               "nul"     144   "S_tarson_A"        61       1       169;
      34         1  "Larrow"       121       275       2        52        "telephone2"     425   "S_tarson_A"        61       1        54;
      35         1  "Larrow"       103       353       0        50               "nul"     347   "S_tarson_C"        63       2       147;
      36         1  "Larrow"       103       231       0        50               "nul"     469   "S_tarson_C"        63       2       161;
      37         0  "Barrow"         2       116       0        50               "nul"     584   "S_tarson_B"        62       1       195;
