   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1  "Larrow"       101       225       0        50               "nul"     475   "S_tarson_A"        61       1        54;
       2         0  "Barrow"         3       138       0        50               "nul"     562   "S_tarson_C"        63       2       105;
       3         1  "Larrow"       111        59       1        51             "Alarm"     641   "S_tarson_A"        61       1       140;
       4         1  "Rarrow"       202       136       0        50               "nul"     564   "S_tarson_B"        62       1        13;
       5         1  "Rarrow"       202       580       0        50               "nul"     120   "S_tarson_B"        62       1        47;
       6         1  "Rarrow"       234       639       3        53          "AlarmMix"      61   "S_tarson_D"        64       2        44;
       7         0  "Barrow"         3       142       0        50               "nul"     558   "S_tarson_C"        63       2       122;
       8         1  "Larrow"       101       356       0        50               "nul"     344   "S_tarson_A"        61       1        62;
       9         0  "Barrow"         3       339       0        50               "nul"     361   "S_tarson_C"        63       2        27;
      10         1  "Larrow"       101       533       0        50               "nul"     167   "S_tarson_A"        61       1       170;
      11         0  "Barrow"         3       501       0        50               "nul"     199   "S_tarson_C"        63       2        52;
      12         1  "Larrow"       103        69       0        50               "nul"     631   "S_tarson_C"        63       2       186;
      13         0  "Barrow"         2       419       0        50               "nul"     281   "S_tarson_B"        62       1        62;
      14         1  "Larrow"       101       432       0        50               "nul"     268   "S_tarson_A"        61       1        68;
      15         1  "Rarrow"       202       387       0        50               "nul"     313   "S_tarson_B"        62       1        33;
      16         1  "Larrow"       101       471       0        50               "nul"     229   "S_tarson_A"        61       1        56;
      17         1  "Rarrow"       232       626       3        53            "ring20"      74   "S_tarson_B"        62       1       133;
      18         0  "Barrow"         1       566       0        50               "nul"     134   "S_tarson_A"        61       1        82;
      19         1  "Larrow"       123       340       2        52       "PhoneRingIn"     360   "S_tarson_C"        63       2        98;
      20         1  "Larrow"       103       285       0        50               "nul"     415   "S_tarson_C"        63       2        80;
      21         1  "Rarrow"       204       113       0        50               "nul"     587   "S_tarson_D"        64       2       135;
      22         1  "Rarrow"       204       374       0        50               "nul"     326   "S_tarson_D"        64       2       178;
      23         0  "Barrow"         2       510       0        50               "nul"     190   "S_tarson_B"        62       1       186;
      24         1  "Rarrow"       202       582       0        50               "nul"     118   "S_tarson_B"        62       1       115;
      25         0  "Barrow"        13       141       1        51          "TELEPH01"     559   "S_tarson_C"        63       2       158;
      26         1  "Rarrow"       202       321       0        50               "nul"     379   "S_tarson_B"        62       1        75;
      27         1  "Larrow"       101       157       0        50               "nul"     543   "S_tarson_A"        61       1       101;
      28         1  "Larrow"       101       422       0        50               "nul"     278   "S_tarson_A"        61       1        97;
      29         0  "Barrow"        23       263       2        52           "reveil5"     437   "S_tarson_C"        63       2        12;
      30         1  "Larrow"       103       446       0        50               "nul"     254   "S_tarson_C"        63       2       186;
      31         1  "Rarrow"       204       508       0        50               "nul"     192   "S_tarson_D"        64       2        98;
      32         0  "Barrow"         1       366       0        50               "nul"     334   "S_tarson_A"        61       1        75;
      33         1  "Rarrow"       214       246       1        51             "ring9"     454   "S_tarson_D"        64       2       170;
      34         0  "Barrow"         2       352       0        50               "nul"     348   "S_tarson_B"        62       1       121;
      35         0  "Barrow"        34       498       3        53       "telephone19"     202   "S_tarson_D"        64       2       118;
      36         0  "Barrow"        12       187       1        51           "reveil6"     513   "S_tarson_B"        62       1       199;
      37         1  "Larrow"       103       537       0        50               "nul"     163   "S_tarson_C"        63       2       130;
      38         1  "Larrow"       133       497       3        53       "telephone13"     203   "S_tarson_C"        63       2       102;
      39         0  "Barrow"         4       154       0        50               "nul"     546   "S_tarson_D"        64       2       107;
      40         1  "Rarrow"       204       599       0        50               "nul"     101   "S_tarson_D"        64       2        94;
      41         0  "Barrow"         2       200       0        50               "nul"     500   "S_tarson_B"        62       1        57;
      42         0  "Barrow"         3       347       0        50               "nul"     353   "S_tarson_C"        63       2       186;
      43         1  "Rarrow"       212       136       1        51       "telephone20"     564   "S_tarson_B"        62       1       200;
      44         1  "Larrow"       103       463       0        50               "nul"     237   "S_tarson_C"        63       2       141;
      45         1  "Larrow"       101       484       0        50               "nul"     216   "S_tarson_A"        61       1       194;
      46         1  "Rarrow"       202       449       0        50               "nul"     251   "S_tarson_B"        62       1        76;
      47         0  "Barrow"         1        91       0        50               "nul"     609   "S_tarson_A"        61       1       135;
      48         1  "Rarrow"       204       244       0        50               "nul"     456   "S_tarson_D"        64       2       177;
      49         1  "Larrow"       101       194       0        50               "nul"     506   "S_tarson_A"        61       1       134;
      50         0  "Barrow"         4       202       0        50               "nul"     498   "S_tarson_D"        64       2       155;
      51         1  "Larrow"       103       610       0        50               "nul"      90   "S_tarson_C"        63       2       179;
      52         1  "Larrow"       103       416       0        50               "nul"     284   "S_tarson_C"        63       2        27;
      53         1  "Larrow"       131       539       3        53       "telephone16"     161   "S_tarson_A"        61       1        35;
      54         0  "Barrow"         2        94       0        50               "nul"     606   "S_tarson_B"        62       1       121;
      55         1  "Rarrow"       202       245       0        50               "nul"     455   "S_tarson_B"        62       1       153;
      56         1  "Rarrow"       202       614       0        50               "nul"      86   "S_tarson_B"        62       1       151;
      57         1  "Larrow"       103       178       0        50               "nul"     522   "S_tarson_C"        63       2       130;
      58         1  "Rarrow"       204       364       0        50               "nul"     336   "S_tarson_D"        64       2        29;
      59         0  "Barrow"         4       634       0        50               "nul"      66   "S_tarson_D"        64       2        29;
      60         1  "Rarrow"       204       641       0        50               "nul"      59   "S_tarson_D"        64       2        46;
      61         1  "Rarrow"       204       179       0        50               "nul"     521   "S_tarson_D"        64       2       177;
      62         0  "Barrow"         1       166       0        50               "nul"     534   "S_tarson_A"        61       1       158;
      63         1  "Rarrow"       204       350       0        50               "nul"     350   "S_tarson_D"        64       2       162;
      64         0  "Barrow"        22       364       2        52        "sonnette10"     336   "S_tarson_B"        62       1        16;
      65         1  "Larrow"       103       222       0        50               "nul"     478   "S_tarson_C"        63       2       138;
      66         1  "Rarrow"       224       256       2        52        "telephone5"     444   "S_tarson_D"        64       2       105;
      67         0  "Barrow"         4       402       0        50               "nul"     298   "S_tarson_D"        64       2        27;
      68         1  "Rarrow"       222       314       2        52       "telephone15"     386   "S_tarson_B"        62       1       192;
      69         1  "Larrow"       113       234       1        51       "telephone18"     466   "S_tarson_C"        63       2       181;
      70         0  "Barrow"        31       534       3        53            "Alarm6"     166   "S_tarson_A"        61       1       114;
      71         1  "Larrow"       121       407       2        52           "reveil3"     293   "S_tarson_A"        61       1       161;
      72         1  "Rarrow"       202       115       0        50               "nul"     585   "S_tarson_B"        62       1        80;
};
