   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1  "Rarrow"       234       618       3        53       "PhoneRingIn"      82   "S_tarson_D"        64       2        43;
       2         1  "Larrow"       101       529       0        50               "nul"     171   "S_tarson_A"        61       1        69;
       3         0  "Barrow"         1       435       0        50               "nul"     265   "S_tarson_A"        61       1        93;
       4         1  "Larrow"       103       323       0        50               "nul"     377   "S_tarson_C"        63       2        97;
       5         1  "Rarrow"       202       631       0        50               "nul"      69   "S_tarson_B"        62       1       176;
       6         1  "Rarrow"       202       264       0        50               "nul"     436   "S_tarson_B"        62       1       126;
       7         0  "Barrow"        32       608       3        53       "telephone15"      92   "S_tarson_B"        62       1        11;
       8         1  "Rarrow"       222       285       2        52             "Alarm"     415   "S_tarson_B"        62       1       133;
       9         0  "Barrow"         4       343       0        50               "nul"     357   "S_tarson_D"        64       2        87;
      10         0  "Barrow"        21       401       2        52       "telephone20"     299   "S_tarson_A"        61       1        50;
      11         1  "Rarrow"       202       402       0        50               "nul"     298   "S_tarson_B"        62       1       124;
      12         1  "Rarrow"       204       618       0        50               "nul"      82   "S_tarson_D"        64       2        12;
      13         1  "Larrow"       123       263       2        52              "DING"     437   "S_tarson_C"        63       2       101;
      14         0  "Barrow"         1       329       0        50               "nul"     371   "S_tarson_A"        61       1       159;
      15         0  "Barrow"         1       593       0        50               "nul"     107   "S_tarson_A"        61       1       143;
      16         1  "Larrow"       101       282       0        50               "nul"     418   "S_tarson_A"        61       1        30;
      17         0  "Barrow"         1       130       0        50               "nul"     570   "S_tarson_A"        61       1        27;
      18         1  "Larrow"       103       114       0        50               "nul"     586   "S_tarson_C"        63       2       150;
      19         0  "Barrow"        11       229       1        51       "telephone16"     471   "S_tarson_A"        61       1        45;
      20         1  "Rarrow"       202       186       0        50               "nul"     514   "S_tarson_B"        62       1        87;
      21         0  "Barrow"         3       356       0        50               "nul"     344   "S_tarson_C"        63       2       185;
      22         1  "Larrow"       103       152       0        50               "nul"     548   "S_tarson_C"        63       2        96;
      23         1  "Rarrow"       204       338       0        50               "nul"     362   "S_tarson_D"        64       2       102;
      24         1  "Larrow"       103       474       0        50               "nul"     226   "S_tarson_C"        63       2       156;
      25         1  "Rarrow"       224       360       2        52       "telephone18"     340   "S_tarson_D"        64       2       185;
      26         0  "Barrow"        14       204       1        51       "telephone13"     496   "S_tarson_D"        64       2       179;
      27         0  "Barrow"         4       322       0        50               "nul"     378   "S_tarson_D"        64       2         2;
      28         1  "Rarrow"       204       200       0        50               "nul"     500   "S_tarson_D"        64       2       127;
      29         0  "Barrow"         2       298       0        50               "nul"     402   "S_tarson_B"        62       1        95;
      30         1  "Larrow"       131       461       3        53        "telephone2"     239   "S_tarson_A"        61       1       192;
      31         1  "Rarrow"       212       210       1        51            "ring10"     490   "S_tarson_B"        62       1       199;
      32         1  "Larrow"       101       205       0        50               "nul"     495   "S_tarson_A"        61       1       153;
