suj,cond,rt,match_hit,match_miss,nomatch_hit,nomatch_miss,correct,incorrect
sub47,1back,614,0.947368421052632,0.0526315789473684,1,0,0.99009900990099,0.0099009900990099
sub47,2back,615.5,0.928571428571429,0.0714285714285714,0.993710691823899,0.00628930817610063,0.980099502487562,0.0199004975124378
sub48,0back,567,1,0,1,0,1,0
sub48,1back,590,0.952380952380952,0.0476190476190476,1,0,0.990476190476191,0.00952380952380952
sub48,2back,803,0.951219512195122,0.0487804878048781,1,0,0.990338164251208,0.00966183574879227
sub49,0back,503.5,1,0,1,0,1,0
sub49,1back,683,0.9,0.1,1,0,0.980582524271845,0.0194174757281553
sub49,2back,587,0.95,0.05,1,0,0.99009900990099,0.0099009900990099
sub50,0back,443,1,0,1,0,1,0
sub50,1back,437,0.882352941176471,0.117647058823529,1,0,0.978947368421053,0.0210526315789474
sub50,2back,582,0.880952380952381,0.119047619047619,0.99375,0.00625,0.97029702970297,0.0297029702970297
sub51,0back,702,1,0,1,0,1,0
sub51,1back,745,1,0,1,0,1,0
sub51,2back,629,0.95,0.05,1,0,0.99,0.01
