suj,cond,rt,match_hit,match_miss,nomatch_hit,nomatch_miss,correct,incorrect
sub1,0back,422,1,0,1,0,1,0
sub1,1back,513,0.944444444444444,0.0555555555555556,0.985294117647059,0.0147058823529412,0.976744186046512,0.0232558139534884
sub1,2back,798,0.947368421052632,0.0526315789473684,0.959183673469388,0.0408163265306122,0.956756756756757,0.0432432432432432
sub2,0back,601,1,0,1,0,1,0
sub2,1back,627,1,0,0.984126984126984,0.0158730158730159,0.9875,0.0125
sub2,2back,708.5,0.921052631578947,0.0789473684210526,0.979591836734694,0.0204081632653061,0.967567567567568,0.0324324324324324
sub3,0back,535,1,0,1,0,1,0
sub3,1back,741,0.944444444444444,0.0555555555555556,1,0,0.988372093023256,0.0116279069767442
sub3,2back,707.5,1,0,1,0,1,0
sub4,0back,417.5,0.952380952380952,0.0476190476190476,1,0,0.99009900990099,0.0099009900990099
sub4,1back,499,1,0,0.985714285714286,0.0142857142857143,0.988636363636364,0.0113636363636364
sub4,2back,534,0.975609756097561,0.024390243902439,0.993421052631579,0.00657894736842105,0.989637305699482,0.0103626943005181
sub5,0back,507.5,1,0,0.985714285714286,0.0142857142857143,0.98876404494382,0.0112359550561798
sub5,1back,530.5,0.857142857142857,0.142857142857143,0.973684210526316,0.0263157894736842,0.948453608247423,0.0515463917525773
sub5,2back,608,0.972972972972973,0.027027027027027,0.993421052631579,0.00657894736842105,0.989417989417989,0.0105820105820106
sub6,0back,571,0.95,0.05,1,0,0.989473684210526,0.0105263157894737
sub6,1back,560,0.944444444444444,0.0555555555555556,1,0,0.98876404494382,0.0112359550561798
sub6,2back,667,0.864864864864865,0.135135135135135,0.992857142857143,0.00714285714285714,0.966101694915254,0.0338983050847458
sub7,0back,641,1,0,1,0,1,0
sub7,1back,647,0.882352941176471,0.117647058823529,1,0,0.971428571428571,0.0285714285714286
sub7,2back,839.5,0.869565217391304,0.130434782608696,1,0,0.976,0.024
sub8,0back,526,1,0,1,0,1,0
sub8,1back,581.5,0.952380952380952,0.0476190476190476,0.974683544303797,0.0253164556962025,0.97,0.03
sub8,2back,597,0.925,0.075,0.974842767295597,0.0251572327044025,0.964824120603015,0.0351758793969849
sub9,0back,497,1,0,1,0,1,0
sub9,1back,668.5,1,0,0.985714285714286,0.0142857142857143,0.98876404494382,0.0112359550561798
sub9,2back,713.5,0.973684210526316,0.0263157894736842,0.993055555555556,0.00694444444444444,0.989010989010989,0.010989010989011
sub10,0back,536.5,1,0,1,0,1,0
sub10,1back,668,0.894736842105263,0.105263157894737,1,0,0.978947368421053,0.0210526315789474
sub10,2back,592.5,1,0,1,0,1,0
sub11,0back,393,1,0,1,0,1,0
sub11,1back,587,1,0,1,0,1,0
sub11,2back,482,0.948717948717949,0.0512820512820513,1,0,0.989130434782609,0.0108695652173913
sub12,0back,450.5,0.952380952380952,0.0476190476190476,1,0,0.98989898989899,0.0101010101010101
sub12,1back,441.5,1,0,0.986301369863014,0.0136986301369863,0.989130434782609,0.0108695652173913
sub12,2back,529,0.972972972972973,0.027027027027027,1,0,0.994475138121547,0.00552486187845304
sub13,0back,533,1,0,1,0,1,0
sub13,1back,662,0.952380952380952,0.0476190476190476,1,0,0.990384615384615,0.00961538461538462
sub13,2back,590,0.875,0.125,0.993827160493827,0.00617283950617284,0.97029702970297,0.0297029702970297
sub14,0back,456.5,1,0,1,0,1,0
sub14,1back,454,0.95,0.05,0.985507246376812,0.0144927536231884,0.97752808988764,0.0224719101123595
sub14,2back,421,1,0,1,0,1,0
sub15,0back,583,1,0,1,0,1,0
sub15,1back,686,1,0,1,0,1,0
sub15,2back,711,1,0,0.984496124031008,0.0155038759689922,0.988023952095808,0.0119760479041916
sub16,0back,400,1,0,1,0,1,0
sub16,1back,354,1,0,1,0,1,0
sub16,2back,472,0.948717948717949,0.0512820512820513,1,0,0.98974358974359,0.0102564102564103
sub17,0back,731.5,1,0,1,0,1,0
sub17,1back,876.5,0.888888888888889,0.111111111111111,1,0,0.978494623655914,0.021505376344086
sub17,2back,887,1,0,0.964539007092199,0.0354609929078014,0.972375690607735,0.0276243093922652
sub18,0back,387,1,0,1,0,1,0
sub18,1back,375.5,1,0,1,0,1,0
sub18,2back,370,0.975,0.025,0.987951807228916,0.0120481927710843,0.985436893203884,0.0145631067961165
sub19,0back,533,0.8,0.2,0.942307692307692,0.0576923076923077,0.91044776119403,0.0895522388059701
sub19,1back,496,1,0,0.983333333333333,0.0166666666666667,0.986486486486487,0.0135135135135135
sub19,2back,732,0.72,0.28,0.929292929292929,0.0707070707070707,0.887096774193548,0.112903225806452
sub20,0back,460,1,0,1,0,1,0
sub20,1back,445,0.85,0.15,1,0,0.97,0.03
sub20,2back,437,1,0,0.993865030674847,0.00613496932515337,0.995073891625616,0.00492610837438424
sub21,0back,479.5,1,0,1,0,1,0
sub21,1back,560.5,1,0,0.974683544303797,0.0253164556962025,0.979381443298969,0.0206185567010309
sub21,2back,540,1,0,0.99375,0.00625,0.995,0.005
sub22,0back,505,0.904761904761905,0.0952380952380952,1,0,0.980582524271845,0.0194174757281553
sub22,1back,510,0.894736842105263,0.105263157894737,1,0,0.978260869565217,0.0217391304347826
sub22,2back,704,1,0,1,0,1,0
sub23,0back,537,1,0,1,0,1,0
sub23,1back,623,1,0,1,0,1,0
sub23,2back,764.5,1,0,1,0,1,0
sub24,0back,448,1,0,1,0,1,0
sub24,1back,474.5,0.95,0.05,0.987951807228916,0.0120481927710843,0.980582524271845,0.0194174757281553
sub24,2back,470,1,0,0.993865030674847,0.00613496932515337,0.995073891625616,0.00492610837438424
sub25,0back,398.5,1,0,0.987179487179487,0.0128205128205128,0.989690721649485,0.0103092783505155
sub25,1back,379,1,0,1,0,1,0
sub25,2back,355.5,0.976190476190476,0.0238095238095238,0.99375,0.00625,0.99009900990099,0.0099009900990099
sub26,0back,563.5,1,0,1,0,1,0
sub26,1back,630,1,0,1,0,1,0
sub26,2back,586,0.947368421052632,0.0526315789473684,0.99375,0.00625,0.984848484848485,0.0151515151515152
sub27,0back,647,1,0,1,0,1,0
sub27,1back,810,0.9,0.1,1,0,0.981818181818182,0.0181818181818182
sub27,2back,816.5,0.818181818181818,0.181818181818182,0.992125984251969,0.0078740157480315,0.95625,0.04375
sub28,0back,559,0.923076923076923,0.0769230769230769,0.983333333333333,0.0166666666666667,0.972602739726027,0.0273972602739726
sub28,1back,620,0.9,0.1,0.986842105263158,0.0131578947368421,0.96875,0.03125
sub28,2back,591,0.921052631578947,0.0789473684210526,0.980519480519481,0.0194805194805195,0.96875,0.03125
sub29,0back,403,1,0,1,0,1,0
sub29,1back,387,1,0,1,0,1,0
