   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1  "Larrow"       103        73       0        50               "nul"     627   "S_tarson_C"        63       2        75;
       2         1  "Larrow"       101       629       0        50               "nul"      71   "S_tarson_A"        61       1       104;
       3         0  "Barrow"         1       576       0        50               "nul"     124   "S_tarson_A"        61       1       136;
       4         0  "Barrow"        24       429       2        52       "PhoneRingIn"     271   "S_tarson_D"        64       2        55;
       5         0  "Barrow"         4       444       0        50               "nul"     256   "S_tarson_D"        64       2        40;
       6         0  "Barrow"        21       547       2        52              "DING"     153   "S_tarson_A"        61       1       158;
       7         1  "Rarrow"       204       323       0        50               "nul"     377   "S_tarson_D"        64       2        44;
       8         0  "Barrow"        11       233       1        51           "reveil3"     467   "S_tarson_A"        61       1       125;
       9         0  "Barrow"         1       478       0        50               "nul"     222   "S_tarson_A"        61       1        19;
      10         0  "Barrow"         3       520       0        50               "nul"     180   "S_tarson_C"        63       2        32;
      11         1  "Larrow"       123       437       2        52            "ring10"     263   "S_tarson_C"        63       2        83;
      12         1  "Rarrow"       214       291       1        51            "Alarm7"     409   "S_tarson_D"        64       2        83;
      13         1  "Rarrow"       202       402       0        50               "nul"     298   "S_tarson_B"        62       1        68;
      14         0  "Barrow"         4       139       0        50               "nul"     561   "S_tarson_D"        64       2       182;
      15         0  "Barrow"         3       303       0        50               "nul"     397   "S_tarson_C"        63       2         3;
      16         1  "Larrow"       101       153       0        50               "nul"     547   "S_tarson_A"        61       1       118;
      17         0  "Barrow"        22       632       2        52             "ring8"      68   "S_tarson_B"        62       1       172;
      18         1  "Rarrow"       212       110       1        51       "telephone13"     590   "S_tarson_B"        62       1       172;
      19         1  "Larrow"       103       212       0        50               "nul"     488   "S_tarson_C"        63       2       103;
      20         1  "Larrow"       103       451       0        50               "nul"     249   "S_tarson_C"        63       2       163;
      21         0  "Barrow"         3       463       0        50               "nul"     237   "S_tarson_C"        63       2       154;
      22         0  "Barrow"         2       198       0        50               "nul"     502   "S_tarson_B"        62       1        59;
      23         1  "Rarrow"       202        95       0        50               "nul"     605   "S_tarson_B"        62       1        37;
      24         0  "Barrow"        12       119       1        51             "ring9"     581   "S_tarson_B"        62       1        18;
      25         0  "Barrow"         3       343       0        50               "nul"     357   "S_tarson_C"        63       2       108;
      26         0  "Barrow"         1       267       0        50               "nul"     433   "S_tarson_A"        61       1        28;
      27         1  "Rarrow"       204       466       0        50               "nul"     234   "S_tarson_D"        64       2       185;
      28         0  "Barrow"         4        77       0        50               "nul"     623   "S_tarson_D"        64       2        24;
      29         1  "Rarrow"       204       442       0        50               "nul"     258   "S_tarson_D"        64       2       127;
      30         0  "Barrow"         4       484       0        50               "nul"     216   "S_tarson_D"        64       2        10;
      31         1  "Rarrow"       204       562       0        50               "nul"     138   "S_tarson_D"        64       2       137;
