   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         0  "Barrow"         1       357       0        50               "nul"     343   "S_tarson_A"        61       1       145;
       2         1  "Larrow"       123       386       2        52          "reveil11"     314   "S_tarson_C"        63       2       163;
       3         1  "Larrow"       101       241       0        50               "nul"     459   "S_tarson_A"        61       1        96;
       4         1  "Rarrow"       204       311       0        50               "nul"     389   "S_tarson_D"        64       2        88;
       5         0  "Barrow"         3       624       0        50               "nul"      76   "S_tarson_C"        63       2        76;
       6         0  "Barrow"         2       306       0        50               "nul"     394   "S_tarson_B"        62       1        24;
       7         1  "Rarrow"       202       262       0        50               "nul"     438   "S_tarson_B"        62       1         4;
       8         1  "Rarrow"       212       345       1        51       "telephone19"     355   "S_tarson_B"        62       1       116;
       9         0  "Barrow"        21       518       2        52          "AlarmMix"     182   "S_tarson_A"        61       1        33;
      10         1  "Larrow"       101        82       0        50               "nul"     618   "S_tarson_A"        61       1       107;
      11         0  "Barrow"         2       281       0        50               "nul"     419   "S_tarson_B"        62       1        34;
      12         0  "Barrow"         4       610       0        50               "nul"      90   "S_tarson_D"        64       2        83;
      13         0  "Barrow"         2       208       0        50               "nul"     492   "S_tarson_B"        62       1       149;
      14         0  "Barrow"        23       391       2        52       "telephone17"     309   "S_tarson_C"        63       2       158;
      15         0  "Barrow"         4       370       0        50               "nul"     330   "S_tarson_D"        64       2        97;
      16         1  "Larrow"       113       144       1        51       "telephone18"     556   "S_tarson_C"        63       2        64;
      17         0  "Barrow"         4       171       0        50               "nul"     529   "S_tarson_D"        64       2         5;
      18         1  "Larrow"       101       408       0        50               "nul"     292   "S_tarson_A"        61       1        60;
      19         0  "Barrow"         2       608       0        50               "nul"      92   "S_tarson_B"        62       1       114;
      20         1  "Larrow"       103       531       0        50               "nul"     169   "S_tarson_C"        63       2        94;
      21         1  "Rarrow"       202       480       0        50               "nul"     220   "S_tarson_B"        62       1        81;
      22         1  "Larrow"       101       591       0        50               "nul"     109   "S_tarson_A"        61       1       135;
      23         1  "Larrow"       103       244       0        50               "nul"     456   "S_tarson_C"        63       2        98;
      24         0  "Barrow"        24       621       2        52            "RINGIN"      79   "S_tarson_D"        64       2        41;
      25         0  "Barrow"         1       103       0        50               "nul"     597   "S_tarson_A"        61       1        60;
      26         1  "Rarrow"       202       316       0        50               "nul"     384   "S_tarson_B"        62       1       136;
      27         1  "Larrow"       101       458       0        50               "nul"     242   "S_tarson_A"        61       1       111;
      28         1  "Rarrow"       204       258       0        50               "nul"     442   "S_tarson_D"        64       2       128;
      29         1  "Rarrow"       224       604       2        52           "reveil3"      96   "S_tarson_D"        64       2       138;
      30         1  "Larrow"       103       184       0        50               "nul"     516   "S_tarson_C"        63       2        91;
      31         0  "Barrow"         3       158       0        50               "nul"     542   "S_tarson_C"        63       2       195;
      32         0  "Barrow"         1       196       0        50               "nul"     504   "S_tarson_A"        61       1       140;
      33         0  "Barrow"        12       240       1        51             "ring8"     460   "S_tarson_B"        62       1        30;
      34         0  "Barrow"         4        98       0        50               "nul"     602   "S_tarson_D"        64       2        16;
      35         0  "Barrow"        13       120       1        51       "PhoneRingIn"     580   "S_tarson_C"        63       2        57;
