   "num"  "trialt"     "cue"  "codCUE"  "delay1"   "dis"  "codDIS"               "DIS"  "delay2"          "TAR"  "codTAR"    "bp" "ISIrand"; 
       1         1  "Rarrow"       204        57       0        50               "nul"     643   "S_tarson_D"        64       2        49;
       2         1  "Rarrow"       202       313       0        50               "nul"     387   "S_tarson_B"        62       1       168;
       3         1  "Larrow"       111       216       1        51             "ring9"     484   "S_tarson_A"        61       1         7;
       4         1  "Rarrow"       204       127       0        50               "nul"     573   "S_tarson_D"        64       2       193;
       5         1  "Larrow"       113       290       1        51       "Alarm_Clock"     410   "S_tarson_C"        63       2        67;
       6         1  "Rarrow"       202       633       0        50               "nul"      67   "S_tarson_B"        62       1       127;
       7         0  "Barrow"        12       180       1        51          "AlarmMix"     520   "S_tarson_B"        62       1        39;
       8         0  "Barrow"         4       131       0        50               "nul"     569   "S_tarson_D"        64       2       160;
       9         0  "Barrow"         4       602       0        50               "nul"      98   "S_tarson_D"        64       2       118;
      10         0  "Barrow"        23       421       2        52       "telephone11"     279   "S_tarson_C"        63       2       143;
      11         0  "Barrow"         3       575       0        50               "nul"     125   "S_tarson_C"        63       2        41;
      12         0  "Barrow"         1       102       0        50               "nul"     598   "S_tarson_A"        61       1        29;
      13         0  "Barrow"         2       267       0        50               "nul"     433   "S_tarson_B"        62       1        84;
      14         1  "Larrow"       101       100       0        50               "nul"     600   "S_tarson_A"        61       1         5;
      15         0  "Barrow"         4       618       0        50               "nul"      82   "S_tarson_D"        64       2       127;
      16         0  "Barrow"         4       229       0        50               "nul"     471   "S_tarson_D"        64       2        85;
      17         0  "Barrow"         1       236       0        50               "nul"     464   "S_tarson_A"        61       1        31;
      18         0  "Barrow"         1       419       0        50               "nul"     281   "S_tarson_A"        61       1       116;
      19         1  "Larrow"       101       455       0        50               "nul"     245   "S_tarson_A"        61       1        70;
      20         1  "Larrow"       101       194       0        50               "nul"     506   "S_tarson_A"        61       1        13;
      21         0  "Barrow"         2       409       0        50               "nul"     291   "S_tarson_B"        62       1        16;
      22         1  "Rarrow"       204       141       0        50               "nul"     559   "S_tarson_D"        64       2        55;
      23         0  "Barrow"        24       508       2        52          "TELEPH01"     192   "S_tarson_D"        64       2        46;
      24         0  "Barrow"         4       366       0        50               "nul"     334   "S_tarson_D"        64       2       171;
      25         1  "Rarrow"       224       379       2        52             "ring8"     321   "S_tarson_D"        64       2       102;
      26         0  "Barrow"         1        82       0        50               "nul"     618   "S_tarson_A"        61       1       106;
      27         1  "Rarrow"       212       117       1        51          "reveil11"     583   "S_tarson_B"        62       1       156;
      28         0  "Barrow"        13       176       1        51       "telephone17"     524   "S_tarson_C"        63       2        44;
      29         1  "Rarrow"       202       490       0        50               "nul"     210   "S_tarson_B"        62       1       127;
      30         1  "Rarrow"       204       614       0        50               "nul"      86   "S_tarson_D"        64       2        32;
      31         0  "Barrow"         1       371       0        50               "nul"     329   "S_tarson_A"        61       1        25;
      32         0  "Barrow"        22       415       2        52        "telephone5"     285   "S_tarson_B"        62       1       117;
      33         1  "Larrow"       123       573       2        52              "DING"     127   "S_tarson_C"        63       2       129;
      34         0  "Barrow"         2       114       0        50               "nul"     586   "S_tarson_B"        62       1        37;
