suj,cue_type,feat_attend,rt,perc_corr
sub001,pre,Orientation,967.631459236145,0.703125
sub001,pre,Frequency,985.439896583557,0.7890625
sub001,retro,Orientation,1227.30994224548,0.738095238095238
sub001,retro,Frequency,947.235584259033,0.6875
sub003,pre,Orientation,1165.5900478363,0.705263157894737
sub003,pre,Frequency,1561.30254268646,0.882978723404255
sub003,retro,Orientation,1106.00614547729,0.701149425287356
sub003,retro,Frequency,1394.97804641724,0.852631578947368
sub004,pre,Orientation,684.655547142029,0.725
sub004,pre,Frequency,901.476383209229,0.785714285714286
sub004,retro,Orientation,648.811101913452,0.815126050420168
sub004,retro,Frequency,840.421557426453,0.801587301587302
sub006,pre,Orientation,899.924039840698,0.789915966386555
sub006,pre,Frequency,1019.35255527496,0.975
sub006,retro,Orientation,797.158002853394,0.946902654867257
sub006,retro,Frequency,911.405801773071,0.921739130434783
sub008,pre,Orientation,1261.68298721313,0.844036697247706
sub008,pre,Frequency,1413.29598426819,0.944954128440367
sub008,retro,Orientation,939.502358436584,0.945454545454545
sub008,retro,Frequency,1271.38996124268,0.917431192660551
sub009,pre,Orientation,1950.00302791595,0.625
sub009,pre,Frequency,1374.52697753906,0.830645161290323
sub009,retro,Orientation,1831.11846446991,0.655737704918033
sub009,retro,Frequency,1447.3249912262,0.869918699186992
sub010,pre,Orientation,467.592000961304,0.715447154471545
sub010,pre,Frequency,518.737554550171,0.836065573770492
sub010,retro,Orientation,472.280025482178,0.80327868852459
sub010,retro,Frequency,564.3070936203,0.778688524590164
sub011,pre,Orientation,1099.81656074524,0.729508196721312
sub011,pre,Frequency,1484.95006561279,0.723577235772358
sub011,retro,Orientation,1268.83745193481,0.896825396825397
sub011,retro,Frequency,1345.99089622498,0.704
sub012,pre,Orientation,734.081625938416,0.825396825396825
sub012,pre,Frequency,837.704539299011,0.959016393442623
sub012,retro,Orientation,669.448852539063,0.867768595041322
sub012,retro,Frequency,838.060021400452,0.949152542372881
sub013,pre,Orientation,584.227085113525,0.865546218487395
sub013,pre,Frequency,617.990016937256,0.967479674796748
sub013,retro,Orientation,644.338607788086,1
sub013,retro,Frequency,621.426463127136,0.991525423728814
sub014,pre,Orientation,936.62703037262,0.693548387096774
sub014,pre,Frequency,899.924039840698,0.715447154471545
sub014,retro,Orientation,826.301574707031,0.811475409836066
sub014,retro,Frequency,1047.87194728851,0.642857142857143
sub015,pre,Orientation,609.999537467957,0.854838709677419
sub015,pre,Frequency,649.886846542358,0.907563025210084
sub015,retro,Orientation,559.072017669678,0.991869918699187
sub015,retro,Frequency,689.628005027771,0.889830508474576
sub016,pre,Orientation,769.198179244995,0.810810810810811
sub016,pre,Frequency,960.692048072815,0.941666666666667
sub016,retro,Orientation,821.578025817871,0.871794871794872
sub016,retro,Frequency,829.416513442993,0.983050847457627
sub017,pre,Orientation,740.692973136902,0.805084745762712
sub017,pre,Frequency,741.752862930298,0.921739130434783
sub017,retro,Orientation,619.534969329834,0.73728813559322
sub017,retro,Frequency,688.798546791077,0.925
sub018,pre,Orientation,562.545657157898,0.766666666666667
sub018,pre,Frequency,534.680843353271,0.934959349593496
sub018,retro,Orientation,506.96849822998,0.949152542372881
sub018,retro,Frequency,459.196925163269,0.983606557377049
sub019,pre,Orientation,749.438524246216,0.741379310344828
sub019,pre,Frequency,701.436042785645,0.831858407079646
sub019,retro,Orientation,909.419059753418,0.68
sub019,retro,Frequency,787.898063659668,0.884297520661157
sub020,pre,Orientation,777.44996547699,0.819672131147541
sub020,pre,Frequency,826.461434364319,0.95
sub020,retro,Orientation,790.27795791626,0.941176470588235
sub020,retro,Frequency,829.570055007935,0.974358974358974
sub021,pre,Orientation,889.750361442566,0.795081967213115
sub021,pre,Frequency,990.710496902466,0.85
sub021,retro,Orientation,798.313856124878,0.915966386554622
sub021,retro,Frequency,1010.33401489258,0.818181818181818
sub022,pre,Orientation,596.503973007202,0.80327868852459
sub022,pre,Frequency,531.075000762939,0.966386554621849
sub022,retro,Orientation,627.887010574341,0.886178861788618
sub022,retro,Frequency,524.604439735413,0.949152542372881
sub023,pre,Orientation,760.286927223206,0.5
sub023,pre,Frequency,839.937329292297,0.847457627118644
sub023,retro,Orientation,821.342945098877,0.616
sub023,retro,Frequency,1031.57687187195,0.712
sub024,pre,Orientation,844.202995300293,0.76984126984127
sub024,pre,Frequency,987.465500831604,0.547619047619048
sub024,retro,Orientation,753.11541557312,0.811475409836066
sub024,retro,Frequency,961.360931396484,0.447154471544715
sub025,pre,Orientation,920.379996299744,0.782258064516129
sub025,pre,Frequency,1204.78689670563,0.717741935483871
sub025,retro,Orientation,864.100098609924,0.783333333333333
sub025,retro,Frequency,1029.7839641571,0.688
sub026,pre,Orientation,1052.17385292053,0.666666666666667
sub026,pre,Frequency,1204.94890213013,0.683333333333333
sub026,retro,Orientation,802.845001220703,0.765217391304348
sub026,retro,Frequency,1019.85251903534,0.61864406779661
sub027,pre,Orientation,668.43581199646,0.780487804878049
sub027,pre,Frequency,661.686897277832,0.857142857142857
sub027,retro,Orientation,616.657972335815,0.942622950819672
sub027,retro,Frequency,683.336973190308,0.878048780487805
sub028,pre,Orientation,869.175910949707,0.672
sub028,pre,Frequency,885.533928871155,0.920634920634921
sub028,retro,Orientation,830.247044563293,0.71875
sub028,retro,Frequency,835.36434173584,0.918032786885246
sub029,pre,Orientation,1300.73988437653,0.727272727272727
sub029,pre,Frequency,1354.70294952393,0.702702702702703
sub029,retro,Orientation,1100.44598579407,0.825688073394495
sub029,retro,Frequency,1387.76636123657,0.754545454545455
sub031,pre,Orientation,1032.24503993988,0.771739130434783
sub031,pre,Frequency,1071.98882102966,0.912087912087912
sub031,retro,Orientation,923.758983612061,0.896551724137931
sub031,retro,Frequency,911.52811050415,0.887640449438202
sub032,pre,Orientation,791.206836700439,0.677685950413223
sub032,pre,Frequency,837.738037109375,0.728
sub032,retro,Orientation,755.602836608887,0.779527559055118
sub032,retro,Frequency,897.888422012329,0.75
sub033,pre,Orientation,912.211894989014,0.818181818181818
sub033,pre,Frequency,903.0921459198,0.904347826086957
sub033,retro,Orientation,810.85991859436,0.794871794871795
sub033,retro,Frequency,829.710006713867,0.905982905982906
sub034,pre,Orientation,1131.22296333313,0.634146341463415
sub034,pre,Frequency,979.146957397461,0.75
sub034,retro,Orientation,1142.5621509552,0.652892561983471
sub034,retro,Frequency,1199.70142841339,0.614754098360656
sub035,pre,Orientation,1278.68151664734,0.721311475409836
sub035,pre,Frequency,1519.03891563416,0.798387096774194
sub035,retro,Orientation,1171.60582542419,0.785123966942149
sub035,retro,Frequency,1292.59896278381,0.551181102362205
sub036,pre,Orientation,1312.24894523621,0.712
sub036,pre,Frequency,1414.60919380188,0.888
sub036,retro,Orientation,1352.79893875122,0.76984126984127
sub036,retro,Frequency,1109.99298095703,0.895161290322581
sub037,pre,Orientation,388.171911239624,0.557522123893805
sub037,pre,Frequency,396.692037582397,0.768595041322314
sub037,retro,Orientation,397.95446395874,0.508196721311475
sub037,retro,Frequency,406.995058059692,0.764705882352941
