sub,eye,roi,hemi,apeak,bpeak
sub021,close,aud,left,9,26
sub021,close,aud,right,9,27
sub022,open,somato,left,11,22
sub022,open,somato,right,11,22
sub022,open,visual,left,10,NaN
sub022,open,visual,right,10,NaN
sub022,open,aud,left,7,NaN
sub022,open,aud,right,7,NaN
sub022,close,somato,left,9,22
sub022,close,somato,right,10,22
sub022,close,visual,left,9,19
sub022,close,visual,right,10,18
sub022,close,aud,left,9,20
sub022,close,aud,right,7,23
sub023,open,somato,left,12,23
sub023,open,somato,right,11,23
sub023,open,visual,left,10,NaN
sub023,open,visual,right,10,30
sub023,open,aud,left,7,32
sub023,open,aud,right,11,NaN
sub023,close,somato,left,12,23
sub023,close,somato,right,11,23
sub023,close,visual,left,10,20
sub023,close,visual,right,10,20
sub023,close,aud,left,7,NaN
sub023,close,aud,right,11,18
sub024,open,somato,left,11,23
sub024,open,somato,right,10,18
sub024,open,visual,left,10,19
sub024,open,visual,right,10,20
sub024,open,aud,left,7,17
sub024,open,aud,right,7,NaN
sub024,close,somato,left,11,23
sub024,close,somato,right,10,20
sub024,close,visual,left,10,20
sub024,close,visual,right,10,21
sub024,close,aud,left,7,17
sub024,close,aud,right,7,NaN
sub025,open,somato,left,11,23
sub025,open,somato,right,12,25
sub025,open,visual,left,11,16
sub025,open,visual,right,10,16
sub025,open,aud,left,7,20
sub025,open,aud,right,12,24
sub025,close,somato,left,11,21
sub025,close,somato,right,10,21
sub025,close,visual,left,10,21
sub025,close,visual,right,10,21
sub025,close,aud,left,10,21
sub025,close,aud,right,12,22
sub026,open,somato,left,7,19
sub026,open,somato,right,7,21
sub026,open,visual,left,10,NaN
sub026,open,visual,right,10,32
sub026,open,aud,left,7,NaN
sub026,open,aud,right,7,31
sub026,close,somato,left,9,19
sub026,close,somato,right,8,31
sub026,close,visual,left,10,19
sub026,close,visual,right,9,19
sub026,close,aud,left,7,21
sub026,close,aud,right,7,31
sub027,open,somato,left,10,17
sub027,open,somato,right,9,19
sub027,open,visual,left,11,21
sub027,open,visual,right,11,21
sub027,open,aud,left,10,NaN
sub027,open,aud,right,9,17
sub027,close,somato,left,11,18
sub027,close,somato,right,9,19
sub027,close,visual,left,11,21
sub027,close,visual,right,11,21
sub027,close,aud,left,11,NaN
sub027,close,aud,right,10,19
sub028,open,somato,left,10,16
sub028,open,somato,right,8,21
sub028,open,visual,left,10,20
sub028,open,visual,right,10,26
sub028,open,aud,left,7,20
sub028,open,aud,right,7,18
sub028,close,somato,left,7,17
sub028,close,somato,right,7,16
sub028,close,visual,left,9,NaN
sub028,close,visual,right,9,18
sub028,close,aud,left,7,20
sub028,close,aud,right,7,22
sub029,open,somato,left,12,23
sub029,open,somato,right,12,18
sub029,open,visual,left,12,23
sub029,open,visual,right,11,18
sub029,open,aud,left,7,22
sub029,open,aud,right,7,NaN
sub029,close,somato,left,11,21
sub029,close,somato,right,11,19
sub029,close,visual,left,11,21
sub029,close,visual,right,11,21
sub029,close,aud,left,7,16
sub029,close,aud,right,7,17
sub030,open,somato,left,11,NaN
sub030,open,somato,right,11,22
sub030,open,visual,left,11,NaN
sub030,open,visual,right,11,18
sub030,open,aud,left,7,18
sub030,open,aud,right,7,NaN
sub030,close,somato,left,11,21
sub030,close,somato,right,11,22
sub030,close,visual,left,10,21
sub030,close,visual,right,11,21
sub030,close,aud,left,7,19
sub030,close,aud,right,7,21
sub031,open,somato,left,8,17
sub031,open,somato,right,8,16
sub031,open,visual,left,9,18
sub031,open,visual,right,9,19
sub031,open,aud,left,8,16
sub031,open,aud,right,10,19
sub031,close,somato,left,9,17
sub031,close,somato,right,9,NaN
sub031,close,visual,left,9,19
sub031,close,visual,right,9,19
sub031,close,aud,left,9,NaN
sub031,close,aud,right,10,20
sub032,open,somato,left,10,22
sub032,open,somato,right,9,18
sub032,open,visual,left,10,19
sub032,open,visual,right,10,NaN
sub032,open,aud,left,7,16
sub032,open,aud,right,7,23
sub032,close,somato,left,11,21
sub032,close,somato,right,10,18
sub032,close,visual,left,10,20
sub032,close,visual,right,10,20
sub032,close,aud,left,10,16
sub032,close,aud,right,7,16
sub033,open,somato,left,11,22
sub033,open,somato,right,11,23
sub033,open,visual,left,10,NaN
sub033,open,visual,right,10,16
sub033,open,aud,left,7,NaN
sub033,open,aud,right,7,26
sub033,close,somato,left,11,22
sub033,close,somato,right,11,22
sub033,close,visual,left,10,20
sub033,close,visual,right,10,20
sub033,close,aud,left,7,27
sub033,close,aud,right,10,27
sub034,open,somato,left,11,22
sub034,open,somato,right,9,18
sub034,open,visual,left,11,NaN
sub034,open,visual,right,11,NaN
sub034,open,aud,left,9,NaN
sub034,open,aud,right,7,17
sub034,close,somato,left,11,NaN
sub034,close,somato,right,9,17
sub034,close,visual,left,9,NaN
sub034,close,visual,right,9,18
sub034,close,aud,left,10,17
sub034,close,aud,right,7,28
sub035,open,somato,left,8,25
sub035,open,somato,right,8,16
sub035,open,visual,left,9,18
sub035,open,visual,right,9,18
sub035,open,aud,left,8,16
sub035,open,aud,right,9,18
sub035,close,somato,left,8,16
sub035,close,somato,right,8,21
sub035,close,visual,left,9,18
sub035,close,visual,right,9,18
sub035,close,aud,left,8,16
sub035,close,aud,right,8,NaN
sub036,open,somato,left,11,21
sub036,open,somato,right,12,23
sub036,open,visual,left,10,19
sub036,open,visual,right,10,19
sub036,open,aud,left,9,20
sub036,open,aud,right,10,25
sub036,close,somato,left,11,22
sub036,close,somato,right,12,24
sub036,close,visual,left,10,20
sub036,close,visual,right,10,21
sub036,close,aud,left,9,20
sub036,close,aud,right,9,16
sub037,open,somato,left,9,27
sub037,open,somato,right,9,18
sub037,open,visual,left,10,19
sub037,open,visual,right,10,17
sub037,open,aud,left,9,NaN
sub037,open,aud,right,9,17
sub037,close,somato,left,9,17
sub037,close,somato,right,9,17
sub037,close,visual,left,10,19
sub037,close,visual,right,10,20
sub037,close,aud,left,8,26
sub037,close,aud,right,8,NaN
sub039,open,somato,left,13,26
sub039,open,somato,right,13,26
sub039,open,visual,left,10,20
sub039,open,visual,right,10,20
sub039,open,aud,left,10,19
sub039,open,aud,right,10,17
sub039,close,somato,left,13,26
sub039,close,somato,right,13,26
sub039,close,visual,left,10,20
sub039,close,visual,right,10,20
sub039,close,aud,left,10,17
sub039,close,aud,right,9,18
