sub,eye,measure,window,compare,cond,value
sub004,closed,visual power,500pre,rt,fast,-0.001
sub004,closed,visual power,500pre,rt,slow,-0.001
sub004,closed,somato-visual balance,500pre,accuracy_e,correct_e,-0.001
sub004,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.001
sub004,closed,somato-visual balance,500pre,rt,fast,-0.001
sub004,closed,somato-visual balance,500pre,rt,slow,-0.001
sub005,open,laterilsation index,500pre,accuracy_e,correct_e,0.004
sub005,open,laterilsation index,500pre,accuracy_e,incorrect_e,-0.006
sub005,open,laterilsation index,500pre,rt,fast,0.023
sub005,open,laterilsation index,500pre,rt,slow,0.006
sub005,open,visual power,500pre,accuracy_e,correct_e,0.006
sub005,open,visual power,500pre,accuracy_e,incorrect_e,0.006
sub005,open,visual power,500pre,rt,fast,0.006
sub005,open,visual power,500pre,rt,slow,0.006
sub005,open,somato-visual balance,500pre,accuracy_e,correct_e,0.006
sub005,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.006
sub005,open,somato-visual balance,500pre,rt,fast,0.006
sub005,open,somato-visual balance,500pre,rt,slow,0.006
sub005,closed,laterilsation index,500pre,accuracy_e,correct_e,-0.019
sub005,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.029
sub005,closed,laterilsation index,500pre,rt,fast,0.007
sub005,closed,laterilsation index,500pre,rt,slow,-0.008
sub005,closed,visual power,500pre,accuracy_e,correct_e,-0.008
sub005,closed,visual power,500pre,accuracy_e,incorrect_e,-0.008
sub005,closed,visual power,500pre,rt,fast,-0.008
sub005,closed,visual power,500pre,rt,slow,-0.008
sub005,closed,somato-visual balance,500pre,accuracy_e,correct_e,-0.008
sub005,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.008
sub005,closed,somato-visual balance,500pre,rt,fast,-0.008
sub005,closed,somato-visual balance,500pre,rt,slow,-0.008
sub006,open,laterilsation index,500pre,accuracy_e,correct_e,0.03
sub006,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.062
sub006,open,laterilsation index,500pre,rt,fast,0.103
sub006,open,laterilsation index,500pre,rt,slow,0.078
sub006,open,visual power,500pre,accuracy_e,correct_e,0.078
sub006,open,visual power,500pre,accuracy_e,incorrect_e,0.078
sub006,open,visual power,500pre,rt,fast,0.078
sub006,open,visual power,500pre,rt,slow,0.078
sub006,open,somato-visual balance,500pre,accuracy_e,correct_e,0.078
sub006,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.078
sub006,open,somato-visual balance,500pre,rt,fast,0.078
sub006,open,somato-visual balance,500pre,rt,slow,0.078
sub006,closed,laterilsation index,500pre,accuracy_e,correct_e,0.088
sub006,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.1
sub006,closed,laterilsation index,500pre,rt,fast,0.081
sub006,closed,laterilsation index,500pre,rt,slow,0.099
sub006,closed,visual power,500pre,accuracy_e,correct_e,0.099
sub006,closed,visual power,500pre,accuracy_e,incorrect_e,0.099
sub006,closed,visual power,500pre,rt,fast,0.099
sub006,closed,visual power,500pre,rt,slow,0.099
