cl_co,cl_in,op_co,op_in
2.34152244287603e-05,2.60483473884955e-05,1.07887743578302e-05,1.12748261409442e-05
1.30267121385532e-05,1.29659322550205e-05,2.75163762400622e-06,3.84835572540726e-06
8.81557377620451e-06,8.73721046757718e-06,4.40748650744321e-06,4.07370844792432e-06
6.81086811713764e-06,8.25465912174357e-06,3.67996069718908e-06,3.30181831352125e-06
6.87926176712781e-06,7.2180816698354e-06,2.6370628347778e-06,2.44276001519913e-06
5.29245854080813e-06,6.93060148540679e-06,4.73458261929291e-06,4.88216637600276e-06
2.59746592198802e-07,2.12298179831568e-07,1.47344738646385e-07,1.87244166923027e-07
6.74977944931742e-06,4.95897266146449e-06,3.93501320983251e-06,7.96381792439118e-06
1.26731130831975e-05,1.22273289692457e-05,8.50122043698577e-06,9.2819962432933e-06
2.44478412899453e-05,2.04216504600065e-05,1.12701894860614e-05,8.43276978474122e-06
5.52679198778267e-06,5.96727260609331e-06,5.24623766101712e-06,5.51757376996048e-06
1.32813582502509e-05,1.53456149811742e-05,9.3491863826411e-06,9.19650105747312e-06
6.60171500618426e-06,3.99006997747693e-06,2.64022061384008e-06,2.21402744291751e-06
1.20215058102199e-06,1.16540893929221e-06,2.38081117172144e-06,2.50441428072717e-06
3.21040127220978e-06,3.15801155283248e-06,3.32849136094605e-06,3.29706423265198e-06
4.91575448631303e-06,3.80779302876768e-06,2.81030593924787e-06,2.60524838093565e-06
8.3339684521281e-06,7.83604385719049e-06,3.41726291108341e-06,2.98604379887709e-06
4.50265684470634e-06,4.42889614957997e-06,2.83020209286208e-06,2.86955195417402e-06
3.96490788308222e-06,5.08072155893065e-06,1.62000865704683e-06,1.16963122355194e-06
6.11886187631907e-06,5.79874535132705e-06,1.46071098319227e-06,1.43242367879581e-06
2.91477412671351e-06,2.50195792722377e-06,1.83720750018481e-06,2.23781588896404e-06
5.88782919292955e-06,5.96971627351872e-06,4.31956069067055e-06,3.54898860792198e-06
8.21302750332449e-06,8.50532119833408e-06,2.86220536744408e-06,2.58200260106803e-06
1.37465053634105e-06,1.43930295086253e-06,6.88023341935569e-07,6.39703938022166e-07
6.75423253719679e-06,7.27542886244269e-06,2.49553566711201e-06,2.34486342656069e-06
1.27256143278147e-05,1.02274855084215e-05,9.96012660604506e-06,8.19392096169342e-06
6.66530620368705e-06,7.60246158200552e-06,3.8162118282191e-06,3.64100999592456e-06
1.52270237937343e-05,1.44889839867846e-05,3.90454187449605e-06,5.85746617231183e-06
7.40522843403134e-06,7.85594121475846e-06,2.68922231227062e-06,2.66033089216074e-06
1.47136926974044e-05,1.60336696881171e-05,1.00211126411366e-05,1.02158014661901e-05
1.97606477648079e-05,1.8120485918114e-05,9.70565550000358e-06,8.92986822179471e-06
2.47772937939463e-05,1.94417759675656e-05,9.18952272434322e-06,1.23522992375632e-05
1.75898938735303e-05,1.48552893117542e-05,8.29538531814191e-06,6.31216808558544e-06
