sub,eye,measure,window,peak,compare,cond,value
sub003,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.85713625032397
sub003,closed,somatovisual balance,1000pre,sensor,rt,fast,0.860693329466782
sub003,closed,somatovisual balance,1000pre,sensor,rt,slow,0.866745889447422
sub004,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.485985571402081
sub004,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.395134778977815
sub004,open,visual power,1000pre,sensor,rt,fast,0.432925704405797
sub004,open,visual power,1000pre,sensor,rt,slow,0.119054461373531
sub004,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.0726761363268658
sub004,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.029901266776523
sub004,open,laterilsation index,1000pre,sensor,rt,fast,-0.0548571913208967
sub004,open,laterilsation index,1000pre,sensor,rt,slow,0.0856465473963635
sub004,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.771783517129071
sub004,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.737123649136328
sub004,open,somatovisual balance,1000pre,sensor,rt,fast,0.733284743433398
sub004,open,somatovisual balance,1000pre,sensor,rt,slow,0.738599255286661
sub004,closed,visual power,1000pre,sensor,accuracy_e,correct_e,0.484211714109949
sub004,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.3379122174828
sub004,closed,visual power,1000pre,sensor,rt,fast,0.537084121921594
sub004,closed,visual power,1000pre,sensor,rt,slow,0.414015573046591
sub004,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.0282663203885994
sub004,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.179457857185715
sub004,closed,laterilsation index,1000pre,sensor,rt,fast,0.00916317146922094
sub004,closed,laterilsation index,1000pre,sensor,rt,slow,0.00665998300061575
sub004,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.800714355012746
sub004,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.825673862126247
sub004,closed,somatovisual balance,1000pre,sensor,rt,fast,0.809185576793188
sub004,closed,somatovisual balance,1000pre,sensor,rt,slow,0.819681554375508
sub005,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.433437616017351
sub005,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.203659289889285
sub005,open,visual power,1000pre,sensor,rt,fast,0.393117442938772
sub005,open,visual power,1000pre,sensor,rt,slow,0.459844390046168
sub005,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,-0.0120979042301712
sub005,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.0272439947051289
sub005,open,laterilsation index,1000pre,sensor,rt,fast,-0.0224148719535307
sub005,open,laterilsation index,1000pre,sensor,rt,slow,-0.0145588851783581
sub005,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.708593576749049
sub005,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.729154651486315
sub005,open,somatovisual balance,1000pre,sensor,rt,fast,0.714476187388233
sub005,open,somatovisual balance,1000pre,sensor,rt,slow,0.740790372341865
sub005,closed,visual power,1000pre,sensor,accuracy_e,correct_e,-0.169317279961972
sub005,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.158083646792697
sub005,closed,visual power,1000pre,sensor,rt,fast,-0.0870823285327718
sub005,closed,visual power,1000pre,sensor,rt,slow,-0.199523910092434
sub005,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.0107776893378076
sub005,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.0142178113830072
sub005,closed,laterilsation index,1000pre,sensor,rt,fast,0.0453520584881984
sub005,closed,laterilsation index,1000pre,sensor,rt,slow,-0.0528753297428572
sub005,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.823826703067843
sub005,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.804453391948534
sub005,closed,somatovisual balance,1000pre,sensor,rt,fast,0.82984123589754
sub005,closed,somatovisual balance,1000pre,sensor,rt,slow,0.8212747648858
sub006,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.60476478221325
sub006,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.527009250708444
sub006,open,visual power,1000pre,sensor,rt,fast,0.528703260440644
sub006,open,visual power,1000pre,sensor,rt,slow,0.452175672889206
sub006,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.171941065864063
sub006,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.0247543723078868
sub006,open,laterilsation index,1000pre,sensor,rt,fast,0.142626318423003
sub006,open,laterilsation index,1000pre,sensor,rt,slow,0.0824432689530743
sub006,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.745441152846758
sub006,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.692920953920438
sub006,open,somatovisual balance,1000pre,sensor,rt,fast,0.713822706268266
sub006,open,somatovisual balance,1000pre,sensor,rt,slow,0.716063039400878
sub006,closed,visual power,1000pre,sensor,accuracy_e,correct_e,0.0474953951950846
sub006,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.228593013016954
sub006,closed,visual power,1000pre,sensor,rt,fast,0.0781823931090466
sub006,closed,visual power,1000pre,sensor,rt,slow,0.219420545290664
sub006,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.119712280951416
sub006,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.12989220437139
sub006,closed,laterilsation index,1000pre,sensor,rt,fast,0.101413342146476
sub006,closed,laterilsation index,1000pre,sensor,rt,slow,0.102175570950966
sub006,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.745249273379092
sub006,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.727890134414885
sub006,closed,somatovisual balance,1000pre,sensor,rt,fast,0.755619720427185
sub006,closed,somatovisual balance,1000pre,sensor,rt,slow,0.719228663134342
sub007,open,visual power,1000pre,sensor,accuracy_e,correct_e,-0.330942487320325
sub007,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.259540535610287
sub007,open,visual power,1000pre,sensor,rt,fast,-0.414661819239041
sub007,open,visual power,1000pre,sensor,rt,slow,-0.314987412434167
sub007,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,-0.0103999357876264
sub007,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.00641277017353672
sub007,open,laterilsation index,1000pre,sensor,rt,fast,0.0921046223518647
sub007,open,laterilsation index,1000pre,sensor,rt,slow,0.0503018390297921
sub007,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.315463092251538
sub007,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.454739989364227
sub007,open,somatovisual balance,1000pre,sensor,rt,fast,0.419610272038266
sub007,open,somatovisual balance,1000pre,sensor,rt,slow,0.304522708382858
sub007,closed,visual power,1000pre,sensor,accuracy_e,correct_e,-0.348733920903509
sub007,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.45623137959624
sub007,closed,visual power,1000pre,sensor,rt,fast,-0.457911233880469
sub007,closed,visual power,1000pre,sensor,rt,slow,-0.428387051505398
sub007,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,-0.00940171702283179
sub007,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.242509220566607
sub007,closed,laterilsation index,1000pre,sensor,rt,fast,0.0508549615560227
sub007,closed,laterilsation index,1000pre,sensor,rt,slow,-0.00945491612345246
sub007,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.614648986514577
sub007,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.633010736688965
sub007,closed,somatovisual balance,1000pre,sensor,rt,fast,0.647374186425092
sub007,closed,somatovisual balance,1000pre,sensor,rt,slow,0.621369467959194
sub008,open,visual power,1000pre,sensor,accuracy_e,correct_e,-0.048110803415
sub008,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.0405552847801114
sub008,open,visual power,1000pre,sensor,rt,fast,0.201894170472871
sub008,open,visual power,1000pre,sensor,rt,slow,0.537767923771582
sub008,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,-0.168278886967255
sub008,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.1517687802725
sub008,open,laterilsation index,1000pre,sensor,rt,fast,-0.00650028119572457
sub008,open,laterilsation index,1000pre,sensor,rt,slow,0.0307925014151828
sub008,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.932030182337009
sub008,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.936323747597033
sub008,open,somatovisual balance,1000pre,sensor,rt,fast,0.941527440598596
sub008,open,somatovisual balance,1000pre,sensor,rt,slow,0.948862069963861
sub008,closed,visual power,1000pre,sensor,accuracy_e,correct_e,-0.458831606643856
sub008,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.244921294403275
sub008,closed,visual power,1000pre,sensor,rt,fast,-0.0303899620368654
sub008,closed,visual power,1000pre,sensor,rt,slow,-0.315114263697606
sub008,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.119165440968616
sub008,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,-0.00313056492467631
sub008,closed,laterilsation index,1000pre,sensor,rt,fast,0.0884727369510494
sub008,closed,laterilsation index,1000pre,sensor,rt,slow,0.0335546680246976
sub008,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.949780204111239
