cl_co,cl_in,op_co,op_in
2.09138095952097e-05,2.22735926731194e-05,7.82699089544467e-06,7.50007142556815e-06
9.53681166482015e-06,1.08557743849283e-05,7.55467559506099e-07,1.73819785531513e-06
6.75201563244781e-06,6.91062242474924e-06,2.44867160661584e-06,2.24712040509639e-06
7.89979908267038e-06,6.95787052422259e-06,2.51887324632377e-06,2.00502971600027e-06
6.20799753656469e-06,5.8374549446313e-06,1.43184006372921e-06,1.06213328999503e-06
4.45763218719697e-06,5.49682829598561e-06,3.82276204532013e-06,3.44839318658158e-06
9.80582846503503e-08,1.00013966009758e-07,4.94995973505801e-08,7.49599531012168e-08
3.65509126377566e-06,2.93278839387459e-06,6.18833658581842e-06,5.93763365680129e-06
1.07834783702801e-05,9.89746568592074e-06,7.06410719655218e-06,6.95213295996833e-06
1.87476085469375e-05,1.7649867384392e-05,8.21808495971146e-06,5.66098670912675e-06
3.69634004243884e-06,4.51621699355571e-06,4.47827598116609e-06,4.06651815742288e-06
1.36488136669673e-05,1.32255472447785e-05,6.73979413561619e-06,7.07643332107733e-06
4.02982872890448e-06,3.03688465999311e-06,1.01422721363742e-06,1.26084212543368e-06
6.0909729868643e-07,4.71423304622349e-07,1.61881578854353e-06,1.8104286460573e-06
2.52177319571847e-06,2.02288157832827e-06,2.62596207753657e-06,2.16193425814778e-06
3.89694097408488e-06,2.99913577786101e-06,1.97660799903587e-06,1.79659113002898e-06
8.24123584133948e-06,6.35554694681915e-06,1.57780834142544e-06,1.50554688850575e-06
4.0678105507499e-06,3.33337671870861e-06,2.21842277760778e-06,1.77403252330267e-06
3.49182986977247e-06,4.43514263920123e-06,8.68577563126346e-07,5.24052303822523e-07
4.69624832191254e-06,4.97674636303288e-06,7.1899482016454e-07,6.10424690501643e-07
1.98233821056091e-06,1.80556855112078e-06,1.07674169674797e-06,1.54142651286105e-06
4.12254621724574e-06,4.91236070896442e-06,3.28188456660815e-06,2.49163304336767e-06
6.07654176211434e-06,6.92092451759574e-06,8.94757958186777e-07,9.97605920329689e-07
1.1114993844467e-06,1.02327837701158e-06,2.68967860974832e-07,2.23679364171217e-07
5.1245705956233e-06,6.14818005525709e-06,1.1748991568098e-06,1.21761461937509e-06
9.99850234609965e-06,8.38849734260155e-06,7.72469500184969e-06,6.35493279587351e-06
5.46741919097407e-06,6.18712353997e-06,2.31690064476703e-06,2.22567195388904e-06
1.19458783059235e-05,1.2503491535278e-05,1.40036506679187e-06,3.8719737208052e-06
4.64569101064233e-06,6.24647358184225e-06,1.2355595433752e-06,1.05086325924453e-06
1.1345295283311e-05,1.32260163544869e-05,8.31696234947508e-06,7.40814813255991e-06
1.8199383457213e-05,1.53980257743461e-05,6.83656927058472e-06,6.2074080780268e-06
2.03258006445285e-05,1.55439260653605e-05,1.13391736428404e-05,8.45444933535817e-06
1.3189855636243e-05,1.21735589814044e-05,7.86678629279795e-06,3.6304377552356e-06
