suj,eyes,rt,rt_vis
sub001,open,fast,0.233640982140632
sub001,open,slow,0.182232631612716
sub001,closed,fast,-0.0440080886555559
sub001,closed,slow,-0.050765578684076
sub002,open,fast,-0.102573307840166
sub002,open,slow,-0.0412410771373953
sub002,closed,fast,-0.0308031784671399
sub002,closed,slow,0.104324459207451
sub003,open,fast,0.284145177651208
sub003,open,slow,0.0336618946884788
sub003,closed,fast,0.0398246944034671
sub003,closed,slow,-0.0288665110888188
sub004,open,fast,0.181104125621638
sub004,open,slow,0.056368374414517
sub004,closed,fast,0.292908103321384
sub004,closed,slow,0.238388861583284
sub005,open,fast,0.361842116111171
sub005,open,slow,0.151381437171984
sub005,closed,fast,-0.213757866086545
sub005,closed,slow,-0.279308886386179
sub006,open,fast,0.421199192735147
sub006,open,slow,0.471051215584301
sub006,closed,fast,0.0759509613330265
sub006,closed,slow,0.0758533019126581
sub007,open,fast,-0.414888994892537
sub007,open,slow,-0.375814969512732
sub007,closed,fast,-0.422512801419469
sub007,closed,slow,-0.456139269605846
sub008,open,fast,0.0692493215356209
sub008,open,slow,0.293048675709682
sub008,closed,fast,-0.121686517551423
sub008,closed,slow,-0.32553462469817
sub009,open,fast,-0.105506773951033
sub009,open,slow,0.115561167051569
sub009,closed,fast,-0.235032856033811
sub009,closed,slow,-0.219637387768165
sub010,open,fast,0.582179627354949
sub010,open,slow,0.324582740999547
sub010,closed,fast,-0.156350817911317
sub010,closed,slow,-0.194066071009508
sub011,open,fast,0.917703009554291
sub011,open,slow,1.30793915793926
sub011,closed,fast,-0.310714230027807
sub011,closed,slow,-0.277867090456524
sub012,open,fast,0.416468575386089
sub012,open,slow,0.223187562244531
sub012,closed,fast,-0.13060203087805
sub012,closed,slow,-0.17986802916084
sub017,open,fast,0.824481519073601
sub017,open,slow,0.576982561378118
sub017,closed,fast,-0.226196494111113
sub017,closed,slow,-0.256350014007743
sub018,open,fast,0.00117942569108904
sub018,open,slow,-0.0598316188814549
sub018,closed,fast,-0.034940065962799
sub018,closed,slow,0.00331058992768298
sub020,open,fast,-0.0132457427512153
sub020,open,slow,0.168170582589528
sub020,closed,fast,-0.0848165992146251
sub020,closed,slow,-0.22066495059966
sub021,open,fast,0.560476272663703
sub021,open,slow,0.494559734536201
sub021,closed,fast,0.056846966132759
sub021,closed,slow,-0.0387784571944193
sub022,open,fast,0.639650095812766
sub022,open,slow,0.535898430436094
sub022,closed,fast,-0.0307021432202164
sub022,closed,slow,-0.00734594686954141
sub023,open,fast,0.212115918490357
sub023,open,slow,0.122483134593926
sub023,closed,fast,-0.102050729822076
sub023,closed,slow,-0.134602581983346
sub024,open,fast,0.980860488287955
sub024,open,slow,1.02118493227725
sub024,closed,fast,-0.0450684351252222
sub024,closed,slow,-0.136675400209951
sub025,open,fast,0.799375708734713
sub025,open,slow,0.559941838387808
sub025,closed,fast,0.105886476814168
sub025,closed,slow,0.0562966600077645
sub026,open,fast,0.134483025858864
sub026,open,slow,0.0707737902101352
sub026,closed,fast,0.0755534384080557
sub026,closed,slow,-0.0306485579553396
sub027,open,fast,0.361637823362189
sub027,open,slow,0.409786328190841
sub027,closed,fast,-0.0175111465753675
sub027,closed,slow,-0.0581525187836399
sub028,open,fast,-0.100609668528381
sub028,open,slow,-0.0597785801167468
sub028,closed,fast,0.0116167959138268
sub028,closed,slow,-0.0676885067688768
sub029,open,fast,-0.0338200982487526
sub029,open,slow,0.0550070415962754
sub029,closed,fast,-0.0929955677364788
sub029,closed,slow,-0.269000381189452
sub030,open,fast,0.038271071501313
sub030,open,slow,0.12108196979006
sub030,closed,fast,-0.055143036513804
sub030,closed,slow,-0.186409375887713
sub031,open,fast,0.648986990186546
sub031,open,slow,0.429735628855959
sub031,closed,fast,-0.0454619218536254
sub031,closed,slow,-0.206614447549189
sub032,open,fast,0.538876572424964
sub032,open,slow,0.370605968856293
sub032,closed,fast,-0.135475140604895
sub032,closed,slow,-0.121717884569521
sub033,open,fast,0.539020932881498
sub033,open,slow,0.315019462518958
sub033,closed,fast,0.0818812000979768
sub033,closed,slow,0.120667194582044
sub034,open,fast,0.405786919042779
sub034,open,slow,0.185675443532637
sub034,closed,fast,-0.048455361154541
sub034,closed,slow,0.00918814813517052
sub035,open,fast,0.00499878258632929
sub035,open,slow,0.0256348345042877
sub035,closed,fast,0.0395245001200976
sub035,closed,slow,-0.153423129490613
sub036,open,fast,0.301366489160113
sub036,open,slow,0.249673566892454
sub036,closed,fast,0.0773088099922047
sub036,closed,slow,0.093701237426086
sub037,open,fast,0.35735464312311
sub037,open,slow,0.0720275042603949
sub037,closed,fast,0.111071405842028
sub037,closed,slow,-0.245250811669453
sub039,open,fast,0.19481373617906
sub039,open,slow,0.00187894960156681
sub039,closed,fast,0.00942193993365282
sub039,closed,slow,-0.0432735464000816
