sub,eyes,measure,roi,cond,compare,band,value
sub032,closed,absolute,vtpm V1,correct,accuracy,alpha,4.33416632084132e-06
sub032,closed,absolute,vtpm V1,incorrect,accuracy,alpha,5.50363570081737e-06
sub032,closed,absolute,vtpm V1,correct_e,accuracy_e,alpha,4.55406577300637e-06
sub032,closed,absolute,vtpm V1,incorrect_e,accuracy_e,alpha,5.50363570081737e-06
sub032,closed,absolute,vtpm V1,fast,rt,alpha,4.15007683890739e-06
sub032,closed,absolute,vtpm V1,slow,rt,alpha,4.37482976715618e-06
sub032,closed,absolute,vtpm V2,correct,accuracy,alpha,1.77327341856704e-06
sub032,closed,absolute,vtpm V2,incorrect,accuracy,alpha,1.76994581134615e-06
sub032,closed,absolute,vtpm V2,correct_e,accuracy_e,alpha,1.56682184292438e-06
sub032,closed,absolute,vtpm V2,incorrect_e,accuracy_e,alpha,1.76994581134615e-06
sub032,closed,absolute,vtpm V2,fast,rt,alpha,1.77882394482176e-06
sub032,closed,absolute,vtpm V2,slow,rt,alpha,1.7196321481709e-06
sub032,closed,absolute,vtpm V3,correct,accuracy,alpha,5.30257003170033e-06
sub032,closed,absolute,vtpm V3,incorrect,accuracy,alpha,5.21101272961617e-06
sub032,closed,absolute,vtpm V3,correct_e,accuracy_e,alpha,4.96578540003719e-06
sub032,closed,absolute,vtpm V3,incorrect_e,accuracy_e,alpha,5.21101272961617e-06
sub032,closed,absolute,vtpm V3,fast,rt,alpha,5.23728452502381e-06
sub032,closed,absolute,vtpm V3,slow,rt,alpha,5.25868846034602e-06
sub033,open,visual power,vtpm V1,correct,accuracy,alpha,0.36087578751008
sub033,open,visual power,vtpm V1,incorrect,accuracy,alpha,0.271904518508754
sub033,open,visual power,vtpm V1,correct_e,accuracy_e,alpha,0.543550188420204
sub033,open,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,0.271904518508754
sub033,open,visual power,vtpm V1,fast,rt,alpha,0.393612401385864
sub033,open,visual power,vtpm V1,slow,rt,alpha,0.349924489466595
sub033,open,visual power,vtpm V2,correct,accuracy,alpha,0.26437192077247
sub033,open,visual power,vtpm V2,incorrect,accuracy,alpha,0.76030582943688
sub033,open,visual power,vtpm V2,correct_e,accuracy_e,alpha,-0.0355435766231895
sub033,open,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,0.76030582943688
sub033,open,visual power,vtpm V2,fast,rt,alpha,0.215676329816907
sub033,open,visual power,vtpm V2,slow,rt,alpha,0.393021899104626
sub033,open,visual power,vtpm V3,correct,accuracy,alpha,0.279465106663708
