sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,closed,visual power,Brodmann area 18,correct,accuracy,500pre,source,alpha,-0.122583132352704
sub001,closed,visual power,Brodmann area 18,incorrect,accuracy,500pre,source,alpha,0.0298942098990639
sub001,closed,visual power,Brodmann area 18,correct_e,accuracy_e,500pre,source,alpha,-0.12313826789567
sub001,closed,visual power,Brodmann area 18,incorrect_e,accuracy_e,500pre,source,alpha,0.0298942098990639
sub001,closed,visual power,Brodmann area 18,fast,rt,500pre,source,alpha,-0.161695901079777
sub001,closed,visual power,Brodmann area 18,slow,rt,500pre,source,alpha,-0.0498989210590587
sub001,closed,visual power,Brodmann area 19,correct,accuracy,500pre,source,alpha,-0.116119017630602
sub001,closed,visual power,Brodmann area 19,incorrect,accuracy,500pre,source,alpha,0.282697651380393
sub001,closed,visual power,Brodmann area 19,correct_e,accuracy_e,500pre,source,alpha,-0.117934974568937
sub001,closed,visual power,Brodmann area 19,incorrect_e,accuracy_e,500pre,source,alpha,0.282697651380393
sub001,closed,visual power,Brodmann area 19,fast,rt,500pre,source,alpha,-0.218263936241461
sub001,closed,visual power,Brodmann area 19,slow,rt,500pre,source,alpha,0.0256810414331302
sub001,open,visual power,vtpm V1,correct,accuracy,500pre,source,beta,0.199938899812129
sub001,open,visual power,vtpm V1,incorrect,accuracy,500pre,source,beta,0.0190300306564425
sub001,open,visual power,vtpm V1,correct_e,accuracy_e,500pre,source,beta,0.365363244181901
sub001,open,visual power,vtpm V1,incorrect_e,accuracy_e,500pre,source,beta,0.0190300306564425
sub001,open,visual power,vtpm V1,fast,rt,500pre,source,beta,0.293283509995513
sub001,open,visual power,vtpm V1,slow,rt,500pre,source,beta,0.143659309285249
sub001,open,visual power,vtpm V2,correct,accuracy,500pre,source,beta,0.0467529186627341
sub001,open,visual power,vtpm V2,incorrect,accuracy,500pre,source,beta,0.111828879968597
sub001,open,visual power,vtpm V2,correct_e,accuracy_e,500pre,source,beta,-0.157512674301469
sub001,open,visual power,vtpm V2,incorrect_e,accuracy_e,500pre,source,beta,0.111828879968597
sub001,open,visual power,vtpm V2,fast,rt,500pre,source,beta,0.12374958234302
sub001,open,visual power,vtpm V2,slow,rt,500pre,source,beta,-0.016972086010313
sub001,open,visual power,vtpm V3,correct,accuracy,500pre,source,beta,0.143533449560234
sub001,open,visual power,vtpm V3,incorrect,accuracy,500pre,source,beta,0.0798904300928236
sub001,open,visual power,vtpm V3,correct_e,accuracy_e,500pre,source,beta,0.0100122248486949
sub001,open,visual power,vtpm V3,incorrect_e,accuracy_e,500pre,source,beta,0.0798904300928236
sub001,open,visual power,vtpm V3,fast,rt,500pre,source,beta,0.215720408423421
sub001,open,visual power,vtpm V3,slow,rt,500pre,source,beta,0.0440764549812809
sub001,open,visual power,Brodmann area 17,correct,accuracy,500pre,source,beta,0.161635511618961
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,beta,0.276894589101659
sub001,open,visual power,Brodmann area 17,correct_e,accuracy_e,500pre,source,beta,0.0706487312175512
sub001,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,500pre,source,beta,0.276894589101659
sub001,open,visual power,Brodmann area 17,fast,rt,500pre,source,beta,0.341000979856181
sub001,open,visual power,Brodmann area 17,slow,rt,500pre,source,beta,0.0127915679579561
sub001,open,visual power,Brodmann area 18,correct,accuracy,500pre,source,beta,0.122653973604979
