sub,eyes,measure,roi,cond,compare,value
sub003,open,absolute,v1,correct,accuracy,2.77380476244152
sub003,open,absolute,v1,incorrect,accuracy,2.76273942816791
sub003,open,absolute,v1,correct_e,accuracy_e,2.7786945694972
sub003,open,absolute,v1,incorrect_e,accuracy_e,2.76273942816791
sub003,open,absolute,v1,fast,rt,2.91066864222474
sub003,open,absolute,v1,slow,rt,2.62725831513895
sub003,closed,visual power,v1,correct,accuracy,0.0260980227167674
sub003,closed,visual power,v1,incorrect,accuracy,-0.11016742350002
sub003,closed,visual power,v1,correct_e,accuracy_e,0.0904730304843956
sub003,closed,visual power,v1,incorrect_e,accuracy_e,-0.11016742350002
sub003,closed,visual power,v1,fast,rt,0.00693416532408288
sub003,closed,visual power,v1,slow,rt,0.0510187360260618
sub003,closed,somato lateralisation index,max,correct,accuracy,0.0431537788467215
sub003,closed,somato lateralisation index,max,incorrect,accuracy,0.0930294521011098
sub003,closed,somato lateralisation index,max,correct_e,accuracy_e,0.0395749338989214
sub003,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.0930294521011098
sub003,closed,somato lateralisation index,max,fast,rt,0.0256675756334565
sub003,closed,somato lateralisation index,max,slow,rt,0.0621161781458611
sub003,closed,absolute,v1,correct,accuracy,3.95322279380236
sub003,closed,absolute,v1,incorrect,accuracy,3.75754734740493
sub003,closed,absolute,v1,correct_e,accuracy_e,3.91767636709491
sub003,closed,absolute,v1,incorrect_e,accuracy_e,3.75754734740493
sub003,closed,absolute,v1,fast,rt,4.03723254007079
sub003,closed,absolute,v1,slow,rt,3.87112910159484
sub004,open,visual power,v1,correct,accuracy,0.140728355714168
sub004,open,visual power,v1,incorrect,accuracy,0.15218308609483
sub004,open,visual power,v1,correct_e,accuracy_e,0.0622529383669184
sub004,open,visual power,v1,incorrect_e,accuracy_e,0.15218308609483
sub004,open,visual power,v1,fast,rt,0.205938608359978
sub004,open,visual power,v1,slow,rt,0.056858757358613
sub004,open,somato lateralisation index,max,correct,accuracy,0.0166407003255925
sub004,open,somato lateralisation index,max,incorrect,accuracy,0.0299012667765223
sub004,open,somato lateralisation index,max,correct_e,accuracy_e,-0.0998203097337739
sub004,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.0299012667765223
sub004,open,somato lateralisation index,max,fast,rt,-0.0548571913208969
sub004,open,somato lateralisation index,max,slow,rt,0.0856465473963641
sub004,open,absolute,v1,correct,accuracy,3.03029447604863
sub004,open,absolute,v1,incorrect,accuracy,3.06743743747579
sub004,open,absolute,v1,correct_e,accuracy_e,2.96880147687796
sub004,open,absolute,v1,incorrect_e,accuracy_e,3.06743743747579
