sub,eyes,measure,roi,cond,compare,band,value
sub032,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.118031362823893
sub032,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0138026614961139
sub032,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.118031362823893
sub032,closed,somato lateralisation index,max,fast,rt,alpha,0.0473111922894576
sub032,closed,somato lateralisation index,max,slow,rt,alpha,-0.127220953494474
sub032,closed,absolute,Brodmann area 17,correct,accuracy,alpha,1.03597625101082e-05
sub032,closed,absolute,Brodmann area 17,incorrect,accuracy,alpha,1.19665068249382e-05
sub032,closed,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,1.07010307074935e-05
sub032,closed,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,1.19665068249382e-05
sub032,closed,absolute,Brodmann area 17,fast,rt,alpha,9.91956485712692e-06
sub032,closed,absolute,Brodmann area 17,slow,rt,alpha,1.07268681824919e-05
sub032,closed,absolute,Brodmann area 18,correct,accuracy,alpha,7.21346359109687e-06
sub032,closed,absolute,Brodmann area 18,incorrect,accuracy,alpha,7.84836132884252e-06
sub032,closed,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,7.29297313233088e-06
sub032,closed,absolute,Brodmann area 18,incorrect_e,accuracy_e,alpha,7.84836132884252e-06
sub032,closed,absolute,Brodmann area 18,fast,rt,alpha,7.29003438741851e-06
sub032,closed,absolute,Brodmann area 18,slow,rt,alpha,7.0304533346575e-06
sub032,closed,absolute,Brodmann area 19,correct,accuracy,alpha,2.7394291032742e-06
sub032,closed,absolute,Brodmann area 19,incorrect,accuracy,alpha,2.99251659223588e-06
sub032,closed,absolute,Brodmann area 19,correct_e,accuracy_e,alpha,2.65465232893597e-06
sub032,closed,absolute,Brodmann area 19,incorrect_e,accuracy_e,alpha,2.99251659223588e-06
sub032,closed,absolute,Brodmann area 19,fast,rt,alpha,2.67253814650171e-06
sub032,closed,absolute,Brodmann area 19,slow,rt,alpha,2.83733896546193e-06
sub033,open,visual power,Brodmann area 17,correct,accuracy,alpha,0.266010313287216
sub033,open,visual power,Brodmann area 17,incorrect,accuracy,alpha,0.357494787032973
sub033,open,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,0.573574757139058
sub033,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,0.357494787032973
sub033,open,visual power,Brodmann area 17,fast,rt,alpha,0.425817712054315
sub033,open,visual power,Brodmann area 17,slow,rt,alpha,0.13318108134725
sub033,open,visual power,Brodmann area 18,correct,accuracy,alpha,0.369288258898796
sub033,open,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.236570859786186
sub033,open,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,0.642937624096325
sub033,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.236570859786186
sub033,open,visual power,Brodmann area 18,fast,rt,alpha,0.433274071622615
sub033,open,visual power,Brodmann area 18,slow,rt,alpha,0.345891468040096
sub033,open,visual power,Brodmann area 19,correct,accuracy,alpha,0.432345334868223
sub033,open,visual power,Brodmann area 19,incorrect,accuracy,alpha,-0.0175455168880899
sub033,open,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,0.59337186025078
sub033,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,-0.0175455168880899
sub033,open,visual power,Brodmann area 19,fast,rt,alpha,0.597281978259181
sub033,open,visual power,Brodmann area 19,slow,rt,alpha,0.464164254391521
sub033,open,somato lateralisation index,max,correct,accuracy,alpha,0.176797744059354
sub033,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.162441613617069
sub033,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.0364722589521357
sub033,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.162441613617069
sub033,open,somato lateralisation index,max,fast,rt,alpha,0.130981075384268
sub033,open,somato lateralisation index,max,slow,rt,alpha,0.227201482159043
sub033,open,absolute,Brodmann area 17,correct,accuracy,alpha,6.05170943704649e-06
sub033,open,absolute,Brodmann area 17,incorrect,accuracy,alpha,9.30533737983202e-06
sub033,open,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,7.15812419553737e-06
sub033,open,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,9.30533737983202e-06
sub033,open,absolute,Brodmann area 17,fast,rt,alpha,6.41561236809458e-06
sub033,open,absolute,Brodmann area 17,slow,rt,alpha,5.96158148611446e-06
sub033,open,absolute,Brodmann area 18,correct,accuracy,alpha,4.44472141682908e-06
sub033,open,absolute,Brodmann area 18,incorrect,accuracy,alpha,6.15823446135573e-06
sub033,open,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,5.21134044483062e-06
