sub,eye,measure,window,peak,compare,cond,value
sub001,open,visual power,500pre,sensor,accuracy_e,correct_e,0.589946681513997
sub001,open,visual power,500pre,sensor,accuracy_e,incorrect_e,-0.00566337183270684
sub001,open,visual power,500pre,sensor,rt,fast,0.152232388266668
sub001,open,visual power,500pre,sensor,rt,slow,0.239852398898912
sub001,open,laterilsation index,500pre,sensor,accuracy_e,correct_e,-0.137392733866755
sub001,open,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,-0.0858749955250828
sub001,open,laterilsation index,500pre,sensor,rt,fast,0.0163468450267424
sub001,open,laterilsation index,500pre,sensor,rt,slow,-0.014351994338676
sub001,open,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.55881076503777
sub001,open,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.448577616597767
sub001,open,somatovisual balance,500pre,sensor,rt,fast,0.561097281477276
sub001,open,somatovisual balance,500pre,sensor,rt,slow,0.561688422930702
sub001,closed,visual power,500pre,sensor,accuracy_e,correct_e,-0.0255901183011377
sub001,closed,visual power,500pre,sensor,accuracy_e,incorrect_e,-0.22293147210932
sub001,closed,visual power,500pre,sensor,rt,fast,-0.148553778841252
sub001,closed,visual power,500pre,sensor,rt,slow,-0.15437771472578
sub001,closed,laterilsation index,500pre,sensor,accuracy_e,correct_e,-0.174253231690935
sub001,closed,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,-0.138460710356424
sub001,closed,laterilsation index,500pre,sensor,rt,fast,0.00199781629718235
sub001,closed,laterilsation index,500pre,sensor,rt,slow,-0.00360726140098611
sub001,closed,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.603595439675299
sub001,closed,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.686157368887386
sub001,closed,somatovisual balance,500pre,sensor,rt,fast,0.634503731275982
sub001,closed,somatovisual balance,500pre,sensor,rt,slow,0.677128374701257
sub002,open,visual power,500pre,sensor,accuracy_e,correct_e,-0.245136040531985
sub002,open,visual power,500pre,sensor,accuracy_e,incorrect_e,0.0760040870541486
sub002,open,visual power,500pre,sensor,rt,fast,-0.173404557998086
sub002,open,visual power,500pre,sensor,rt,slow,-0.0919134895066475
sub002,open,laterilsation index,500pre,sensor,accuracy_e,correct_e,0.0217025754887874
sub002,open,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,0.0999643137662366
sub002,open,laterilsation index,500pre,sensor,rt,fast,0.00881940146786039
sub002,open,laterilsation index,500pre,sensor,rt,slow,0.0741178598726073
sub002,open,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.150917502882103
sub002,open,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.0999934410555247
sub002,open,somatovisual balance,500pre,sensor,rt,fast,0.121596570065585
sub002,open,somatovisual balance,500pre,sensor,rt,slow,0.137590731146907
sub002,closed,visual power,500pre,sensor,accuracy_e,correct_e,0.300276659555854
sub002,closed,visual power,500pre,sensor,accuracy_e,incorrect_e,0.234020489207202
sub002,closed,visual power,500pre,sensor,rt,fast,0.328503331526482
sub002,closed,visual power,500pre,sensor,rt,slow,0.125123933672887
sub002,closed,laterilsation index,500pre,sensor,accuracy_e,correct_e,0.0816754603836739
sub002,closed,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,0.0457406130974042
sub002,closed,laterilsation index,500pre,sensor,rt,fast,-0.0719099627249368
sub002,closed,laterilsation index,500pre,sensor,rt,slow,0.0933860753860287
sub002,closed,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.339958057990776
sub002,closed,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.348857808948679
sub002,closed,somatovisual balance,500pre,sensor,rt,fast,0.323201796261059
sub002,closed,somatovisual balance,500pre,sensor,rt,slow,0.342031896017105
sub003,open,visual power,500pre,sensor,accuracy_e,correct_e,0.248615780781075
sub003,open,visual power,500pre,sensor,accuracy_e,incorrect_e,0.332844099321213
sub003,open,visual power,500pre,sensor,rt,fast,0.190667238138967
sub003,open,visual power,500pre,sensor,rt,slow,0.16648033614546
sub003,open,laterilsation index,500pre,sensor,accuracy_e,correct_e,-0.0130738673679764
sub003,open,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,0.0150459661005777
sub003,open,laterilsation index,500pre,sensor,rt,fast,0.00636407376829811
sub003,open,laterilsation index,500pre,sensor,rt,slow,0.0527810727989311
sub003,open,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.817951712416392
sub003,open,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.800677583505217
sub003,open,somatovisual balance,500pre,sensor,rt,fast,0.808930442707874
sub003,open,somatovisual balance,500pre,sensor,rt,slow,0.836685774394361
sub003,closed,visual power,500pre,sensor,accuracy_e,correct_e,0.107140438018452
sub003,closed,visual power,500pre,sensor,accuracy_e,incorrect_e,-0.119590503587635
sub003,closed,visual power,500pre,sensor,rt,fast,0.111050993950932
sub003,closed,visual power,500pre,sensor,rt,slow,0.0163954449487019
sub003,closed,laterilsation index,500pre,sensor,accuracy_e,correct_e,0.0942878011141473
sub003,closed,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,0.0448019899495764
sub003,closed,laterilsation index,500pre,sensor,rt,fast,0.0212885900385073
sub003,closed,laterilsation index,500pre,sensor,rt,slow,0.0351461359391231
sub003,closed,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.874783527757703
sub003,closed,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.853044178687591
sub003,closed,somatovisual balance,500pre,sensor,rt,fast,0.87211284544557
sub003,closed,somatovisual balance,500pre,sensor,rt,slow,0.859542636338814
sub004,open,visual power,500pre,sensor,accuracy_e,correct_e,0.0926143643870639
sub004,open,visual power,500pre,sensor,accuracy_e,incorrect_e,0.347453299197425
sub004,open,visual power,500pre,sensor,rt,fast,0.379345125046065
sub004,open,visual power,500pre,sensor,rt,slow,0.0486993557196108
sub004,open,laterilsation index,500pre,sensor,accuracy_e,correct_e,-0.0191155107478479
sub004,open,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,-0.0140362780055057
sub004,open,laterilsation index,500pre,sensor,rt,fast,-0.0558402781994909
sub004,open,laterilsation index,500pre,sensor,rt,slow,0.0882126786538542
sub004,open,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.725131441748194
sub004,open,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.720405918412455
sub004,open,somatovisual balance,500pre,sensor,rt,fast,0.722062999591869
sub004,open,somatovisual balance,500pre,sensor,rt,slow,0.730067207736817
sub004,closed,visual power,500pre,sensor,accuracy_e,correct_e,0.422039837170331
sub004,closed,visual power,500pre,sensor,accuracy_e,incorrect_e,0.152756510593344
sub004,closed,visual power,500pre,sensor,rt,fast,0.146967552851339
sub004,closed,visual power,500pre,sensor,rt,slow,0.20870813082864
sub004,closed,laterilsation index,500pre,sensor,accuracy_e,correct_e,-0.0332600218287661
sub004,closed,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,0.168166738365828
sub004,closed,laterilsation index,500pre,sensor,rt,fast,-0.0651799414743318
sub004,closed,laterilsation index,500pre,sensor,rt,slow,-0.0537000367688635
sub004,closed,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.784657330160674
sub004,closed,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.805775278471364
sub004,closed,somatovisual balance,500pre,sensor,rt,fast,0.765594391454202
sub004,closed,somatovisual balance,500pre,sensor,rt,slow,0.799589483646978
sub005,open,visual power,500pre,sensor,accuracy_e,correct_e,0.201785186329788
sub005,open,visual power,500pre,sensor,accuracy_e,incorrect_e,0.00457552173696774
sub005,open,visual power,500pre,sensor,rt,fast,0.112056414774109
sub005,open,visual power,500pre,sensor,rt,slow,0.244573481227199
sub005,open,laterilsation index,500pre,sensor,accuracy_e,correct_e,0.0230993537352681
sub005,open,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,-0.0131711290849648
sub005,open,laterilsation index,500pre,sensor,rt,fast,0.0421713148351177
sub005,open,laterilsation index,500pre,sensor,rt,slow,-0.0330350689295847
sub005,open,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.721035731220121
sub005,open,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.717635422118555
sub005,open,somatovisual balance,500pre,sensor,rt,fast,0.701956120658595
sub005,open,somatovisual balance,500pre,sensor,rt,slow,0.697934045205576
sub005,closed,visual power,500pre,sensor,accuracy_e,correct_e,-0.323912678034288
sub005,closed,visual power,500pre,sensor,accuracy_e,incorrect_e,-0.269737827026726
sub005,closed,visual power,500pre,sensor,rt,fast,-0.312572296341929
sub005,closed,visual power,500pre,sensor,rt,slow,-0.360397649524605
sub005,closed,laterilsation index,500pre,sensor,accuracy_e,correct_e,-0.0428081102143246
sub005,closed,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,0.0280481374294117
sub005,closed,laterilsation index,500pre,sensor,rt,fast,0.0213304410578755
sub005,closed,laterilsation index,500pre,sensor,rt,slow,-0.0869262414357526
sub005,closed,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.798172285262076
sub005,closed,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.820038942916007
sub005,closed,somatovisual balance,500pre,sensor,rt,fast,0.811185493492965
sub005,closed,somatovisual balance,500pre,sensor,rt,slow,0.801448814642728
sub006,open,visual power,500pre,sensor,accuracy_e,correct_e,0.164804834968943
sub006,open,visual power,500pre,sensor,accuracy_e,incorrect_e,0.323052597802626
sub006,open,visual power,500pre,sensor,rt,fast,0.407959714310688
sub006,open,visual power,500pre,sensor,rt,slow,0.328857836937465
sub006,open,laterilsation index,500pre,sensor,accuracy_e,correct_e,0.0923254510169132
sub006,open,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,0.146845531950872
sub006,open,laterilsation index,500pre,sensor,rt,fast,0.216486243871337
sub006,open,laterilsation index,500pre,sensor,rt,slow,0.0594125170164737
sub006,open,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.676220833121127
sub006,open,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.753615155852448
sub006,open,somatovisual balance,500pre,sensor,rt,fast,0.765809750092501
sub006,open,somatovisual balance,500pre,sensor,rt,slow,0.718273287823876
sub006,closed,visual power,500pre,sensor,accuracy_e,correct_e,0.0758340452707189
sub006,closed,visual power,500pre,sensor,accuracy_e,incorrect_e,0.221862498557784
sub006,closed,visual power,500pre,sensor,rt,fast,-0.0711658150168137
sub006,closed,visual power,500pre,sensor,rt,slow,0.117689817686139
sub006,closed,laterilsation index,500pre,sensor,accuracy_e,correct_e,0.179406763015058
sub006,closed,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,0.071484272318949
sub006,closed,laterilsation index,500pre,sensor,rt,fast,0.155581052044536
sub006,closed,laterilsation index,500pre,sensor,rt,slow,0.142513572229716
sub006,closed,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.779168359132678
sub006,closed,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.759337808914492
sub006,closed,somatovisual balance,500pre,sensor,rt,fast,0.784800984312737
sub006,closed,somatovisual balance,500pre,sensor,rt,slow,0.746167216843207
sub007,open,visual power,500pre,sensor,accuracy_e,correct_e,-0.371468505639429
sub007,open,visual power,500pre,sensor,accuracy_e,incorrect_e,-0.137687725476041
sub007,open,visual power,500pre,sensor,rt,fast,-0.478334914480559
sub007,open,visual power,500pre,sensor,rt,slow,-0.413593745996383
sub007,open,laterilsation index,500pre,sensor,accuracy_e,correct_e,0.0618087715070614
sub007,open,laterilsation index,500pre,sensor,accuracy_e,incorrect_e,0.0861094356240922
sub007,open,laterilsation index,500pre,sensor,rt,fast,0.17026932967491
sub007,open,laterilsation index,500pre,sensor,rt,slow,0.20381010006841
sub007,open,somatovisual balance,500pre,sensor,accuracy_e,correct_e,0.4062495897656
sub007,open,somatovisual balance,500pre,sensor,accuracy_e,incorrect_e,0.524676263785286
sub007,open,somatovisual balance,500pre,sensor,rt,fast,0.449614176700808
sub007,open,somatovisual balance,500pre,sensor,rt,slow,0.410012928156308
sub007,closed,visual power,500pre,sensor,accuracy_e,correct_e,-0.580067314579733
sub007,closed,visual power,500pre,sensor,accuracy_e,incorrect_e,-0.522216412778584
sub007,closed,visual power,500pre,sensor,rt,fast,-0.544955751035359
sub007,closed,visual power,500pre,sensor,rt,slow,-0.55263698765236
sub007,closed,laterilsation index,500pre,sensor,accuracy_e,correct_e,-0.0305139112752145
