sub,eye,measure,bin,bin_n,pow,perc,rt
sub005,open,lat,b2,2,-0.143487750151536,0.636363636363636,0.577924242424242
sub005,open,lat,b3,3,0.0297470502874151,0.581818181818182,0.597969696969697
sub005,open,lat,b4,4,0.197359302702333,0.618181818181818,0.585712121212121
sub005,open,lat,b5,5,0.420778222912155,0.545454545454545,0.617863636363636
sub005,closed,lat,b1,1,-0.43828505841556,0.557692307692308,0.614663461538462
sub005,closed,lat,b2,2,-0.199113745372894,0.653846153846154,0.618060897435897
sub005,closed,lat,b3,3,0.0230605578162353,0.615384615384615,0.614487179487179
sub005,closed,lat,b4,4,0.217882748323494,0.576923076923077,0.571891025641026
sub005,closed,lat,b5,5,0.463345090529756,0.596153846153846,0.596410256410256
sub006,open,baseline,b1,1,6.72727163496806e-28,0.709090909090909,0.782378787878788
sub006,open,baseline,b2,2,1.12416933593158e-27,0.709090909090909,0.816393939393939
sub006,open,baseline,b3,3,1.5657189030065e-27,0.781818181818182,0.803242424242424
sub006,open,baseline,b4,4,2.17657812331854e-27,0.690909090909091,0.819614197530864
sub006,open,baseline,b5,5,3.95972257400331e-27,0.672727272727273,0.833409090909091
sub006,closed,baseline,b1,1,1.11280893459831e-27,0.672413793103448,0.907272727272727
sub006,closed,baseline,b2,2,2.07434346499172e-27,0.655172413793103,0.897631578947368
sub006,closed,baseline,b3,3,2.77634105198355e-27,0.741379310344828,0.878611111111111
sub006,closed,baseline,b4,4,3.84568647842421e-27,0.706896551724138,0.879515151515152
sub006,closed,baseline,b5,5,6.7470008686991e-27,0.758620689655172,0.852361111111111
sub006,open,absolute,b1,1,8.90658465022348e-28,0.763636363636364,0.815833333333333
sub006,open,absolute,b2,2,1.58577834013014e-27,0.690909090909091,0.813227272727273
sub006,open,absolute,b3,3,2.41508509334496e-27,0.690909090909091,0.831060606060606
sub006,open,absolute,b4,4,3.46391321047392e-27,0.745454545454545,0.798611111111111
sub006,open,absolute,b5,5,5.54889628631042e-27,0.672727272727273,0.799787878787879
sub006,closed,absolute,b1,1,1.40480552781007e-27,0.724137931034483,0.921666666666667
sub006,closed,absolute,b2,2,2.29297501898819e-27,0.637931034482759,0.859363636363636
sub006,closed,absolute,b3,3,3.0909483517999e-27,0.758620689655172,0.870636363636364
sub006,closed,absolute,b4,4,4.12438928157308e-27,0.672413793103448,0.887015151515152
sub006,closed,absolute,b5,5,6.8773454427079e-27,0.741379310344828,0.874239766081871
sub006,open,relative,b1,1,-0.516235378615487,0.709090909090909,0.838681818181818
sub006,open,relative,b2,2,0.0822358829540226,0.745454545454545,0.802015151515151
sub006,open,relative,b3,3,0.773250608454731,0.727272727272727,0.833924242424243
sub006,open,relative,b4,4,1.68285640262384,0.745454545454545,0.777651515151515
sub006,open,relative,b5,5,4.50791309904555,0.636363636363636,0.802006172839506
sub006,closed,relative,b1,1,-0.558826194877367,0.706896551724138,0.898545454545455
sub006,closed,relative,b2,2,-0.207774183943443,0.758620689655172,0.846919642857143
sub006,closed,relative,b3,3,0.253205688458561,0.637931034482759,0.877824074074074
sub006,closed,relative,b4,4,0.983160360521513,0.724137931034483,0.885511695906433
sub006,closed,relative,b5,5,3.10325364563248,0.724137931034483,0.894375
sub006,open,lat,b1,1,-0.342174823737572,0.709090909090909,0.810590909090909
sub006,open,lat,b2,2,-0.0871888440096226,0.763636363636364,0.85445987654321
sub006,open,lat,b3,3,0.0727097351382962,0.690909090909091,0.813181818181818
sub006,open,lat,b4,4,0.224895808642566,0.745454545454545,0.822272727272727
sub006,open,lat,b5,5,0.42086939368015,0.672727272727273,0.755181818181818
sub006,closed,lat,b1,1,-0.347629725607972,0.672413793103448,0.930059523809524
sub006,closed,lat,b2,2,-0.0514272536334669,0.724137931034483,0.850921052631579
sub006,closed,lat,b3,3,0.100581643618135,0.672413793103448,0.900015151515152
sub006,closed,lat,b4,4,0.249115347403793,0.706896551724138,0.840712121212121
sub006,closed,lat,b5,5,0.50676234568524,0.758620689655172,0.897969696969697
sub007,open,baseline,b1,1,2.41803902501969e-28,0.614035087719298,0.656041666666667
sub007,open,baseline,b2,2,3.9154646793324e-28,0.701754385964912,0.679561403508772
sub007,open,baseline,b3,3,5.728391306982e-28,0.596491228070175,0.638918128654971
sub007,open,baseline,b4,4,8.76156795401935e-28,0.736842105263158,0.632002923976608
sub007,open,baseline,b5,5,2.97875509357836e-27,0.736842105263158,0.680386904761905
sub007,closed,baseline,b1,1,3.21869829802307e-28,0.64,0.694826388888889
sub007,closed,baseline,b2,2,4.98423494676424e-28,0.6,0.742753623188406
sub007,closed,baseline,b3,3,1.22825661167964e-27,0.66,0.630489130434783
sub007,closed,baseline,b4,4,2.62230734238702e-27,0.72,0.64265625
sub007,closed,baseline,b5,5,5.95492847186084e-27,0.74,0.667833333333333
sub007,open,absolute,b1,1,2.02746287212082e-28,0.631578947368421,0.686739766081871
sub007,open,absolute,b2,2,3.09447584761407e-28,0.666666666666667,0.633932748538012
sub007,open,absolute,b3,3,4.21449066243516e-28,0.649122807017544,0.634122023809524
sub007,open,absolute,b4,4,6.1432106479996e-28,0.719298245614035,0.653735119047619
sub007,open,absolute,b5,5,1.38802946529547e-27,0.719298245614035,0.671608187134503
sub007,closed,absolute,b1,1,2.74792617608394e-28,0.58,0.6735
sub007,closed,absolute,b2,2,4.00618255478616e-28,0.74,0.754670138888889
sub007,closed,absolute,b3,3,6.04637216343353e-28,0.64,0.66286231884058
sub007,closed,absolute,b4,4,1.18391776603412e-27,0.66,0.616933333333333
sub007,closed,absolute,b5,5,2.90285728350157e-27,0.74,0.671224489795918
sub007,open,relative,b1,1,-0.779100814641136,0.684210526315789,0.669360119047619
sub007,open,relative,b2,2,-0.478891294995643,0.666666666666667,0.658991228070175
sub007,open,relative,b3,3,-0.150897121029217,0.649122807017544,0.634181286549708
sub007,open,relative,b4,4,0.379888394777676,0.701754385964912,0.683625730994152
sub007,open,relative,b5,5,2.60288514433055,0.701754385964912,0.641741071428571
sub007,closed,relative,b1,1,-0.831459331954521,0.7,0.659201388888889
sub007,closed,relative,b2,2,-0.560381881589439,0.7,0.637942176870748
sub007,closed,relative,b3,3,-0.281592848279684,0.66,0.742407407407407
sub007,closed,relative,b4,4,0.134836182048206,0.66,0.677534722222222
sub007,closed,relative,b5,5,3.36888809936227,0.64,0.665190972222222
sub007,open,lat,b1,1,-0.388975739769531,0.596491228070175,0.62843567251462
sub007,open,lat,b2,2,-0.137076947074934,0.684210526315789,0.658
sub007,open,lat,b3,3,0.0549068597639467,0.736842105263158,0.669590643274854
sub007,open,lat,b4,4,0.23146629778789,0.684210526315789,0.681929824561404
sub007,open,lat,b5,5,0.437205667147161,0.684210526315789,0.649517543859649
sub007,closed,lat,b1,1,-0.322486412676333,0.74,0.6775
sub007,closed,lat,b2,2,-0.114396711451202,0.54,0.668420138888889
sub007,closed,lat,b3,3,0.0421470706800426,0.66,0.661224489795919
sub007,closed,lat,b4,4,0.182948828161022,0.7,0.674795918367347
sub007,closed,lat,b5,5,0.406529432118521,0.72,0.697518939393939
sub008,open,baseline,b1,1,7.12525813616415e-28,0.785714285714286,0.739378787878788
sub008,open,baseline,b2,2,1.32842778208131e-27,0.857142857142857,0.686488095238095
sub008,open,baseline,b3,3,2.00543884059637e-27,0.910714285714286,0.722636363636364
sub008,open,baseline,b4,4,3.24579633643493e-27,0.928571428571429,0.674166666666667
sub008,open,baseline,b5,5,7.7358335989445e-27,0.857142857142857,0.6990625
sub008,closed,baseline,b1,1,1.17244344561395e-27,0.962264150943396,0.725487421383648
sub008,closed,baseline,b2,2,2.68258454174735e-27,0.905660377358491,0.703679245283019
sub008,closed,baseline,b3,3,4.25785783760341e-27,0.905660377358491,0.673028846153846
sub008,closed,baseline,b4,4,6.35918647367113e-27,0.943396226415094,0.654308176100629
sub008,closed,baseline,b5,5,1.17821504183331e-26,0.962264150943396,0.675204402515723
sub008,open,absolute,b1,1,7.66913317403445e-28,0.803571428571429,0.719845679012346
sub008,open,absolute,b2,2,1.40566849322181e-27,0.839285714285714,0.710439393939394
sub008,open,absolute,b3,3,2.22583712463348e-27,0.875,0.710744047619048
sub008,open,absolute,b4,4,3.52452902808307e-27,0.892857142857143,0.690104166666667
sub008,open,absolute,b5,5,8.58884967492147e-27,0.928571428571429,0.687098214285714
sub008,closed,absolute,b1,1,8.41219727977029e-28,0.943396226415094,0.721352201257862
sub008,closed,absolute,b2,2,1.65830017402385e-27,0.867924528301887,0.736282051282051
sub008,closed,absolute,b3,3,2.87208888506108e-27,0.943396226415094,0.708522012578616
sub008,closed,absolute,b4,4,4.69433264479624e-27,0.962264150943396,0.645283018867924
sub008,closed,absolute,b5,5,9.27010753870321e-27,0.962264150943396,0.621462264150943
sub008,open,relative,b1,1,-0.701648536418649,0.821428571428571,0.726049382716049
sub008,open,relative,b2,2,-0.256701735822822,0.875,0.6884375
sub008,open,relative,b3,3,0.285003311238418,0.910714285714286,0.686205357142857
sub008,open,relative,b4,4,1.4593581151204,0.875,0.696860119047619
sub008,open,relative,b5,5,7.03040907780463,0.857142857142857,0.723015151515151
sub008,closed,relative,b1,1,-0.789075390219892,0.943396226415094,0.705424528301887
sub008,closed,relative,b2,2,-0.496047484190508,0.867924528301887,0.687720125786164
sub008,closed,relative,b3,3,-0.168394853834843,0.905660377358491,0.699150641025641
sub008,closed,relative,b4,4,0.518837008775469,0.981132075471698,0.673679245283019
sub008,closed,relative,b5,5,4.52259324548863,0.981132075471698,0.66622641509434
sub008,open,lat,b1,1,-0.624702303777385,0.892857142857143,0.70358630952381
sub008,open,lat,b2,2,-0.42759055515877,0.892857142857143,0.684227272727273
sub008,open,lat,b3,3,-0.00406363539347586,0.821428571428571,0.726188271604938
sub008,open,lat,b4,4,0.436592116373073,0.857142857142857,0.70233630952381
sub008,open,lat,b5,5,0.640628474413308,0.875,0.705595238095238
sub008,closed,lat,b1,1,-0.616253418374179,0.924528301886792,0.667724358974359
sub008,closed,lat,b2,2,-0.438611850468834,0.943396226415094,0.675911949685535
sub008,closed,lat,b3,3,0.0130514597132707,0.886792452830189,0.72064465408805
sub008,closed,lat,b4,4,0.45708487425108,0.981132075471698,0.695880503144654
sub008,closed,lat,b5,5,0.639244627515598,0.943396226415094,0.671446540880503
sub009,open,baseline,b1,1,2.34892437731738e-27,0.705882352941177,0.616258503401361
sub009,open,baseline,b2,2,6.13687479803482e-27,0.627450980392157,0.655098039215686
sub009,open,baseline,b3,3,1.00221371699145e-26,0.627450980392157,0.659
sub009,open,baseline,b4,4,1.41685117711854e-26,0.627450980392157,0.734264705882353
sub009,open,baseline,b5,5,2.16745955921014e-26,0.686274509803922,0.699640522875817
sub009,closed,baseline,b1,1,9.9414745408607e-27,0.545454545454545,0.701628787878788
sub009,closed,baseline,b2,2,1.40708481186382e-26,0.704545454545455,0.726027131782946
sub009,closed,baseline,b3,3,1.75309890361404e-26,0.613636363636364,0.750965909090909
sub009,closed,baseline,b4,4,2.16852120416389e-26,0.613636363636364,0.699011627906977
sub009,closed,baseline,b5,5,3.22344093398408e-26,0.568181818181818,0.667386363636364
sub009,open,absolute,b1,1,2.8190009846926e-27,0.725490196078431,0.607966666666667
sub009,open,absolute,b2,2,6.47609668926948e-27,0.490196078431373,0.645637254901961
sub009,open,absolute,b3,3,1.00612589644684e-26,0.588235294117647,0.72125
sub009,open,absolute,b4,4,1.3581699819894e-26,0.686274509803922,0.696225490196078
sub009,open,absolute,b5,5,2.02211376133767e-26,0.784313725490196,0.6958
sub009,closed,absolute,b1,1,6.20035223310306e-27,0.568181818181818,0.680606060606061
sub009,closed,absolute,b2,2,9.76769441880788e-27,0.681818181818182,0.68781007751938
sub009,closed,absolute,b3,3,1.33832442888205e-26,0.568181818181818,0.708049242424242
sub009,closed,absolute,b4,4,1.68904857167485e-26,0.636363636363636,0.747007575757576
sub009,closed,absolute,b5,5,2.54226970888873e-26,0.590909090909091,0.716666666666667
sub009,open,relative,b1,1,-0.655234923160966,0.725490196078431,0.596733333333333
sub009,open,relative,b2,2,-0.281055882848731,0.549019607843137,0.744150326797386
sub009,open,relative,b3,3,0.185007056996445,0.549019607843137,0.708790849673203
sub009,open,relative,b4,4,1.01726905205656,0.745098039215686,0.677696078431373
sub009,open,relative,b5,5,4.4967659870587,0.705882352941177,0.636462585034014
