sub,eyes,measure,roi,cond,compare,value
sub004,closed,visual power,v1,incorrect,accuracy,0.224443744944508
sub004,closed,visual power,v1,correct_e,accuracy_e,0.0972828368472795
sub004,closed,visual power,v1,incorrect_e,accuracy_e,0.224443744944508
sub004,closed,visual power,v1,fast,rt,0.329612652385722
sub004,closed,visual power,v1,slow,rt,0.218766658025604
sub004,closed,somato lateralisation index,max,correct,accuracy,0.108776725892975
sub004,closed,somato lateralisation index,max,incorrect,accuracy,0.134220748830475
sub004,closed,somato lateralisation index,max,correct_e,accuracy_e,0.103248842133175
sub004,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.134220748830475
sub004,closed,somato lateralisation index,max,fast,rt,0.062625836986797
sub004,closed,somato lateralisation index,max,slow,rt,0.167073492704086
sub004,closed,absolute,v1,correct,accuracy,5.43929780749941
sub004,closed,absolute,v1,incorrect,accuracy,4.76879210140911
sub004,closed,absolute,v1,correct_e,accuracy_e,4.9709577672733
sub004,closed,absolute,v1,incorrect_e,accuracy_e,4.76879210140911
sub004,closed,absolute,v1,fast,rt,5.29504814485328
sub004,closed,absolute,v1,slow,rt,5.59075820447787
sub005,open,visual power,v1,correct,accuracy,0.359360152332539
sub005,open,visual power,v1,incorrect,accuracy,0.170344293045045
sub005,open,visual power,v1,correct_e,accuracy_e,0.360436985992361
sub005,open,visual power,v1,incorrect_e,accuracy_e,0.170344293045045
sub005,open,visual power,v1,fast,rt,0.320277887748266
sub005,open,visual power,v1,slow,rt,0.413594499589697
sub005,open,somato lateralisation index,max,correct,accuracy,-0.0156756583672462
sub005,open,somato lateralisation index,max,incorrect,accuracy,0.0946177673503835
sub005,open,somato lateralisation index,max,correct_e,accuracy_e,-0.0932895334457212
sub005,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.0946177673503835
sub005,open,somato lateralisation index,max,fast,rt,0.0729636667222677
sub005,open,somato lateralisation index,max,slow,rt,-0.113030582835699
