sub,eye,measure,window,compare,cond,value
sub005,open,somato-visual balance,500pre,accuracy_e,correct_e,-0.054
sub005,open,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.054
sub005,open,somato-visual balance,500pre,rt,fast,-0.054
sub005,open,somato-visual balance,500pre,rt,slow,-0.054
sub005,closed,laterilsation index,500pre,accuracy_e,correct_e,0.029
sub005,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.053
sub005,closed,laterilsation index,500pre,rt,fast,0.037
sub005,closed,laterilsation index,500pre,rt,slow,-0.043
sub005,closed,visual power,500pre,accuracy_e,correct_e,-0.043
sub005,closed,visual power,500pre,accuracy_e,incorrect_e,-0.043
sub005,closed,visual power,500pre,rt,fast,-0.043
sub005,closed,visual power,500pre,rt,slow,-0.043
sub005,closed,somato-visual balance,500pre,accuracy_e,correct_e,-0.043
sub005,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,-0.043
sub005,closed,somato-visual balance,500pre,rt,fast,-0.043
sub005,closed,somato-visual balance,500pre,rt,slow,-0.043
sub006,open,laterilsation index,500pre,accuracy_e,correct_e,0.102
sub006,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.092
sub006,open,laterilsation index,500pre,rt,fast,0.13
sub006,open,laterilsation index,500pre,rt,slow,0.076
sub006,open,visual power,500pre,accuracy_e,correct_e,0.076
sub006,open,visual power,500pre,accuracy_e,incorrect_e,0.076
sub006,open,visual power,500pre,rt,fast,0.076
sub006,open,visual power,500pre,rt,slow,0.076
sub006,open,somato-visual balance,500pre,accuracy_e,correct_e,0.076
sub006,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.076
sub006,open,somato-visual balance,500pre,rt,fast,0.076
sub006,open,somato-visual balance,500pre,rt,slow,0.076
sub006,closed,laterilsation index,500pre,accuracy_e,correct_e,0.109
sub006,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.057
sub006,closed,laterilsation index,500pre,rt,fast,0.139
sub006,closed,laterilsation index,500pre,rt,slow,0.042
sub006,closed,visual power,500pre,accuracy_e,correct_e,0.042
sub006,closed,visual power,500pre,accuracy_e,incorrect_e,0.042
sub006,closed,visual power,500pre,rt,fast,0.042
sub006,closed,visual power,500pre,rt,slow,0.042
sub006,closed,somato-visual balance,500pre,accuracy_e,correct_e,0.042
sub006,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,0.042
sub006,closed,somato-visual balance,500pre,rt,fast,0.042
sub006,closed,somato-visual balance,500pre,rt,slow,0.042
sub007,open,laterilsation index,500pre,accuracy_e,correct_e,0.139
sub007,open,laterilsation index,500pre,accuracy_e,incorrect_e,0.078
sub007,open,laterilsation index,500pre,rt,fast,0.116
sub007,open,laterilsation index,500pre,rt,slow,0.081
sub007,open,visual power,500pre,accuracy_e,correct_e,0.081
sub007,open,visual power,500pre,accuracy_e,incorrect_e,0.081
sub007,open,visual power,500pre,rt,fast,0.081
sub007,open,visual power,500pre,rt,slow,0.081
sub007,open,somato-visual balance,500pre,accuracy_e,correct_e,0.081
sub007,open,somato-visual balance,500pre,accuracy_e,incorrect_e,0.081
sub007,open,somato-visual balance,500pre,rt,fast,0.081
sub007,open,somato-visual balance,500pre,rt,slow,0.081
sub007,closed,laterilsation index,500pre,accuracy_e,correct_e,-0.003
sub007,closed,laterilsation index,500pre,accuracy_e,incorrect_e,0.018
sub007,closed,laterilsation index,500pre,rt,fast,0.059
sub007,closed,laterilsation index,500pre,rt,slow,-0
sub007,closed,visual power,500pre,accuracy_e,correct_e,-0
sub007,closed,visual power,500pre,accuracy_e,incorrect_e,-0
sub007,closed,visual power,500pre,rt,fast,-0
sub007,closed,visual power,500pre,rt,slow,-0
sub007,closed,somato-visual balance,500pre,accuracy_e,correct_e,-0
sub007,closed,somato-visual balance,500pre,accuracy_e,incorrect_e,-0
sub007,closed,somato-visual balance,500pre,rt,fast,-0
sub007,closed,somato-visual balance,500pre,rt,slow,-0
sub008,open,laterilsation index,500pre,accuracy_e,correct_e,0.108
