sub,eye,roi,hemi,apeak
sub023,close,aud,left,7
sub023,close,aud,right,11
sub024,open,somato,left,11
sub024,open,somato,right,10
sub024,open,visual,left,10
sub024,open,visual,right,10
sub024,open,aud,left,7
sub024,open,aud,right,7
sub024,close,somato,left,11
sub024,close,somato,right,10
sub024,close,visual,left,10
sub024,close,visual,right,10
sub024,close,aud,left,7
sub024,close,aud,right,7
sub025,open,somato,left,11
sub025,open,somato,right,12
sub025,open,visual,left,11
sub025,open,visual,right,10
sub025,open,aud,left,7
sub025,open,aud,right,12
sub025,close,somato,left,11
sub025,close,somato,right,10
sub025,close,visual,left,10
sub025,close,visual,right,10
sub025,close,aud,left,10
sub025,close,aud,right,12
sub026,open,somato,left,7
sub026,open,somato,right,7
sub026,open,visual,left,10
sub026,open,visual,right,10
sub026,open,aud,left,7
sub026,open,aud,right,7
sub026,close,somato,left,9
sub026,close,somato,right,8
sub026,close,visual,left,10
sub026,close,visual,right,9
sub026,close,aud,left,7
sub026,close,aud,right,7
sub027,open,somato,left,10
sub027,open,somato,right,9
sub027,open,visual,left,11
sub027,open,visual,right,11
sub027,open,aud,left,10
sub027,open,aud,right,9
sub027,close,somato,left,11
sub027,close,somato,right,9
sub027,close,visual,left,11
sub027,close,visual,right,11
sub027,close,aud,left,11
sub027,close,aud,right,10
sub028,open,somato,left,10
sub028,open,somato,right,8
sub028,open,visual,left,10
sub028,open,visual,right,10
sub028,open,aud,left,7
sub028,open,aud,right,7
sub028,close,somato,left,7
sub028,close,somato,right,7
sub028,close,visual,left,9
sub028,close,visual,right,9
sub028,close,aud,left,7
sub028,close,aud,right,7
sub029,open,somato,left,12
sub029,open,somato,right,12
sub029,open,visual,left,12
sub029,open,visual,right,11
sub029,open,aud,left,7
sub029,open,aud,right,7
sub029,close,somato,left,11
sub029,close,somato,right,11
sub029,close,visual,left,11
sub029,close,visual,right,11
sub029,close,aud,left,7
sub029,close,aud,right,7
sub030,open,somato,left,11
sub030,open,somato,right,11
