sub,eye,roi,window,compare,cond,value
sub002,closed,Brodmann area 19,stim500pre,rt,fast,0.184708843461036
sub002,closed,Brodmann area 19,stim500pre,rt,slow,-0.0924067404406591
sub003,open,Brodmann area 17,stim500pre,accuracy,correct,0.177843719141836
sub003,open,Brodmann area 17,stim500pre,accuracy,incorrect,-0.0222717542338052
sub003,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.184710543752418
sub003,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.0222717542338052
sub003,open,Brodmann area 17,stim500pre,rt,fast,0.287405323827898
sub003,open,Brodmann area 17,stim500pre,rt,slow,0.0599301485884252
sub003,open,Brodmann area 18,stim500pre,accuracy,correct,0.123062640867142
sub003,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.213518922000823
sub003,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,0.33978131498523
sub003,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.213518922000823
sub003,open,Brodmann area 18,stim500pre,rt,fast,0.299667997445009
sub003,open,Brodmann area 18,stim500pre,rt,slow,-0.0807716622899957
sub003,open,Brodmann area 19,stim500pre,accuracy,correct,0.0236617246252213
sub003,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.10722899464504
sub003,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.131419004009367
sub003,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.10722899464504
sub003,open,Brodmann area 19,stim500pre,rt,fast,0.137647851662246
sub003,open,Brodmann area 19,stim500pre,rt,slow,-0.081854871638536
sub003,closed,Brodmann area 17,stim500pre,accuracy,correct,0.0615235896159689
sub003,closed,Brodmann area 17,stim500pre,accuracy,incorrect,-0.00386311197419382
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.246712750591107
sub003,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.00386311197419382
sub003,closed,Brodmann area 17,stim500pre,rt,fast,0.173207742498684
sub003,closed,Brodmann area 17,stim500pre,rt,slow,-0.0371761981318568
sub003,closed,Brodmann area 18,stim500pre,accuracy,correct,0.0295161595957017
sub003,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.0720598802218109
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.0830255302574213
sub003,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.0720598802218109
sub003,closed,Brodmann area 18,stim500pre,rt,fast,0.0437822589714651
sub003,closed,Brodmann area 18,stim500pre,rt,slow,0.0207964058631755
sub003,closed,Brodmann area 19,stim500pre,accuracy,correct,0.0356570192054315
sub003,closed,Brodmann area 19,stim500pre,accuracy,incorrect,0.183381276746874
sub003,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.0133405837528852
sub003,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.183381276746874
sub003,closed,Brodmann area 19,stim500pre,rt,fast,0.0150187081077354
sub003,closed,Brodmann area 19,stim500pre,rt,slow,0.0566517094309123
sub004,open,Brodmann area 17,stim500pre,accuracy,correct,0.217062181743767
sub004,open,Brodmann area 17,stim500pre,accuracy,incorrect,0.263532833992184
sub004,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.292206164812278
sub004,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.263532833992184
sub004,open,Brodmann area 17,stim500pre,rt,fast,0.188173909138029
sub004,open,Brodmann area 17,stim500pre,rt,slow,0.256067053381112
sub004,open,Brodmann area 18,stim500pre,accuracy,correct,0.0413065211982209
sub004,open,Brodmann area 18,stim500pre,accuracy,incorrect,0.447899987045465
sub004,open,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.0053873263425643
sub004,open,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.447899987045465
sub004,open,Brodmann area 18,stim500pre,rt,fast,0.118861919744407
sub004,open,Brodmann area 18,stim500pre,rt,slow,-0.0314511927095937
sub004,open,Brodmann area 19,stim500pre,accuracy,correct,0.107216801396972
sub004,open,Brodmann area 19,stim500pre,accuracy,incorrect,0.430220149406826
sub004,open,Brodmann area 19,stim500pre,accuracy_e,correct_e,0.532039580467889
sub004,open,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.430220149406826
sub004,open,Brodmann area 19,stim500pre,rt,fast,0.238153025938935
sub004,open,Brodmann area 19,stim500pre,rt,slow,-0.0146066799361644
sub004,closed,Brodmann area 17,stim500pre,accuracy,correct,0.179181129245236
sub004,closed,Brodmann area 17,stim500pre,accuracy,incorrect,0.144639251326246
sub004,closed,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.220098758361067
sub004,closed,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,0.144639251326246
sub004,closed,Brodmann area 17,stim500pre,rt,fast,-0.0371595327329537
sub004,closed,Brodmann area 17,stim500pre,rt,slow,0.465013008215703
sub004,closed,Brodmann area 18,stim500pre,accuracy,correct,0.203522101691916
sub004,closed,Brodmann area 18,stim500pre,accuracy,incorrect,0.280307352271957
sub004,closed,Brodmann area 18,stim500pre,accuracy_e,correct_e,-0.199700986537611
sub004,closed,Brodmann area 18,stim500pre,accuracy_e,incorrect_e,0.280307352271957
sub004,closed,Brodmann area 18,stim500pre,rt,fast,0.164761868194054
sub004,closed,Brodmann area 18,stim500pre,rt,slow,0.251348181159628
sub004,closed,Brodmann area 19,stim500pre,accuracy,correct,0.0851196064053751
sub004,closed,Brodmann area 19,stim500pre,accuracy,incorrect,0.201768531358771
sub004,closed,Brodmann area 19,stim500pre,accuracy_e,correct_e,-0.189951958427134
sub004,closed,Brodmann area 19,stim500pre,accuracy_e,incorrect_e,0.201768531358771
sub004,closed,Brodmann area 19,stim500pre,rt,fast,-0.0083231272960001
sub004,closed,Brodmann area 19,stim500pre,rt,slow,0.125685842514981
sub005,open,Brodmann area 17,stim500pre,accuracy,correct,0.361301345093612
sub005,open,Brodmann area 17,stim500pre,accuracy,incorrect,-0.119241447548922
sub005,open,Brodmann area 17,stim500pre,accuracy_e,correct_e,0.433638984050261
sub005,open,Brodmann area 17,stim500pre,accuracy_e,incorrect_e,-0.119241447548922
