sub,eyes,measure,roi,cond,compare,band,value
sub009,closed,absolute,vtpm V2,incorrect,accuracy,alpha,4.85619681558924e-06
sub009,closed,absolute,vtpm V2,correct_e,accuracy_e,alpha,4.32419222614159e-06
sub009,closed,absolute,vtpm V2,incorrect_e,accuracy_e,alpha,4.85619681558924e-06
sub009,closed,absolute,vtpm V2,fast,rt,alpha,4.15394455484017e-06
sub009,closed,absolute,vtpm V2,slow,rt,alpha,4.78093849046466e-06
sub009,closed,absolute,vtpm V3,correct,accuracy,alpha,1.86115118569162e-05
sub009,closed,absolute,vtpm V3,incorrect,accuracy,alpha,1.56747508551085e-05
sub009,closed,absolute,vtpm V3,correct_e,accuracy_e,alpha,1.87188397957042e-05
sub009,closed,absolute,vtpm V3,incorrect_e,accuracy_e,alpha,1.56747508551085e-05
sub009,closed,absolute,vtpm V3,fast,rt,alpha,2.04095374791359e-05
sub009,closed,absolute,vtpm V3,slow,rt,alpha,1.65105777308195e-05
sub010,open,visual power,vtpm V1,correct,accuracy,alpha,0.0236254455029204
sub010,open,visual power,vtpm V1,incorrect,accuracy,alpha,-0.0101991472556665
sub010,open,visual power,vtpm V1,correct_e,accuracy_e,alpha,0.121505654614333
sub010,open,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,-0.0101991472556665
sub010,open,visual power,vtpm V1,fast,rt,alpha,0.0579716199560192
sub010,open,visual power,vtpm V1,slow,rt,alpha,-0.0762112623100144
sub010,open,visual power,vtpm V2,correct,accuracy,alpha,0.151970248162902
sub010,open,visual power,vtpm V2,incorrect,accuracy,alpha,0.0636180492943997
sub010,open,visual power,vtpm V2,correct_e,accuracy_e,alpha,0.179850404253426
sub010,open,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,0.0636180492943997
sub010,open,visual power,vtpm V2,fast,rt,alpha,0.166480133409442
sub010,open,visual power,vtpm V2,slow,rt,alpha,0.104899135903665
sub010,open,visual power,vtpm V3,correct,accuracy,alpha,0.354312380675861
sub010,open,visual power,vtpm V3,incorrect,accuracy,alpha,0.282197313193478
sub010,open,visual power,vtpm V3,correct_e,accuracy_e,alpha,0.522656703872042
sub010,open,visual power,vtpm V3,incorrect_e,accuracy_e,alpha,0.282197313193478
sub010,open,visual power,vtpm V3,fast,rt,alpha,0.47260330519114
sub010,open,visual power,vtpm V3,slow,rt,alpha,0.16475778354529
sub010,open,somato lateralisation index,max,correct,accuracy,alpha,0.303757976595532
sub010,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.521802955915631
sub010,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.225322830626888
sub010,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.521802955915631
sub010,open,somato lateralisation index,max,fast,rt,alpha,0.405089314271998
sub010,open,somato lateralisation index,max,slow,rt,alpha,0.182809449467687
sub010,open,absolute,vtpm V1,correct,accuracy,alpha,8.69328979176042e-06
sub010,open,absolute,vtpm V1,incorrect,accuracy,alpha,7.74302982784709e-06
sub010,open,absolute,vtpm V1,correct_e,accuracy_e,alpha,9.0028252237277e-06
sub010,open,absolute,vtpm V1,incorrect_e,accuracy_e,alpha,7.74302982784709e-06
sub010,open,absolute,vtpm V1,fast,rt,alpha,9.09380316111288e-06
sub010,open,absolute,vtpm V1,slow,rt,alpha,7.98721502378086e-06
sub010,open,absolute,vtpm V2,correct,accuracy,alpha,7.64874332682177e-06
sub010,open,absolute,vtpm V2,incorrect,accuracy,alpha,6.44215412362154e-06
sub010,open,absolute,vtpm V2,correct_e,accuracy_e,alpha,7.52850998020935e-06
sub010,open,absolute,vtpm V2,incorrect_e,accuracy_e,alpha,6.44215412362154e-06
sub010,open,absolute,vtpm V2,fast,rt,alpha,8.01191330404641e-06
sub010,open,absolute,vtpm V2,slow,rt,alpha,7.25720591886021e-06
sub010,open,absolute,vtpm V3,correct,accuracy,alpha,5.83548279627299e-06
sub010,open,absolute,vtpm V3,incorrect,accuracy,alpha,5.45455936333204e-06
sub010,open,absolute,vtpm V3,correct_e,accuracy_e,alpha,6.36349275809493e-06
sub010,open,absolute,vtpm V3,incorrect_e,accuracy_e,alpha,5.45455936333204e-06
sub010,open,absolute,vtpm V3,fast,rt,alpha,6.68150076376657e-06
sub010,open,absolute,vtpm V3,slow,rt,alpha,4.8759696483971e-06
sub010,closed,visual power,vtpm V1,correct,accuracy,alpha,-0.434834920620357
sub010,closed,visual power,vtpm V1,incorrect,accuracy,alpha,-0.448213722793239
sub010,closed,visual power,vtpm V1,correct_e,accuracy_e,alpha,-0.420816279201043
sub010,closed,visual power,vtpm V1,incorrect_e,accuracy_e,alpha,-0.448213722793239
sub010,closed,visual power,vtpm V1,fast,rt,alpha,-0.364049296948188
sub010,closed,visual power,vtpm V1,slow,rt,alpha,-0.507852975289828
sub010,closed,visual power,vtpm V2,correct,accuracy,alpha,-0.268263686628101
sub010,closed,visual power,vtpm V2,incorrect,accuracy,alpha,-0.369238132244035
sub010,closed,visual power,vtpm V2,correct_e,accuracy_e,alpha,-0.188769076903885
sub010,closed,visual power,vtpm V2,incorrect_e,accuracy_e,alpha,-0.369238132244035
sub010,closed,visual power,vtpm V2,fast,rt,alpha,-0.276834464370462
sub010,closed,visual power,vtpm V2,slow,rt,alpha,-0.265413914241213
sub010,closed,visual power,vtpm V3,correct,accuracy,alpha,-0.299603753241485
sub010,closed,visual power,vtpm V3,incorrect,accuracy,alpha,-0.217936680304553
sub010,closed,visual power,vtpm V3,correct_e,accuracy_e,alpha,-0.384962053101111
sub010,closed,visual power,vtpm V3,incorrect_e,accuracy_e,alpha,-0.217936680304553
sub010,closed,visual power,vtpm V3,fast,rt,alpha,-0.33748480450755
sub010,closed,visual power,vtpm V3,slow,rt,alpha,-0.296750772984719
sub010,closed,somato lateralisation index,max,correct,accuracy,alpha,0.712561774450073
sub010,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.240699341556073
sub010,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.575762150619764
sub010,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.240699341556073
sub010,closed,somato lateralisation index,max,fast,rt,alpha,0.77164961294977
