0.513,0.798
0.6095,0.707
0.741,0.7075
0.49,0.542
0.528,0.609
0.56,0.668
0.647,0.8395
0.5815,0.561
0.6485,0.711
0.668,0.5925
0.587,0.482
0.4385,0.529
0.662,0.591
0.4525,0.421
0.686,0.711
0.354,0.472
0.8765,0.8655
0.3755,0.37
0.491,0.7195
0.445,0.4365
0.52,0.5415
0.51,0.704
0.623,0.7645
0.449,0.4625
0.379,0.355
0.5965,0.5825
0.81,0.822
0.62,0.563
0.387,0.383
0.459,0.442
0.509,0.41
0.4395,0.567
0.5355,0.592
0.693,0.745
0.667,0.553
0.6545,0.651
0.681,0.7145
0.471,0.567
0.5365,0.575
0.7735,0.736
0.547,0.509
0.646,0.7545
0.537,0.469
0.614,0.613
0.59,0.803
0.683,0.587
0.437,0.581
0.745,0.629
