sub,eye,bin,perc,rt
sub001,open,b1,0.885714285714286,0.620226715686274
sub001,open,b2,0.942857142857143,0.65447242206235
sub001,closed,b1,0.875,0.673465277777778
sub001,closed,b2,0.866666666666667,0.653036723163842
sub002,open,b1,0.893617021276596,0.563144208037825
sub002,open,b2,0.815602836879433,0.554645390070922
sub002,closed,b1,0.662162162162162,0.688522988505747
sub002,closed,b2,0.635135135135135,0.677816091954023
sub003,open,b1,0.714285714285714,0.663369304556355
sub003,open,b2,0.685714285714286,0.584815476190476
sub003,closed,b1,0.78030303030303,0.632608142493639
sub003,closed,b2,0.696969696969697,0.64025
sub004,open,b1,0.865248226950355,0.469704491725768
sub004,open,b2,0.858156028368794,0.470005910165485
sub004,closed,b1,0.766129032258065,0.520416666666667
sub004,closed,b2,0.82258064516129,0.530241935483871
sub005,open,b1,0.572463768115942,0.624184782608696
sub005,open,b2,0.673913043478261,0.574661835748792
sub005,closed,b1,0.576923076923077,0.604961538461539
sub005,closed,b2,0.623076923076923,0.60124358974359
sub006,open,b1,0.717391304347826,0.821382850241546
sub006,open,b2,0.710144927536232,0.800529197080292
sub006,closed,b1,0.684931506849315,0.887765700483092
sub006,closed,b2,0.732876712328767,0.877758215962441
sub007,open,b1,0.685314685314685,0.66293427230047
sub007,open,b2,0.671328671328671,0.651566901408451
sub007,closed,b1,0.664,0.703419540229885
sub007,closed,b2,0.68,0.648879781420765
sub008,open,b1,0.821428571428571,0.723786231884058
sub008,open,b2,0.921428571428571,0.684380952380952
sub008,closed,b1,0.946969696969697,0.711278625954199
sub008,closed,b2,0.924242424242424,0.661761363636364
sub009,open,b1,0.645669291338583,0.654980158730159
sub009,open,b2,0.661417322834646,0.693686666666667
sub009,closed,b1,0.563636363636364,0.698893939393939
sub009,closed,b2,0.654545454545455,0.718881172839506
sub010,open,b1,0.664233576642336,0.825820707070707
sub010,open,b2,0.715328467153285,0.80933698296837
sub010,closed,b1,0.706521739130435,0.827911985018727
sub010,closed,b2,0.75,0.858415750915751
sub011,open,b1,0.89051094890511,0.610395377128954
sub011,open,b2,0.927007299270073,0.588473236009732
sub011,closed,b1,0.826771653543307,0.639828042328042
sub011,closed,b2,0.897637795275591,0.623471128608924
sub012,open,b1,0.896551724137931,0.541413793103448
sub012,open,b2,0.868965517241379,0.522977011494253
sub012,closed,b1,0.858208955223881,0.651990049751244
sub012,closed,b2,0.925373134328358,0.629284825870647
sub017,open,b1,0.752475247524752,0.742714521452145
sub017,open,b2,0.782178217821782,0.716466666666667
sub017,closed,b1,0.819047619047619,0.697746031746032
sub017,closed,b2,0.819047619047619,0.711076051779935
sub018,open,b1,0.646616541353383,0.572243107769424
sub018,open,b2,0.729323308270677,0.589260651629073
sub018,closed,b1,0.558620689655172,0.643339552238806
sub018,closed,b2,0.6,0.609343971631206
sub020,open,b1,0.695035460992908,0.534739952718676
sub020,open,b2,0.75886524822695,0.559444444444445
sub020,closed,b1,0.664335664335664,0.552658450704225
sub020,closed,b2,0.692307692307692,0.536317016317016
sub021,open,b1,0.587301587301587,0.617284946236559
sub021,open,b2,0.658730158730159,0.582305107526882
sub021,closed,b1,0.625,0.629311926605505
sub021,closed,b2,0.633928571428571,0.58186320754717
sub022,open,b1,0.770992366412214,0.551038461538461
sub022,open,b2,0.801526717557252,0.542385496183206
sub022,closed,b1,0.796992481203007,0.579423558897243
sub022,closed,b2,0.834586466165414,0.593515037593985
sub023,open,b1,0.83448275862069,0.670266203703704
sub023,open,b2,0.868965517241379,0.629311342592592
sub023,closed,b1,0.851351351351351,0.729971655328798
sub023,closed,b2,0.858108108108108,0.680396825396825
sub024,open,b1,0.772413793103448,0.632307692307692
sub024,open,b2,0.889655172413793,0.624649425287356
sub024,closed,b1,0.724409448818898,0.735491803278689
sub024,closed,b2,0.661417322834646,0.70492
sub025,open,b1,0.525,0.829082633053221
sub025,open,b2,0.575,0.780721288515406
sub025,closed,b1,0.661016949152542,0.821431623931624
sub025,closed,b2,0.601694915254237,0.829809322033898
sub026,open,b1,0.765957446808511,0.817541966426858
sub026,open,b2,0.723404255319149,0.797043795620438
sub026,closed,b1,0.746268656716418,0.814872773536896
sub026,closed,b2,0.805970149253731,0.804986979166667
sub027,open,b1,0.712230215827338,0.698147482014389
sub027,open,b2,0.776978417266187,0.700179856115108
sub027,closed,b1,0.729323308270677,0.70469298245614
sub027,closed,b2,0.736842105263158,0.709630325814536
sub028,open,b1,0.795774647887324,0.832122302158273
sub028,open,b2,0.788732394366197,0.836322463768116
sub028,closed,b1,0.773049645390071,0.887351851851852
sub028,closed,b2,0.74468085106383,0.823049382716049
sub029,open,b1,0.762237762237762,0.832946009389671
sub029,open,b2,0.79020979020979,0.841177536231884
sub029,closed,b1,0.558620689655172,0.987563025210084
sub029,closed,b2,0.731034482758621,0.861127098321343
sub030,open,b1,0.774834437086093,0.636755555555556
sub030,open,b2,0.748344370860927,0.657165532879819
sub030,closed,b1,0.82312925170068,0.654886621315193
sub030,closed,b2,0.782312925170068,0.632431506849315
sub031,open,b1,0.621212121212121,0.732807692307692
sub031,open,b2,0.765151515151515,0.702866161616162
sub031,closed,b1,0.610687022900763,0.832224462365591
sub031,closed,b2,0.656488549618321,0.747803617571059
sub032,open,b1,0.612244897959184,0.696563218390805
sub032,open,b2,0.612244897959184,0.671558219178082
sub032,closed,b1,0.661764705882353,0.661411691542289
sub032,closed,b2,0.647058823529412,0.672975308641975
sub033,open,b1,0.864285714285714,0.756231617647059
sub033,open,b2,0.892857142857143,0.724619565217391
sub033,closed,b1,0.833333333333333,0.721989664082687
sub033,closed,b2,0.772727272727273,0.737771317829457
sub034,open,b1,0.835714285714286,0.625053571428571
sub034,open,b2,0.785714285714286,0.609815476190476
sub034,closed,b1,0.843283582089552,0.589956467661692
sub034,closed,b2,0.753731343283582,0.630006218905473
sub035,open,b1,0.611111111111111,0.454469696969697
sub035,open,b2,0.631944444444444,0.485086805555556
sub035,closed,b1,0.625,0.549814814814815
sub035,closed,b2,0.583333333333333,0.511354166666667
sub036,open,b1,0.75968992248062,0.738346253229974
sub036,open,b2,0.775193798449612,0.760623359580052
sub036,closed,b1,0.770491803278688,0.830560109289617
sub036,closed,b2,0.778688524590164,0.830986111111111
sub037,open,b1,0.793650793650794,0.726600529100529
sub037,open,b2,0.841269841269841,0.692744708994709
sub037,closed,b1,0.631578947368421,0.81328
sub037,closed,b2,0.842105263157895,0.729592731829574
sub039,open,b1,0.869565217391304,0.734197303921569
sub039,open,b2,0.884057971014493,0.693958333333333
sub039,closed,b1,0.854166666666667,0.713809523809524
sub039,closed,b2,0.930555555555556,0.708946759259259
