sub,roi,eyes,level,apeak,bpeak
sub035,visual,closed,sensor,9,18
sub035,auditory,closed,sensor,8,16
sub036,somato,open,sensor,10,19
sub036,visual,open,sensor,10,20
sub036,auditory,open,sensor,10,18
sub036,somato,closed,sensor,10,19
sub036,visual,closed,sensor,10,19
sub036,auditory,closed,sensor,9,18
sub037,somato,open,sensor,9,19
sub037,visual,open,sensor,10,19
sub037,auditory,open,sensor,9,18
sub037,somato,closed,sensor,9,20
sub037,visual,closed,sensor,10,20
sub037,auditory,closed,sensor,9,18
sub039,somato,open,sensor,10,20
sub039,visual,open,sensor,10,21
sub039,auditory,open,sensor,10,20
sub039,somato,closed,sensor,10,20
sub039,visual,closed,sensor,10,20
sub039,auditory,closed,sensor,10,20
