suj,sample_size,perc_trials,bin,itc
5sub034,n=05,050 %,b4,0.102235692166094
5sub034,n=05,050 %,b5,0.0959862939744138
5sub035,n=05,050 %,b1,0.0970069094829622
5sub035,n=05,050 %,b2,0.0900406846285338
5sub035,n=05,050 %,b3,0.0875610813114024
5sub035,n=05,050 %,b4,0.0904668238758678
5sub035,n=05,050 %,b5,0.0910679879066967
5sub027,n=05,050 %,b1,0.144262500880342
5sub027,n=05,050 %,b2,0.1432730788847
5sub027,n=05,050 %,b3,0.142232717532402
5sub027,n=05,050 %,b4,0.141255804590975
5sub027,n=05,050 %,b5,0.141017496711228
5sub021,n=05,060 %,b1,0.0772605442816104
5sub021,n=05,060 %,b2,0.0620939963142357
5sub021,n=05,060 %,b3,0.0661733698210277
5sub021,n=05,060 %,b4,0.0667094171298704
5sub021,n=05,060 %,b5,0.0636036532761402
5sub025,n=05,060 %,b1,0.0864920434196724
5sub025,n=05,060 %,b2,0.0871961094549167
5sub025,n=05,060 %,b3,0.0761647398560162
5sub025,n=05,060 %,b4,0.0828546157865285
5sub025,n=05,060 %,b5,0.0825441578390764
5sub034,n=05,060 %,b1,0.109228116127106
5sub034,n=05,060 %,b2,0.104420940868924
5sub034,n=05,060 %,b3,0.0982189050674188
5sub034,n=05,060 %,b4,0.0980706501639217
5sub034,n=05,060 %,b5,0.0930357696878107
5sub035,n=05,060 %,b1,0.0973808651086147
5sub035,n=05,060 %,b2,0.0897966762408546
5sub035,n=05,060 %,b3,0.0860264042284102
5sub035,n=05,060 %,b4,0.090560614792461
5sub035,n=05,060 %,b5,0.0918271358464977
5sub027,n=05,060 %,b1,0.146297487914169
5sub027,n=05,060 %,b2,0.145337962430733
5sub027,n=05,060 %,b3,0.144126044537268
5sub027,n=05,060 %,b4,0.143837678787925
5sub027,n=05,060 %,b5,0.142979298174622
5sub021,n=05,070 %,b1,0.077016867372495
5sub021,n=05,070 %,b2,0.06572429979228
5sub021,n=05,070 %,b3,0.0641214932579857
5sub021,n=05,070 %,b4,0.0643500690736205
5sub021,n=05,070 %,b5,0.0649729999051828
5sub025,n=05,070 %,b1,0.0893419951851823
5sub025,n=05,070 %,b2,0.0884177139011157
5sub025,n=05,070 %,b3,0.0778744354014536
5sub025,n=05,070 %,b4,0.0829622704301937
5sub025,n=05,070 %,b5,0.0835667153638676
5sub034,n=05,070 %,b1,0.106519270625653
5sub034,n=05,070 %,b2,0.105007039929384
5sub034,n=05,070 %,b3,0.100323805186724
5sub034,n=05,070 %,b4,0.0963993256348442
