suj,eye,cue,perc_corr,perc_icor,perc_miss,med_rt
sub001,open,left,0.934782608695652,0.0434782608695652,0.0217391304347826,0.569166666666667
sub001,open,right,0.895104895104895,0.0909090909090909,0.013986013986014,0.545
sub001,close,left,0.896551724137931,0.0862068965517241,0.0172413793103448,0.575
sub001,close,right,0.846774193548387,0.145161290322581,0.00806451612903226,0.555
sub002,open,left,0.868965517241379,0.131034482758621,0,0.505
sub002,open,right,0.840579710144927,0.159420289855072,0,0.511666666666667
sub002,close,left,0.682432432432432,0.317567567567568,0,0.569166666666667
sub002,close,right,0.61744966442953,0.348993288590604,0.0335570469798658,0.621666666666667
sub003,open,left,0.762589928057554,0.23021582733813,0.00719424460431655,0.595
sub003,open,right,0.640845070422535,0.359154929577465,0,0.515833333333333
sub003,close,left,0.730769230769231,0.246153846153846,0.0230769230769231,0.620833333333333
sub003,close,right,0.746268656716418,0.253731343283582,0,0.574166666666667
sub004,open,left,0.896551724137931,0.103448275862069,0,0.46625
sub004,open,right,0.824817518248175,0.175182481751825,0,0.455
sub004,close,left,0.834710743801653,0.165289256198347,0,0.499166666666667
sub004,close,right,0.755905511811024,0.244094488188976,0,0.514583333333333
sub005,open,left,0.553191489361702,0.446808510638298,0,0.528333333333333
sub005,open,right,0.696296296296296,0.303703703703704,0,0.555833333333333
sub005,close,left,0.59375,0.40625,0,0.579583333333333
sub005,close,right,0.606060606060606,0.393939393939394,0,0.594583333333333
sub006,open,left,0.671428571428571,0.321428571428571,0.00714285714285714,0.722916666666667
sub006,open,right,0.757352941176471,0.242647058823529,0,0.720833333333333
sub006,close,left,0.684563758389262,0.261744966442953,0.0536912751677852,0.8225
sub006,close,right,0.736111111111111,0.229166666666667,0.0347222222222222,0.786666666666667
sub007,open,left,0.671328671328671,0.321678321678322,0.00699300699300699,0.599583333333333
sub007,open,right,0.685314685314685,0.314685314685315,0,0.61
sub007,close,left,0.663934426229508,0.30327868852459,0.0327868852459016,0.613333333333333
sub007,close,right,0.6796875,0.3046875,0.015625,0.6475
sub008,open,left,0.887323943661972,0.105633802816901,0.00704225352112676,0.64875
sub008,open,right,0.848920863309353,0.129496402877698,0.0215827338129496,0.646666666666667
sub008,close,left,0.931297709923664,0.0610687022900763,0.00763358778625954,0.665833333333333
sub008,close,right,0.940298507462687,0.0597014925373134,0,0.644583333333333
sub009,open,left,0.669230769230769,0.315384615384615,0.0153846153846154,0.666666666666667
sub009,open,right,0.64,0.352,0.008,0.59625
sub009,close,left,0.640776699029126,0.349514563106796,0.00970873786407767,0.661666666666667
sub009,close,right,0.584745762711864,0.415254237288136,0,0.63125
sub010,open,left,0.683453237410072,0.316546762589928,0,0.7475
sub010,open,right,0.698529411764706,0.264705882352941,0.0367647058823529,0.744166666666667
sub010,close,left,0.755555555555556,0.211111111111111,0.0333333333333333,0.8625
sub010,close,right,0.702127659574468,0.287234042553192,0.0106382978723404,0.76375
sub011,open,left,0.895522388059702,0.104477611940299,0,0.565833333333333
sub011,open,right,0.921428571428571,0.0785714285714286,0,0.535
sub011,close,left,0.796875,0.1953125,0.0078125,0.585833333333333
sub011,close,right,0.921259842519685,0.0708661417322835,0.0078740157480315,0.556666666666667
sub012,open,left,0.855172413793103,0.144827586206897,0,0.527916666666667
sub012,open,right,0.910344827586207,0.0896551724137931,0,0.517916666666667
sub012,close,left,0.916030534351145,0.083969465648855,0,0.611666666666667
sub012,close,right,0.868613138686131,0.131386861313869,0,0.61
sub017,open,left,0.805825242718447,0.184466019417476,0.00970873786407767,0.651666666666667
sub017,open,right,0.72,0.28,0,0.662083333333333
sub017,close,left,0.779816513761468,0.201834862385321,0.018348623853211,0.663333333333333
sub017,close,right,0.861386138613861,0.138613861386139,0,0.66
sub018,open,left,0.652173913043478,0.347826086956522,0,0.53625
sub018,open,right,0.728682170542636,0.271317829457364,0,0.563333333333333
sub018,close,left,0.551724137931034,0.406896551724138,0.0413793103448276,0.578333333333333
sub018,close,right,0.606896551724138,0.358620689655172,0.0344827586206897,0.615
sub020,open,left,0.735294117647059,0.264705882352941,0,0.490416666666667
sub020,open,right,0.719178082191781,0.280821917808219,0,0.510833333333333
sub020,close,left,0.719178082191781,0.273972602739726,0.00684931506849315,0.5025
sub020,close,right,0.638297872340426,0.354609929078014,0.00709219858156028,0.5325
sub021,open,left,0.608333333333333,0.383333333333333,0.00833333333333333,0.651666666666667
sub021,open,right,0.636363636363636,0.340909090909091,0.0227272727272727,0.480416666666667
sub021,close,left,0.631578947368421,0.315789473684211,0.0526315789473684,0.619166666666667
sub021,close,right,0.621621621621622,0.36036036036036,0.018018018018018,0.515
sub022,open,left,0.757575757575758,0.234848484848485,0.00757575757575758,0.498333333333333
sub022,open,right,0.815384615384615,0.184615384615385,0,0.537916666666667
sub022,close,left,0.844444444444444,0.155555555555556,0,0.5525
sub022,close,right,0.787878787878788,0.212121212121212,0,0.556666666666667
