closed,open
86.5131578947368,91.4473684210526
65.7894736842105,85.1973684210527
73.0263157894737,69.4078947368421
78.9473684210527,86.1842105263158
61.5131578947368,62.5
70.7236842105263,70.7236842105263
68.4210526315789,67.4342105263158
92.1052631578947,86.1842105263158
59.5394736842105,65.4605263157895
72.0394736842105,69.0789473684211
85.1973684210526,89.4736842105263
88.4868421052632,88.8157894736842
82.0175438596491,76.3157894736842
58.5526315789474,67.7631578947368
68.0921052631579,73.0263157894737
63.8157894736842,62.8289473684211
80.5921052631579,77.3026315789473
85.1973684210527,84.8684210526316
69.7368421052632,83.8815789473685
62.828947368421,57.5657894736842
77.3026315789473,74.3421052631579
73.3552631578948,73.0263157894737
74.671052631579,78.6184210526316
64.8026315789474,76.9736842105263
80.2631578947368,75.9868421052632
63.1578947368421,69.7368421052632
64.8026315789474,60.5263157894737
80.5921052631579,87.5
80.921052631579,79.6052631578947
61.1842105263158,62.171052631579
76.3157894736842,76.3157894736842
73.3552631578947,81.8791946308725
89.1447368421053,87.5
