sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,closed,visual power,Brodmann area 19,correct_e,accuracy_e,500pre,source,alpha,-0.0907671915895754
sub001,closed,visual power,Brodmann area 19,incorrect_e,accuracy_e,500pre,source,alpha,0.0937348799328945
sub001,closed,visual power,Brodmann area 19,fast,rt,500pre,source,alpha,-0.0681018035098807
sub001,closed,visual power,Brodmann area 19,slow,rt,500pre,source,alpha,0.0901990123123806
sub001,closed,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.139600748403646
sub001,closed,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,-0.022056391903013
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.279421083935355
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.022056391903013
sub001,closed,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.102629333973343
sub001,closed,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.131135042756105
sub001,closed,somatovisual balance,max-Brodmann area 17,correct,accuracy,500pre,source,alpha,0.331837004196444
sub001,closed,somatovisual balance,max-Brodmann area 17,incorrect,accuracy,500pre,source,alpha,0.331499530423536
sub001,closed,somatovisual balance,max-Brodmann area 17,correct_e,accuracy_e,500pre,source,alpha,0.339628322658363
sub001,closed,somatovisual balance,max-Brodmann area 17,incorrect_e,accuracy_e,500pre,source,alpha,0.331499530423536
sub001,closed,somatovisual balance,max-Brodmann area 17,fast,rt,500pre,source,alpha,0.333178616884009
sub001,closed,somatovisual balance,max-Brodmann area 17,slow,rt,500pre,source,alpha,0.323898655201573
sub001,closed,somatovisual balance,max-Brodmann area 18,correct,accuracy,500pre,source,alpha,0.207656458567531
sub001,closed,somatovisual balance,max-Brodmann area 18,incorrect,accuracy,500pre,source,alpha,0.197112457768863
sub001,closed,somatovisual balance,max-Brodmann area 18,correct_e,accuracy_e,500pre,source,alpha,0.197254406966579
sub001,closed,somatovisual balance,max-Brodmann area 18,incorrect_e,accuracy_e,500pre,source,alpha,0.197112457768863
sub001,closed,somatovisual balance,max-Brodmann area 18,fast,rt,500pre,source,alpha,0.190462778608072
sub001,closed,somatovisual balance,max-Brodmann area 18,slow,rt,500pre,source,alpha,0.219025414807295
sub001,closed,somatovisual balance,max-Brodmann area 19,correct,accuracy,500pre,source,alpha,-0.281087512307688
sub001,closed,somatovisual balance,max-Brodmann area 19,incorrect,accuracy,500pre,source,alpha,-0.368962174941898
sub001,closed,somatovisual balance,max-Brodmann area 19,correct_e,accuracy_e,500pre,source,alpha,-0.293928214266117
sub001,closed,somatovisual balance,max-Brodmann area 19,incorrect_e,accuracy_e,500pre,source,alpha,-0.368962174941898
sub001,closed,somatovisual balance,max-Brodmann area 19,fast,rt,500pre,source,alpha,-0.332873765023969
sub001,closed,somatovisual balance,max-Brodmann area 19,slow,rt,500pre,source,alpha,-0.226290653124998
sub001,open,visual power,Brodmann area 17,correct,accuracy,500pre,source,beta,0.246804690091637
sub001,open,visual power,Brodmann area 17,incorrect,accuracy,500pre,source,beta,0.278830736745912
