sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.00643344440098701
sub001,closed,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.105564496699727
sub001,closed,somato lateralisation index,max,slow,rt,500pre,source,alpha,-0.0857640682771563
sub001,closed,somatovisual balance,max-v1,correct,accuracy,500pre,source,alpha,-0.934909250438277
sub001,closed,somatovisual balance,max-v1,incorrect,accuracy,500pre,source,alpha,-0.931130186968433
sub001,closed,somatovisual balance,max-v1,correct_e,accuracy_e,500pre,source,alpha,-0.93943560135015
sub001,closed,somatovisual balance,max-v1,incorrect_e,accuracy_e,500pre,source,alpha,-0.931130186968433
sub001,closed,somatovisual balance,max-v1,fast,rt,500pre,source,alpha,-0.933041243816863
sub001,closed,somatovisual balance,max-v1,slow,rt,500pre,source,alpha,-0.936407753616822
sub001,closed,somatovisual balance,max-v2,correct,accuracy,500pre,source,alpha,-0.813294473282378
sub001,closed,somatovisual balance,max-v2,incorrect,accuracy,500pre,source,alpha,-0.822731913260889
sub001,closed,somatovisual balance,max-v2,correct_e,accuracy_e,500pre,source,alpha,-0.796675757825207
sub001,closed,somatovisual balance,max-v2,incorrect_e,accuracy_e,500pre,source,alpha,-0.822731913260889
sub001,closed,somatovisual balance,max-v2,fast,rt,500pre,source,alpha,-0.786188047011741
sub001,closed,somatovisual balance,max-v2,slow,rt,500pre,source,alpha,-0.837798631029375
sub001,closed,somatovisual balance,max-v3,correct,accuracy,500pre,source,alpha,-0.334923291741073
sub001,closed,somatovisual balance,max-v3,incorrect,accuracy,500pre,source,alpha,-0.378024157362138
sub001,closed,somatovisual balance,max-v3,correct_e,accuracy_e,500pre,source,alpha,-0.22283084961265
sub001,closed,somatovisual balance,max-v3,incorrect_e,accuracy_e,500pre,source,alpha,-0.378024157362138
sub001,closed,somatovisual balance,max-v3,fast,rt,500pre,source,alpha,-0.299901933296308
sub001,closed,somatovisual balance,max-v3,slow,rt,500pre,source,alpha,-0.353832730727861
sub001,open,visual power,v1,correct,accuracy,500pre,source,beta,-0.139617870923687
sub001,open,visual power,v1,incorrect,accuracy,500pre,source,beta,0.0600592862792494
sub001,open,visual power,v1,correct_e,accuracy_e,500pre,source,beta,0.273801650518624
sub001,open,visual power,v1,incorrect_e,accuracy_e,500pre,source,beta,0.0600592862792494
sub001,open,visual power,v1,fast,rt,500pre,source,beta,-0.0870085204762435
sub001,open,visual power,v1,slow,rt,500pre,source,beta,-0.176209370078313
sub001,open,visual power,v2,correct,accuracy,500pre,source,beta,0.134957389963224
sub001,open,visual power,v2,incorrect,accuracy,500pre,source,beta,0.101177913378938
sub001,open,visual power,v2,correct_e,accuracy_e,500pre,source,beta,0.145151819160238
sub001,open,visual power,v2,incorrect_e,accuracy_e,500pre,source,beta,0.101177913378938
sub001,open,visual power,v2,fast,rt,500pre,source,beta,0.28427048400494
sub001,open,visual power,v2,slow,rt,500pre,source,beta,0.0154801699891266
sub001,open,visual power,v3,correct,accuracy,500pre,source,beta,0.0760797244370681
sub001,open,visual power,v3,incorrect,accuracy,500pre,source,beta,0.136623440781439
sub001,open,visual power,v3,correct_e,accuracy_e,500pre,source,beta,-0.192618630870272
sub001,open,visual power,v3,incorrect_e,accuracy_e,500pre,source,beta,0.136623440781439
sub001,open,visual power,v3,fast,rt,500pre,source,beta,0.247178445102221
sub001,open,visual power,v3,slow,rt,500pre,source,beta,-0.0660240012887704
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,beta,0.0975978798371921
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,beta,-0.374733852435401
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,beta,-0.273469132212105
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,beta,-0.374733852435401
sub001,open,somato lateralisation index,max,fast,rt,500pre,source,beta,0.0844557347619872
sub001,open,somato lateralisation index,max,slow,rt,500pre,source,beta,0.141401729948495
sub001,open,somatovisual balance,max-v1,correct,accuracy,500pre,source,beta,-0.971134058656493
sub001,open,somatovisual balance,max-v1,incorrect,accuracy,500pre,source,beta,-0.977372176555392
sub001,open,somatovisual balance,max-v1,correct_e,accuracy_e,500pre,source,beta,-0.963335443981025
sub001,open,somatovisual balance,max-v1,incorrect_e,accuracy_e,500pre,source,beta,-0.977372176555392
sub001,open,somatovisual balance,max-v1,fast,rt,500pre,source,beta,-0.969338905292622
sub001,open,somatovisual balance,max-v1,slow,rt,500pre,source,beta,-0.969927787740743
sub001,open,somatovisual balance,max-v2,correct,accuracy,500pre,source,beta,-0.924087014268446
sub001,open,somatovisual balance,max-v2,incorrect,accuracy,500pre,source,beta,-0.957044134181206
sub001,open,somatovisual balance,max-v2,correct_e,accuracy_e,500pre,source,beta,-0.923068393910397
sub001,open,somatovisual balance,max-v2,incorrect_e,accuracy_e,500pre,source,beta,-0.957044134181206
sub001,open,somatovisual balance,max-v2,fast,rt,500pre,source,beta,-0.913141641567974
sub001,open,somatovisual balance,max-v2,slow,rt,500pre,source,beta,-0.930094119087577
sub001,open,somatovisual balance,max-v3,correct,accuracy,500pre,source,beta,-0.538032585901351
sub001,open,somatovisual balance,max-v3,incorrect,accuracy,500pre,source,beta,-0.697794054468672
sub001,open,somatovisual balance,max-v3,correct_e,accuracy_e,500pre,source,beta,-0.610625463784302
sub001,open,somatovisual balance,max-v3,incorrect_e,accuracy_e,500pre,source,beta,-0.697794054468672
sub001,open,somatovisual balance,max-v3,fast,rt,500pre,source,beta,-0.495891555688509
sub001,open,somatovisual balance,max-v3,slow,rt,500pre,source,beta,-0.548905619026028
sub001,closed,visual power,v1,correct,accuracy,500pre,source,beta,0.0976740479256796
sub001,closed,visual power,v1,incorrect,accuracy,500pre,source,beta,0.226333876578784
sub001,closed,visual power,v1,correct_e,accuracy_e,500pre,source,beta,0.0100492892980024
sub001,closed,visual power,v1,incorrect_e,accuracy_e,500pre,source,beta,0.226333876578784
sub001,closed,visual power,v1,fast,rt,500pre,source,beta,-0.00201481988401756
sub001,closed,visual power,v1,slow,rt,500pre,source,beta,0.0720313333436775
sub001,closed,visual power,v2,correct,accuracy,500pre,source,beta,-0.192100720994378
sub001,closed,visual power,v2,incorrect,accuracy,500pre,source,beta,-0.00731646456677729
sub001,closed,visual power,v2,correct_e,accuracy_e,500pre,source,beta,-0.137863071761538
sub001,closed,visual power,v2,incorrect_e,accuracy_e,500pre,source,beta,-0.00731646456677729
sub001,closed,visual power,v2,fast,rt,500pre,source,beta,-0.142168549701657
sub001,closed,visual power,v2,slow,rt,500pre,source,beta,-0.211991897432667
sub001,closed,visual power,v3,correct,accuracy,500pre,source,beta,-0.128949567168538
sub001,closed,visual power,v3,incorrect,accuracy,500pre,source,beta,-0.248867018842279
sub001,closed,visual power,v3,correct_e,accuracy_e,500pre,source,beta,0.362583049644295
sub001,closed,visual power,v3,incorrect_e,accuracy_e,500pre,source,beta,-0.248867018842279
sub001,closed,visual power,v3,fast,rt,500pre,source,beta,-0.219693469436421
sub001,closed,visual power,v3,slow,rt,500pre,source,beta,-0.0761550918572243
sub001,closed,somato lateralisation index,max,correct,accuracy,500pre,source,beta,-0.00063163316874294
sub001,closed,somato lateralisation index,max,incorrect,accuracy,500pre,source,beta,-0.137382491232346
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,beta,0.128067412493557
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,beta,-0.137382491232346
sub001,closed,somato lateralisation index,max,fast,rt,500pre,source,beta,-0.0235410015239619
sub001,closed,somato lateralisation index,max,slow,rt,500pre,source,beta,-0.0164404155462917
sub001,closed,somatovisual balance,max-v1,correct,accuracy,500pre,source,beta,-0.961738880265456
sub001,closed,somatovisual balance,max-v1,incorrect,accuracy,500pre,source,beta,-0.970565220883162
sub001,closed,somatovisual balance,max-v1,correct_e,accuracy_e,500pre,source,beta,-0.955580657935153
sub001,closed,somatovisual balance,max-v1,incorrect_e,accuracy_e,500pre,source,beta,-0.970565220883162
sub001,closed,somatovisual balance,max-v1,fast,rt,500pre,source,beta,-0.969803469523816
sub001,closed,somatovisual balance,max-v1,slow,rt,500pre,source,beta,-0.955062537777384
sub001,closed,somatovisual balance,max-v2,correct,accuracy,500pre,source,beta,-0.910188021258189
sub001,closed,somatovisual balance,max-v2,incorrect,accuracy,500pre,source,beta,-0.934311063468089
sub001,closed,somatovisual balance,max-v2,correct_e,accuracy_e,500pre,source,beta,-0.876670419872282
sub001,closed,somatovisual balance,max-v2,incorrect_e,accuracy_e,500pre,source,beta,-0.934311063468089
sub001,closed,somatovisual balance,max-v2,fast,rt,500pre,source,beta,-0.914953498581195
sub001,closed,somatovisual balance,max-v2,slow,rt,500pre,source,beta,-0.903038449510965
sub001,closed,somatovisual balance,max-v3,correct,accuracy,500pre,source,beta,-0.538482118569654
sub001,closed,somatovisual balance,max-v3,incorrect,accuracy,500pre,source,beta,-0.63724722845286
sub001,closed,somatovisual balance,max-v3,correct_e,accuracy_e,500pre,source,beta,-0.425425281000365
sub001,closed,somatovisual balance,max-v3,incorrect_e,accuracy_e,500pre,source,beta,-0.63724722845286
sub001,closed,somatovisual balance,max-v3,fast,rt,500pre,source,beta,-0.596066006377684
sub001,closed,somatovisual balance,max-v3,slow,rt,500pre,source,beta,-0.493117709743812
sub002,open,visual power,v1,correct,accuracy,500pre,source,alpha,-0.192468345207101
sub002,open,visual power,v1,incorrect,accuracy,500pre,source,alpha,0.14787221874853
sub002,open,visual power,v1,correct_e,accuracy_e,500pre,source,alpha,-0.519900270789084
sub002,open,visual power,v1,incorrect_e,accuracy_e,500pre,source,alpha,0.14787221874853
sub002,open,visual power,v1,fast,rt,500pre,source,alpha,-0.254313455460938
sub002,open,visual power,v1,slow,rt,500pre,source,alpha,-0.0999308238389812
sub002,open,visual power,v2,correct,accuracy,500pre,source,alpha,-0.14467467741428
sub002,open,visual power,v2,incorrect,accuracy,500pre,source,alpha,-0.108065837781174
sub002,open,visual power,v2,correct_e,accuracy_e,500pre,source,alpha,-0.287241415825227
sub002,open,visual power,v2,incorrect_e,accuracy_e,500pre,source,alpha,-0.108065837781174
sub002,open,visual power,v2,fast,rt,500pre,source,alpha,-0.17648332677594
sub002,open,visual power,v2,slow,rt,500pre,source,alpha,-0.152876617397061
sub002,open,visual power,v3,correct,accuracy,500pre,source,alpha,-0.0842967292709321
sub002,open,visual power,v3,incorrect,accuracy,500pre,source,alpha,-0.165241364458025
sub002,open,visual power,v3,correct_e,accuracy_e,500pre,source,alpha,-0.264483167173484
sub002,open,visual power,v3,incorrect_e,accuracy_e,500pre,source,alpha,-0.165241364458025
sub002,open,visual power,v3,fast,rt,500pre,source,alpha,-0.0397972418460272
sub002,open,visual power,v3,slow,rt,500pre,source,alpha,-0.102098729998921
sub002,open,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.00472190161343875
sub002,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,0.0767327416674438
sub002,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,0.0551075305928301
sub002,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,0.0767327416674438
sub002,open,somato lateralisation index,max,fast,rt,500pre,source,alpha,-0.0107627844649052
sub002,open,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.0223231694173078
sub002,open,somatovisual balance,max-v1,correct,accuracy,500pre,source,alpha,-0.990044888486829
sub002,open,somatovisual balance,max-v1,incorrect,accuracy,500pre,source,alpha,-0.98431700666141
sub002,open,somatovisual balance,max-v1,correct_e,accuracy_e,500pre,source,alpha,-0.99442535642423
sub002,open,somatovisual balance,max-v1,incorrect_e,accuracy_e,500pre,source,alpha,-0.98431700666141
sub002,open,somatovisual balance,max-v1,fast,rt,500pre,source,alpha,-0.990704902165772
