sub,eye,bin,perc,perc_i,rt
sub001,open,b1,0.910714285714286,0.0892857142857143,0.670550595238095
sub001,open,b2,0.857142857142857,0.107142857142857,0.629506172839506
sub001,open,b3,0.928571428571429,0.0714285714285714,0.599747023809524
sub001,open,b4,0.910714285714286,0.0535714285714286,0.662654320987654
sub001,open,b5,0.964285714285714,0.0178571428571429,0.62580303030303
sub001,closed,b1,0.875,0.125,0.653090277777778
sub001,closed,b2,0.8125,0.166666666666667,0.639255319148936
sub001,closed,b3,0.9375,0.0625,0.669131944444444
sub001,closed,b4,0.895833333333333,0.0625,0.654769503546099
sub001,closed,b5,0.833333333333333,0.166666666666667,0.699756944444444
sub002,open,b1,0.821428571428571,0.178571428571429,0.553854166666667
sub002,open,b2,0.857142857142857,0.142857142857143,0.576175595238095
sub002,open,b3,0.857142857142857,0.142857142857143,0.577172619047619
sub002,open,b4,0.875,0.125,0.556547619047619
sub002,open,b5,0.857142857142857,0.142857142857143,0.523214285714286
sub002,closed,b1,0.644067796610169,0.322033898305085,0.692923976608187
sub002,closed,b2,0.644067796610169,0.305084745762712,0.672559523809524
sub002,closed,b3,0.644067796610169,0.355932203389831,0.691293103448276
sub002,closed,b4,0.694915254237288,0.305084745762712,0.686920903954802
sub002,closed,b5,0.610169491525424,0.389830508474576,0.677090395480226
sub003,open,b1,0.660714285714286,0.339285714285714,0.563020833333333
sub003,open,b2,0.75,0.25,0.602172619047619
sub003,open,b3,0.678571428571429,0.321428571428571,0.619345238095238
sub003,open,b4,0.607142857142857,0.392857142857143,0.658809523809524
sub003,open,b5,0.803571428571429,0.178571428571429,0.678378787878788
sub003,closed,b1,0.711538461538462,0.288461538461538,0.603205128205128
sub003,closed,b2,0.807692307692308,0.192307692307692,0.645128205128205
sub003,closed,b3,0.692307692307692,0.288461538461538,0.644003267973856
sub003,closed,b4,0.769230769230769,0.192307692307692,0.675416666666667
sub003,closed,b5,0.730769230769231,0.269230769230769,0.625801282051282
sub004,open,b1,0.821428571428571,0.178571428571429,0.473020833333333
sub004,open,b2,0.946428571428571,0.0535714285714286,0.459479166666667
sub004,open,b3,0.910714285714286,0.0892857142857143,0.487380952380952
sub004,open,b4,0.839285714285714,0.160714285714286,0.482916666666667
sub004,open,b5,0.785714285714286,0.214285714285714,0.448005952380952
sub004,closed,b1,0.816326530612245,0.183673469387755,0.547993197278912
sub004,closed,b2,0.816326530612245,0.183673469387755,0.518809523809524
sub004,closed,b3,0.693877551020408,0.306122448979592,0.528571428571429
sub004,closed,b4,0.816326530612245,0.183673469387755,0.532006802721088
sub004,closed,b5,0.816326530612245,0.183673469387755,0.495612244897959
sub005,open,b1,0.6,0.4,0.612742424242424
sub005,open,b2,0.672727272727273,0.327272727272727,0.616363636363636
sub005,open,b3,0.581818181818182,0.418181818181818,0.599454545454545
sub005,open,b4,0.672727272727273,0.327272727272727,0.584227272727273
sub005,open,b5,0.6,0.4,0.585772727272727
sub005,closed,b1,0.634615384615385,0.365384615384615,0.606089743589744
sub005,closed,b2,0.692307692307692,0.307692307692308,0.618717948717949
sub005,closed,b3,0.5,0.5,0.611923076923077
sub005,closed,b4,0.615384615384615,0.384615384615385,0.578141025641026
sub005,closed,b5,0.557692307692308,0.442307692307692,0.600641025641026
sub006,open,b1,0.654545454545455,0.345454545454545,0.833969696969697
sub006,open,b2,0.763636363636364,0.236363636363636,0.853075757575758
sub006,open,b3,0.818181818181818,0.181818181818182,0.816090909090909
sub006,open,b4,0.654545454545455,0.327272727272727,0.782253086419753
sub006,open,b5,0.690909090909091,0.309090909090909,0.765257575757576
sub006,closed,b1,0.655172413793103,0.310344827586207,0.873581871345029
sub006,closed,b2,0.844827586206897,0.120689655172414,0.896934523809524
sub006,closed,b3,0.672413793103448,0.275862068965517,0.886757575757576
sub006,closed,b4,0.655172413793103,0.310344827586207,0.877931547619048
sub006,closed,b5,0.706896551724138,0.224137931034483,0.876388888888889
sub007,open,b1,0.701754385964912,0.298245614035088,0.652470760233918
sub007,open,b2,0.684210526315789,0.315789473684211,0.627602339181286
sub007,open,b3,0.666666666666667,0.333333333333333,0.656994047619048
sub007,open,b4,0.614035087719298,0.385964912280702,0.648377192982456
sub007,open,b5,0.719298245614035,0.263157894736842,0.69577380952381
