sub,eyes,measure,roi,cond,compare,band,value
sub001,closed,absolute,Brodmann area 17,correct,accuracy,alpha,3.70851301009051e-05
sub001,closed,absolute,Brodmann area 17,incorrect,accuracy,alpha,4.14832400685386e-05
sub001,closed,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,3.04409419416094e-05
sub001,closed,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,4.14832400685386e-05
sub001,closed,absolute,Brodmann area 17,fast,rt,alpha,3.77278891401482e-05
sub001,closed,absolute,Brodmann area 17,slow,rt,alpha,3.5097471608759e-05
sub001,closed,absolute,Brodmann area 18,correct,accuracy,alpha,2.80188659588238e-05
sub001,closed,absolute,Brodmann area 18,incorrect,accuracy,alpha,3.06303073573692e-05
sub001,closed,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,2.44146018708976e-05
sub001,closed,absolute,Brodmann area 18,incorrect_e,accuracy_e,alpha,3.06303073573692e-05
sub001,closed,absolute,Brodmann area 18,fast,rt,alpha,2.7257301904314e-05
sub001,closed,absolute,Brodmann area 18,slow,rt,alpha,2.78116923257123e-05
sub001,closed,absolute,Brodmann area 19,correct,accuracy,alpha,9.75540364102363e-06
sub001,closed,absolute,Brodmann area 19,incorrect,accuracy,alpha,8.6494857430762e-06
sub001,closed,absolute,Brodmann area 19,correct_e,accuracy_e,alpha,9.15127381850992e-06
sub001,closed,absolute,Brodmann area 19,incorrect_e,accuracy_e,alpha,8.6494857430762e-06
sub001,closed,absolute,Brodmann area 19,fast,rt,alpha,8.59427555351003e-06
sub001,closed,absolute,Brodmann area 19,slow,rt,alpha,1.08393937858633e-05
sub002,open,visual power,Brodmann area 17,correct,accuracy,alpha,-0.0459770576560395
sub002,open,visual power,Brodmann area 17,incorrect,accuracy,alpha,2.54927242103252
sub002,open,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,-0.318884801943281
sub002,open,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,2.54927242103252
sub002,open,visual power,Brodmann area 17,fast,rt,alpha,1.23205352580623
sub002,open,visual power,Brodmann area 17,slow,rt,alpha,-0.431762151881093
sub002,open,visual power,Brodmann area 18,correct,accuracy,alpha,-0.256291964077633
sub002,open,visual power,Brodmann area 18,incorrect,accuracy,alpha,1.56448888195564
sub002,open,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,-0.0783143167069591
sub002,open,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,1.56448888195564
sub002,open,visual power,Brodmann area 18,fast,rt,alpha,0.12637467401119
sub002,open,visual power,Brodmann area 18,slow,rt,alpha,-0.415259760734019
sub002,open,visual power,Brodmann area 19,correct,accuracy,alpha,-0.118771425563276
sub002,open,visual power,Brodmann area 19,incorrect,accuracy,alpha,0.471077929307983
sub002,open,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,0.111314337833454
sub002,open,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,0.471077929307983
sub002,open,visual power,Brodmann area 19,fast,rt,alpha,0.0177747130492859
sub002,open,visual power,Brodmann area 19,slow,rt,alpha,-0.111512486166913
sub002,open,somato lateralisation index,max,correct,accuracy,alpha,0.0839562578346075
sub002,open,somato lateralisation index,max,incorrect,accuracy,alpha,0.0838059381263268
sub002,open,somato lateralisation index,max,correct_e,accuracy_e,alpha,-0.0130150778837442
sub002,open,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0838059381263268
sub002,open,somato lateralisation index,max,fast,rt,alpha,0.0858854810872596
sub002,open,somato lateralisation index,max,slow,rt,alpha,0.116264427238661
sub002,open,absolute,Brodmann area 17,correct,accuracy,alpha,1.43818517616355e-06
sub002,open,absolute,Brodmann area 17,incorrect,accuracy,alpha,3.11442765148942e-06
sub002,open,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,1.09754035098343e-06
sub002,open,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,3.11442765148942e-06
sub002,open,absolute,Brodmann area 17,fast,rt,alpha,1.69246958850872e-06
sub002,open,absolute,Brodmann area 17,slow,rt,alpha,1.15489845879517e-06
sub002,open,absolute,Brodmann area 18,correct,accuracy,alpha,1.00476121077046e-06
sub002,open,absolute,Brodmann area 18,incorrect,accuracy,alpha,1.69666472742768e-06
sub002,open,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,1.11612085554359e-06
sub002,open,absolute,Brodmann area 18,incorrect_e,accuracy_e,alpha,1.69666472742768e-06
sub002,open,absolute,Brodmann area 18,fast,rt,alpha,1.03783960282988e-06
sub002,open,absolute,Brodmann area 18,slow,rt,alpha,9.4623024648073e-07
sub002,open,absolute,Brodmann area 19,correct,accuracy,alpha,1.06412439454337e-06
sub002,open,absolute,Brodmann area 19,incorrect,accuracy,alpha,1.52521176774315e-06
sub002,open,absolute,Brodmann area 19,correct_e,accuracy_e,alpha,1.01965518182546e-06
sub002,open,absolute,Brodmann area 19,incorrect_e,accuracy_e,alpha,1.52521176774315e-06
sub002,open,absolute,Brodmann area 19,fast,rt,alpha,1.12119467749441e-06
sub002,open,absolute,Brodmann area 19,slow,rt,alpha,1.03264319477074e-06
sub002,closed,visual power,Brodmann area 17,correct,accuracy,alpha,0.308100694740203
sub002,closed,visual power,Brodmann area 17,incorrect,accuracy,alpha,0.476433845426737
sub002,closed,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,0.365129060513292
sub002,closed,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,0.476433845426737
sub002,closed,visual power,Brodmann area 17,fast,rt,alpha,0.449424249811635
sub002,closed,visual power,Brodmann area 17,slow,rt,alpha,0.26144182626439
sub002,closed,visual power,Brodmann area 18,correct,accuracy,alpha,0.350256376493942
sub002,closed,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.40430488190173
sub002,closed,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,0.45559670969118
sub002,closed,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.40430488190173
sub002,closed,visual power,Brodmann area 18,fast,rt,alpha,0.387585689488136
sub002,closed,visual power,Brodmann area 18,slow,rt,alpha,0.34843986286464
sub002,closed,visual power,Brodmann area 19,correct,accuracy,alpha,0.0639033603427923
sub002,closed,visual power,Brodmann area 19,incorrect,accuracy,alpha,0.224206430076136
sub002,closed,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,0.0676777818719606
sub002,closed,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,0.224206430076136
sub002,closed,visual power,Brodmann area 19,fast,rt,alpha,0.127821302408968
sub002,closed,visual power,Brodmann area 19,slow,rt,alpha,0.0366707355124606
sub002,closed,somato lateralisation index,max,correct,accuracy,alpha,0.0540594221263761
sub002,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.0818108564708682
sub002,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.113036074062477
sub002,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0818108564708682
sub002,closed,somato lateralisation index,max,fast,rt,alpha,0.14098048374687
sub002,closed,somato lateralisation index,max,slow,rt,alpha,0.0145560921148868
sub002,closed,absolute,Brodmann area 17,correct,accuracy,alpha,1.75393496019466e-05
sub002,closed,absolute,Brodmann area 17,incorrect,accuracy,alpha,1.87673335471517e-05
sub002,closed,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,1.79791457185845e-05
sub002,closed,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,1.87673335471517e-05
sub002,closed,absolute,Brodmann area 17,fast,rt,alpha,1.68229600393876e-05
sub002,closed,absolute,Brodmann area 17,slow,rt,alpha,1.85498956071316e-05
sub002,closed,absolute,Brodmann area 18,correct,accuracy,alpha,1.12007842225925e-05
sub002,closed,absolute,Brodmann area 18,incorrect,accuracy,alpha,1.20228408388708e-05
sub002,closed,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,1.17538995008086e-05
sub002,closed,absolute,Brodmann area 18,incorrect_e,accuracy_e,alpha,1.20228408388708e-05
sub002,closed,absolute,Brodmann area 18,fast,rt,alpha,9.71747832132227e-06
sub002,closed,absolute,Brodmann area 18,slow,rt,alpha,1.27481345699103e-05
sub002,closed,absolute,Brodmann area 19,correct,accuracy,alpha,4.81248216675775e-06
sub002,closed,absolute,Brodmann area 19,incorrect,accuracy,alpha,4.58284064341481e-06
sub002,closed,absolute,Brodmann area 19,correct_e,accuracy_e,alpha,4.83112427277433e-06
sub002,closed,absolute,Brodmann area 19,incorrect_e,accuracy_e,alpha,4.58284064341481e-06
sub002,closed,absolute,Brodmann area 19,fast,rt,alpha,4.41673632892956e-06
sub002,closed,absolute,Brodmann area 19,slow,rt,alpha,5.38479991272968e-06
sub003,open,visual power,Brodmann area 17,correct,accuracy,alpha,0.241223419770799
