sub,eye,measure,window,peak,compare,cond,value
sub003,closed,somatovisual balance,500pre,corinne,rt,slow,0.859542636338814
sub004,open,visual power,500pre,corinne,accuracy_e,correct_e,0.360252493585785
sub004,open,visual power,500pre,corinne,accuracy_e,incorrect_e,0.347453299197425
sub004,open,visual power,500pre,corinne,rt,fast,0.379345125046065
sub004,open,visual power,500pre,corinne,rt,slow,0.0486993557196108
sub004,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,-0.100266638649637
sub004,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,-0.0140362780055057
sub004,open,laterilsation index,500pre,corinne,rt,fast,-0.0558402781994909
sub004,open,laterilsation index,500pre,corinne,rt,slow,0.0882126786538542
sub004,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.718044149290762
sub004,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.720405918412455
sub004,open,somatovisual balance,500pre,corinne,rt,fast,0.722062999591869
sub004,open,somatovisual balance,500pre,corinne,rt,slow,0.730067207736817
sub004,closed,visual power,500pre,corinne,accuracy_e,correct_e,0.232726563806492
sub004,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,0.152756510593344
sub004,closed,visual power,500pre,corinne,rt,fast,0.146967552851339
sub004,closed,visual power,500pre,corinne,rt,slow,0.20870813082864
sub004,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,-0.00656734993449225
sub004,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.168166738365828
sub004,closed,laterilsation index,500pre,corinne,rt,fast,-0.0651799414743318
sub004,closed,laterilsation index,500pre,corinne,rt,slow,-0.0537000367688635
sub004,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.803024722449237
sub004,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.805775278471364
sub004,closed,somatovisual balance,500pre,corinne,rt,fast,0.765594391454202
sub004,closed,somatovisual balance,500pre,corinne,rt,slow,0.799589483646978
sub005,open,visual power,500pre,corinne,accuracy_e,correct_e,0.304769521503729
sub005,open,visual power,500pre,corinne,accuracy_e,incorrect_e,0.00457552173696774
sub005,open,visual power,500pre,corinne,rt,fast,0.112056414774109
sub005,open,visual power,500pre,corinne,rt,slow,0.244573481227199
sub005,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.007929354898188
sub005,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.025264599034563
sub005,open,laterilsation index,500pre,corinne,rt,fast,0.0445829587677844
sub005,open,laterilsation index,500pre,corinne,rt,slow,-0.0827047986973464
sub005,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.726902366247668
sub005,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.745450826757279
sub005,open,somatovisual balance,500pre,corinne,rt,fast,0.749835550230646
sub005,open,somatovisual balance,500pre,corinne,rt,slow,0.72435717194991
sub005,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.361056377314925
sub005,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.269737827026726
sub005,closed,visual power,500pre,corinne,rt,fast,-0.312572296341929
sub005,closed,visual power,500pre,corinne,rt,slow,-0.360397649524605
sub005,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,-0.0456041082627323
sub005,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0280481374294117
sub005,closed,laterilsation index,500pre,corinne,rt,fast,0.0213304410578755
sub005,closed,laterilsation index,500pre,corinne,rt,slow,-0.0869262414357526
sub005,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.794559019490782
sub005,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.820038942916007
sub005,closed,somatovisual balance,500pre,corinne,rt,fast,0.811185493492965
sub005,closed,somatovisual balance,500pre,corinne,rt,slow,0.801448814642728
sub006,open,visual power,500pre,corinne,accuracy_e,correct_e,0.512562556736553
sub006,open,visual power,500pre,corinne,accuracy_e,incorrect_e,0.323052597802626
sub006,open,visual power,500pre,corinne,rt,fast,0.407959714310688
sub006,open,visual power,500pre,corinne,rt,slow,0.328857836937465
sub006,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.0489708762277516
sub006,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.167533492334457
sub006,open,laterilsation index,500pre,corinne,rt,fast,0.0894534824012832
sub006,open,laterilsation index,500pre,corinne,rt,slow,0.0973091445674659
sub006,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.734734943185146
sub006,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.767896800478236
sub006,open,somatovisual balance,500pre,corinne,rt,fast,0.720622543498332
sub006,open,somatovisual balance,500pre,corinne,rt,slow,0.771416418353668
sub006,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.0991663102226446
sub006,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,0.221862498557784
sub006,closed,visual power,500pre,corinne,rt,fast,-0.0711658150168137
sub006,closed,visual power,500pre,corinne,rt,slow,0.117689817686139
sub006,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.0856272403727073
sub006,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0763486214343503
sub006,closed,laterilsation index,500pre,corinne,rt,fast,0.206006041158828
sub006,closed,laterilsation index,500pre,corinne,rt,slow,0.0739743110723659
sub006,closed,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.762721946076379
sub006,closed,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.787829483458776
sub006,closed,somatovisual balance,500pre,corinne,rt,fast,0.790919483830675
sub006,closed,somatovisual balance,500pre,corinne,rt,slow,0.749157286186438
sub007,open,visual power,500pre,corinne,accuracy_e,correct_e,-0.450909495226391
sub007,open,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.137687725476041
sub007,open,visual power,500pre,corinne,rt,fast,-0.478334914480559
sub007,open,visual power,500pre,corinne,rt,slow,-0.413593745996383
sub007,open,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.0679242282663916
sub007,open,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.0411180563901699
sub007,open,laterilsation index,500pre,corinne,rt,fast,0.153773154585324
sub007,open,laterilsation index,500pre,corinne,rt,slow,0.151357162532655
sub007,open,somatovisual balance,500pre,corinne,accuracy_e,correct_e,0.368159405532743
sub007,open,somatovisual balance,500pre,corinne,accuracy_e,incorrect_e,0.491014734340011
sub007,open,somatovisual balance,500pre,corinne,rt,fast,0.434808390700325
sub007,open,somatovisual balance,500pre,corinne,rt,slow,0.379756727787645
sub007,closed,visual power,500pre,corinne,accuracy_e,correct_e,-0.506462994811607
sub007,closed,visual power,500pre,corinne,accuracy_e,incorrect_e,-0.522216412778584
sub007,closed,visual power,500pre,corinne,rt,fast,-0.544955751035359
sub007,closed,visual power,500pre,corinne,rt,slow,-0.55263698765236
sub007,closed,laterilsation index,500pre,corinne,accuracy_e,correct_e,0.0136243339160658
sub007,closed,laterilsation index,500pre,corinne,accuracy_e,incorrect_e,0.123703392132616
sub007,closed,laterilsation index,500pre,corinne,rt,fast,0.0884245279795661
sub007,closed,laterilsation index,500pre,corinne,rt,slow,-0.0475388038028927
