sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,-0.0102658626931263
sub001,closed,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.0975550992490453
sub001,closed,somato lateralisation index,max,slow,rt,500pre,source,alpha,-0.124803740538771
sub001,closed,somatovisual balance,max-v1,correct,accuracy,500pre,source,alpha,-0.932975706958472
sub001,closed,somatovisual balance,max-v1,incorrect,accuracy,500pre,source,alpha,-0.930776173074888
sub001,closed,somatovisual balance,max-v1,correct_e,accuracy_e,500pre,source,alpha,-0.934084588555558
sub001,closed,somatovisual balance,max-v1,incorrect_e,accuracy_e,500pre,source,alpha,-0.930776173074888
sub001,closed,somatovisual balance,max-v1,fast,rt,500pre,source,alpha,-0.929825577794275
sub001,closed,somatovisual balance,max-v1,slow,rt,500pre,source,alpha,-0.935439679009482
sub001,closed,somatovisual balance,max-v2,correct,accuracy,500pre,source,alpha,-0.810686922606517
sub001,closed,somatovisual balance,max-v2,incorrect,accuracy,500pre,source,alpha,-0.822912915598532
sub001,closed,somatovisual balance,max-v2,correct_e,accuracy_e,500pre,source,alpha,-0.767819640978242
sub001,closed,somatovisual balance,max-v2,incorrect_e,accuracy_e,500pre,source,alpha,-0.822912915598532
sub001,closed,somatovisual balance,max-v2,fast,rt,500pre,source,alpha,-0.779047253266319
sub001,closed,somatovisual balance,max-v2,slow,rt,500pre,source,alpha,-0.839049772750968
sub001,closed,somatovisual balance,max-v3,correct,accuracy,500pre,source,alpha,-0.328252702307473
sub001,closed,somatovisual balance,max-v3,incorrect,accuracy,500pre,source,alpha,-0.369730725713063
sub001,closed,somatovisual balance,max-v3,correct_e,accuracy_e,500pre,source,alpha,-0.268866097894527
sub001,closed,somatovisual balance,max-v3,incorrect_e,accuracy_e,500pre,source,alpha,-0.369730725713063
sub001,closed,somatovisual balance,max-v3,fast,rt,500pre,source,alpha,-0.275773725733623
sub001,closed,somatovisual balance,max-v3,slow,rt,500pre,source,alpha,-0.3643606760306
sub001,open,visual power,v1,correct,accuracy,500pre,source,beta,0.0742673436619969
sub001,open,visual power,v1,incorrect,accuracy,500pre,source,beta,0.504759877243443
sub001,open,visual power,v1,correct_e,accuracy_e,500pre,source,beta,0.415836704038436
sub001,open,visual power,v1,incorrect_e,accuracy_e,500pre,source,beta,0.504759877243443
sub001,open,visual power,v1,fast,rt,500pre,source,beta,0.317645583980051
sub001,open,visual power,v1,slow,rt,500pre,source,beta,-0.0518190265995584
sub001,open,visual power,v2,correct,accuracy,500pre,source,beta,0.179098642033521
sub001,open,visual power,v2,incorrect,accuracy,500pre,source,beta,0.442455696073491
sub001,open,visual power,v2,correct_e,accuracy_e,500pre,source,beta,0.557304004405197
sub001,open,visual power,v2,incorrect_e,accuracy_e,500pre,source,beta,0.442455696073491
sub001,open,visual power,v2,fast,rt,500pre,source,beta,0.21449018982208
sub001,open,visual power,v2,slow,rt,500pre,source,beta,0.125124013426198
sub001,open,visual power,v3,correct,accuracy,500pre,source,beta,0.230396931823555
sub001,open,visual power,v3,incorrect,accuracy,500pre,source,beta,0.0820140256696946
sub001,open,visual power,v3,correct_e,accuracy_e,500pre,source,beta,0.913287792284639
sub001,open,visual power,v3,incorrect_e,accuracy_e,500pre,source,beta,0.0820140256696946
sub001,open,visual power,v3,fast,rt,500pre,source,beta,0.224836686146283
sub001,open,visual power,v3,slow,rt,500pre,source,beta,0.168459621669383
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,beta,-0.00819796131147639
