sub,mod,hemi,wind,cue,cue_cat,pos,peak
yc4,mot,left,cuetarget,right,inf,contra,8.2
yc4,mot,right,cuetarget,right,inf,ipsi,12.5
yc5,vis,left,precue,unf,unf,unf,10
yc5,vis,right,precue,unf,unf,unf,10
yc5,aud,left,precue,unf,unf,unf,10.1
yc5,aud,right,precue,unf,unf,unf,9.6
yc5,mot,left,precue,unf,unf,unf,11.1
yc5,mot,right,precue,unf,unf,unf,10.9
yc5,vis,left,precue,left,inf,ipsi,10.7
yc5,vis,right,precue,left,inf,contra,10.2
yc5,aud,left,precue,left,inf,ipsi,10
yc5,aud,right,precue,left,inf,contra,10
yc5,mot,left,precue,left,inf,ipsi,11.3
yc5,mot,right,precue,left,inf,contra,11.4
yc5,vis,left,precue,right,inf,contra,11.2
yc5,vis,right,precue,right,inf,ipsi,9.8
yc5,aud,left,precue,right,inf,contra,10.5
yc5,aud,right,precue,right,inf,ipsi,9.4
yc5,mot,left,precue,right,inf,contra,11.1
yc5,mot,right,precue,right,inf,ipsi,11.5
yc5,vis,left,cuetarget,unf,unf,unf,9.9
yc5,vis,right,cuetarget,unf,unf,unf,10.2
yc5,aud,left,cuetarget,unf,unf,unf,10
yc5,aud,right,cuetarget,unf,unf,unf,10
yc5,mot,left,cuetarget,unf,unf,unf,11.5
yc5,mot,right,cuetarget,unf,unf,unf,11.7
yc5,vis,left,cuetarget,left,inf,ipsi,10
yc5,vis,right,cuetarget,left,inf,contra,10.3
yc5,aud,left,cuetarget,left,inf,ipsi,9.7
yc5,aud,right,cuetarget,left,inf,contra,10.1
yc5,mot,left,cuetarget,left,inf,ipsi,11.2
yc5,mot,right,cuetarget,left,inf,contra,11.8
yc5,vis,left,cuetarget,right,inf,contra,10.2
yc5,vis,right,cuetarget,right,inf,ipsi,10.3
yc5,aud,left,cuetarget,right,inf,contra,10.2
yc5,aud,right,cuetarget,right,inf,ipsi,10.2
yc5,mot,left,cuetarget,right,inf,contra,11.3
yc5,mot,right,cuetarget,right,inf,ipsi,11.7
yc6,vis,left,precue,unf,unf,unf,10.8
yc6,vis,right,precue,unf,unf,unf,11
yc6,aud,left,precue,unf,unf,unf,12.4
yc6,aud,right,precue,unf,unf,unf,11.2
yc6,mot,left,precue,unf,unf,unf,11.5
yc6,mot,right,precue,unf,unf,unf,11.7
yc6,vis,left,precue,left,inf,ipsi,10.1
yc6,vis,right,precue,left,inf,contra,12.4
yc6,aud,left,precue,left,inf,ipsi,12.1
yc6,aud,right,precue,left,inf,contra,10.9
yc6,mot,left,precue,left,inf,ipsi,11.6
yc6,mot,right,precue,left,inf,contra,11.1
yc6,vis,left,precue,right,inf,contra,11.2
yc6,vis,right,precue,right,inf,ipsi,11
yc6,aud,left,precue,right,inf,contra,11.5
yc6,aud,right,precue,right,inf,ipsi,11.3
yc6,mot,left,precue,right,inf,contra,11.4
yc6,mot,right,precue,right,inf,ipsi,11.2
yc6,vis,left,cuetarget,unf,unf,unf,11
yc6,vis,right,cuetarget,unf,unf,unf,11.1
yc6,aud,left,cuetarget,unf,unf,unf,11.6
yc6,aud,right,cuetarget,unf,unf,unf,10.5
yc6,mot,left,cuetarget,unf,unf,unf,11.4
yc6,mot,right,cuetarget,unf,unf,unf,11.1
yc6,vis,left,cuetarget,left,inf,ipsi,11.2
yc6,vis,right,cuetarget,left,inf,contra,12.2
yc6,aud,left,cuetarget,left,inf,ipsi,12.1
yc6,aud,right,cuetarget,left,inf,contra,11.3
yc6,mot,left,cuetarget,left,inf,ipsi,11.6
yc6,mot,right,cuetarget,left,inf,contra,11.4
yc6,vis,left,cuetarget,right,inf,contra,11
yc6,vis,right,cuetarget,right,inf,ipsi,11.8
yc6,aud,left,cuetarget,right,inf,contra,11.9
yc6,aud,right,cuetarget,right,inf,ipsi,10.9
yc6,mot,left,cuetarget,right,inf,contra,11.5
yc6,mot,right,cuetarget,right,inf,ipsi,10.9
yc7,vis,left,precue,unf,unf,unf,11.6
yc7,vis,right,precue,unf,unf,unf,12
yc7,aud,left,precue,unf,unf,unf,7
yc7,aud,right,precue,unf,unf,unf,7
yc7,mot,left,precue,unf,unf,unf,12.4
yc7,mot,right,precue,unf,unf,unf,7
yc7,vis,left,precue,left,inf,ipsi,11.4
yc7,vis,right,precue,left,inf,contra,11.2
yc7,aud,left,precue,left,inf,ipsi,7
yc7,aud,right,precue,left,inf,contra,7
yc7,mot,left,precue,left,inf,ipsi,12.4
yc7,mot,right,precue,left,inf,contra,7.7
yc7,vis,left,precue,right,inf,contra,11.6
yc7,vis,right,precue,right,inf,ipsi,11.7
yc7,aud,left,precue,right,inf,contra,7
yc7,aud,right,precue,right,inf,ipsi,7
