sub,mod,hemi,wind,cue,cue_cat,pos,peak
yc16,aud,right,cuetarget,left,inf,contra,10.5
yc16,mot,left,cuetarget,left,inf,ipsi,7
yc16,mot,right,cuetarget,left,inf,contra,10.2
yc16,vis,left,cuetarget,right,inf,contra,10.8
yc16,vis,right,cuetarget,right,inf,ipsi,10.7
yc16,aud,left,cuetarget,right,inf,contra,11.8
yc16,aud,right,cuetarget,right,inf,ipsi,10.9
yc16,mot,left,cuetarget,right,inf,contra,7.4
yc16,mot,right,cuetarget,right,inf,ipsi,10.2
yc17,vis,left,precue,unf,unf,unf,11.2
yc17,vis,right,precue,unf,unf,unf,11.2
yc17,aud,left,precue,unf,unf,unf,13.5
yc17,aud,right,precue,unf,unf,unf,13.7
yc17,mot,left,precue,unf,unf,unf,13
yc17,mot,right,precue,unf,unf,unf,13
yc17,vis,left,precue,left,inf,ipsi,11.3
yc17,vis,right,precue,left,inf,contra,11.1
yc17,aud,left,precue,left,inf,ipsi,11.8
yc17,aud,right,precue,left,inf,contra,12.9
yc17,mot,left,precue,left,inf,ipsi,13
yc17,mot,right,precue,left,inf,contra,13
yc17,vis,left,precue,right,inf,contra,11.4
yc17,vis,right,precue,right,inf,ipsi,10.8
yc17,aud,left,precue,right,inf,contra,12.7
yc17,aud,right,precue,right,inf,ipsi,13.1
yc17,mot,left,precue,right,inf,contra,13
yc17,mot,right,precue,right,inf,ipsi,13
yc17,vis,left,cuetarget,unf,unf,unf,12.7
yc17,vis,right,cuetarget,unf,unf,unf,12.6
yc17,aud,left,cuetarget,unf,unf,unf,13.8
yc17,aud,right,cuetarget,unf,unf,unf,13
yc17,mot,left,cuetarget,unf,unf,unf,12.9
yc17,mot,right,cuetarget,unf,unf,unf,13
yc17,vis,left,cuetarget,left,inf,ipsi,12
yc17,vis,right,cuetarget,left,inf,contra,11.9
yc17,aud,left,cuetarget,left,inf,ipsi,14
yc17,aud,right,cuetarget,left,inf,contra,13
yc17,mot,left,cuetarget,left,inf,ipsi,13.5
yc17,mot,right,cuetarget,left,inf,contra,13
yc17,vis,left,cuetarget,right,inf,contra,12
yc17,vis,right,cuetarget,right,inf,ipsi,12.4
yc17,aud,left,cuetarget,right,inf,contra,13.9
yc17,aud,right,cuetarget,right,inf,ipsi,13.1
yc17,mot,left,cuetarget,right,inf,contra,13.1
yc17,mot,right,cuetarget,right,inf,ipsi,13.1
yc18,vis,left,precue,unf,unf,unf,10.1
yc18,vis,right,precue,unf,unf,unf,10
yc18,aud,left,precue,unf,unf,unf,9
yc18,aud,right,precue,unf,unf,unf,9
yc18,mot,left,precue,unf,unf,unf,8
yc18,mot,right,precue,unf,unf,unf,12.6
yc18,vis,left,precue,left,inf,ipsi,11.3
yc18,vis,right,precue,left,inf,contra,10.5
yc18,aud,left,precue,left,inf,ipsi,9
yc18,aud,right,precue,left,inf,contra,7.9
yc18,mot,left,precue,left,inf,ipsi,7.3
yc18,mot,right,precue,left,inf,contra,8.1
yc18,vis,left,precue,right,inf,contra,9.6
yc18,vis,right,precue,right,inf,ipsi,9.6
yc18,aud,left,precue,right,inf,contra,9.2
yc18,aud,right,precue,right,inf,ipsi,7.9
yc18,mot,left,precue,right,inf,contra,9.3
yc18,mot,right,precue,right,inf,ipsi,9.3
yc18,vis,left,cuetarget,unf,unf,unf,10.6
yc18,vis,right,cuetarget,unf,unf,unf,10.7
yc18,aud,left,cuetarget,unf,unf,unf,9.3
yc18,aud,right,cuetarget,unf,unf,unf,9.4
yc18,mot,left,cuetarget,unf,unf,unf,9.2
yc18,mot,right,cuetarget,unf,unf,unf,12.4
yc18,vis,left,cuetarget,left,inf,ipsi,11.2
yc18,vis,right,cuetarget,left,inf,contra,10.3
yc18,aud,left,cuetarget,left,inf,ipsi,9.3
yc18,aud,right,cuetarget,left,inf,contra,9.2
yc18,mot,left,cuetarget,left,inf,ipsi,8.4
yc18,mot,right,cuetarget,left,inf,contra,12.6
yc18,vis,left,cuetarget,right,inf,contra,10.9
yc18,vis,right,cuetarget,right,inf,ipsi,10.8
yc18,aud,left,cuetarget,right,inf,contra,9.3
yc18,aud,right,cuetarget,right,inf,ipsi,9.4
yc18,mot,left,cuetarget,right,inf,contra,9.2
yc18,mot,right,cuetarget,right,inf,ipsi,12.6
yc19,vis,left,precue,unf,unf,unf,10.5
yc19,vis,right,precue,unf,unf,unf,10.6
yc19,aud,left,precue,unf,unf,unf,10.7
yc19,aud,right,precue,unf,unf,unf,10.7
yc19,mot,left,precue,unf,unf,unf,14.5
yc19,mot,right,precue,unf,unf,unf,14.3
yc19,vis,left,precue,left,inf,ipsi,11
yc19,vis,right,precue,left,inf,contra,11.3
yc19,aud,left,precue,left,inf,ipsi,10.2
yc19,aud,right,precue,left,inf,contra,10.3
yc19,mot,left,precue,left,inf,ipsi,9.3
yc19,mot,right,precue,left,inf,contra,10.9
yc19,vis,left,precue,right,inf,contra,10
yc19,vis,right,precue,right,inf,ipsi,10.2
yc19,aud,left,precue,right,inf,contra,10.6
yc19,aud,right,precue,right,inf,ipsi,9.8
yc19,mot,left,precue,right,inf,contra,9.5
yc19,mot,right,precue,right,inf,ipsi,13.5
yc19,vis,left,cuetarget,unf,unf,unf,11
yc19,vis,right,cuetarget,unf,unf,unf,11
yc19,aud,left,cuetarget,unf,unf,unf,10.6
yc19,aud,right,cuetarget,unf,unf,unf,10.3
yc19,mot,left,cuetarget,unf,unf,unf,11
yc19,mot,right,cuetarget,unf,unf,unf,10.7
yc19,vis,left,cuetarget,left,inf,ipsi,11.3
yc19,vis,right,cuetarget,left,inf,contra,11
yc19,aud,left,cuetarget,left,inf,ipsi,10.6
yc19,aud,right,cuetarget,left,inf,contra,10.3
yc19,mot,left,cuetarget,left,inf,ipsi,10.7
yc19,mot,right,cuetarget,left,inf,contra,10.9
yc19,vis,left,cuetarget,right,inf,contra,13
yc19,vis,right,cuetarget,right,inf,ipsi,11
yc19,aud,left,cuetarget,right,inf,contra,10.4
yc19,aud,right,cuetarget,right,inf,ipsi,10.7
yc19,mot,left,cuetarget,right,inf,contra,11.1
yc19,mot,right,cuetarget,right,inf,ipsi,10.9
yc20,vis,left,precue,unf,unf,unf,9.7
yc20,vis,right,precue,unf,unf,unf,9.4
yc20,aud,left,precue,unf,unf,unf,8.2
yc20,aud,right,precue,unf,unf,unf,7.4
yc20,mot,left,precue,unf,unf,unf,8.1
yc20,mot,right,precue,unf,unf,unf,7.1
yc20,vis,left,precue,left,inf,ipsi,9.7
yc20,vis,right,precue,left,inf,contra,9.6
yc20,aud,left,precue,left,inf,ipsi,8.7
yc20,aud,right,precue,left,inf,contra,8.7
yc20,mot,left,precue,left,inf,ipsi,7.9
yc20,mot,right,precue,left,inf,contra,8.2
yc20,vis,left,precue,right,inf,contra,9.7
yc20,vis,right,precue,right,inf,ipsi,9.9
yc20,aud,left,precue,right,inf,contra,8.7
yc20,aud,right,precue,right,inf,ipsi,7
yc20,mot,left,precue,right,inf,contra,8
yc20,mot,right,precue,right,inf,ipsi,7.4
yc20,vis,left,cuetarget,unf,unf,unf,10.1
yc20,vis,right,cuetarget,unf,unf,unf,10.2
yc20,aud,left,cuetarget,unf,unf,unf,7
yc20,aud,right,cuetarget,unf,unf,unf,7.1
yc20,mot,left,cuetarget,unf,unf,unf,11.5
yc20,mot,right,cuetarget,unf,unf,unf,7
yc20,vis,left,cuetarget,left,inf,ipsi,10.1
yc20,vis,right,cuetarget,left,inf,contra,9.5
yc20,aud,left,cuetarget,left,inf,ipsi,7
yc20,aud,right,cuetarget,left,inf,contra,7
yc20,mot,left,cuetarget,left,inf,ipsi,11.6
yc20,mot,right,cuetarget,left,inf,contra,7.1
yc20,vis,left,cuetarget,right,inf,contra,9.6
yc20,vis,right,cuetarget,right,inf,ipsi,10
yc20,aud,left,cuetarget,right,inf,contra,7
yc20,aud,right,cuetarget,right,inf,ipsi,7
yc20,mot,left,cuetarget,right,inf,contra,12.1
yc20,mot,right,cuetarget,right,inf,ipsi,11.6
yc21,vis,left,precue,unf,unf,unf,9.8
yc21,vis,right,precue,unf,unf,unf,10
yc21,aud,left,precue,unf,unf,unf,7.9
yc21,aud,right,precue,unf,unf,unf,9.3
yc21,mot,left,precue,unf,unf,unf,10.3
yc21,mot,right,precue,unf,unf,unf,8
yc21,vis,left,precue,left,inf,ipsi,9.7
yc21,vis,right,precue,left,inf,contra,10
yc21,aud,left,precue,left,inf,ipsi,8.1
yc21,aud,right,precue,left,inf,contra,9.7
yc21,mot,left,precue,left,inf,ipsi,10.3
yc21,mot,right,precue,left,inf,contra,7.9
yc21,vis,left,precue,right,inf,contra,9.9
yc21,vis,right,precue,right,inf,ipsi,10
yc21,aud,left,precue,right,inf,contra,8
yc21,aud,right,precue,right,inf,ipsi,9.7
yc21,mot,left,precue,right,inf,contra,10.2
yc21,mot,right,precue,right,inf,ipsi,7.2
yc21,vis,left,cuetarget,unf,unf,unf,10
yc21,vis,right,cuetarget,unf,unf,unf,10.1
yc21,aud,left,cuetarget,unf,unf,unf,8.7
yc21,aud,right,cuetarget,unf,unf,unf,8.2
yc21,mot,left,cuetarget,unf,unf,unf,10.5
yc21,mot,right,cuetarget,unf,unf,unf,10.1
yc21,vis,left,cuetarget,left,inf,ipsi,9.9
yc21,vis,right,cuetarget,left,inf,contra,10
yc21,aud,left,cuetarget,left,inf,ipsi,8.8
yc21,aud,right,cuetarget,left,inf,contra,9.2
yc21,mot,left,cuetarget,left,inf,ipsi,10.7
yc21,mot,right,cuetarget,left,inf,contra,10.6
yc21,vis,left,cuetarget,right,inf,contra,10
yc21,vis,right,cuetarget,right,inf,ipsi,10
yc21,aud,left,cuetarget,right,inf,contra,9
yc21,aud,right,cuetarget,right,inf,ipsi,10
yc21,mot,left,cuetarget,right,inf,contra,10.6
yc21,mot,right,cuetarget,right,inf,ipsi,10.3
