sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,closed,visual power,vtpm V3,fast,rt,500pre,source,alpha,-0.258032156918167
sub001,closed,visual power,vtpm V3,slow,rt,500pre,source,alpha,-0.381672336491498
sub001,closed,somato lateralisation index,max,correct,accuracy,500pre,source,alpha,0.129409276679266
sub001,closed,somato lateralisation index,max,incorrect,accuracy,500pre,source,alpha,0.0153826292250494
sub001,closed,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,alpha,-0.0684637007521535
sub001,closed,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,alpha,0.0153826292250494
sub001,closed,somato lateralisation index,max,fast,rt,500pre,source,alpha,0.0958962279574279
sub001,closed,somato lateralisation index,max,slow,rt,500pre,source,alpha,0.117021821051425
sub001,closed,somatovisual balance,max-vtpm V1,correct,accuracy,500pre,source,alpha,-0.260084504594651
sub001,closed,somatovisual balance,max-vtpm V1,incorrect,accuracy,500pre,source,alpha,-0.236790464095964
sub001,closed,somatovisual balance,max-vtpm V1,correct_e,accuracy_e,500pre,source,alpha,-0.256417681876021
sub001,closed,somatovisual balance,max-vtpm V1,incorrect_e,accuracy_e,500pre,source,alpha,-0.236790464095964
sub001,closed,somatovisual balance,max-vtpm V1,fast,rt,500pre,source,alpha,-0.247661113867347
sub001,closed,somatovisual balance,max-vtpm V1,slow,rt,500pre,source,alpha,-0.305796740591652
sub001,closed,somatovisual balance,max-vtpm V2,correct,accuracy,500pre,source,alpha,-0.200241207730704
sub001,closed,somatovisual balance,max-vtpm V2,incorrect,accuracy,500pre,source,alpha,-0.19886813143906
sub001,closed,somatovisual balance,max-vtpm V2,correct_e,accuracy_e,500pre,source,alpha,-0.255055936749129
sub001,closed,somatovisual balance,max-vtpm V2,incorrect_e,accuracy_e,500pre,source,alpha,-0.19886813143906
sub001,closed,somatovisual balance,max-vtpm V2,fast,rt,500pre,source,alpha,-0.247885035251444
sub001,closed,somatovisual balance,max-vtpm V2,slow,rt,500pre,source,alpha,-0.177158558160203
sub001,closed,somatovisual balance,max-vtpm V3,correct,accuracy,500pre,source,alpha,0.171158090068938
sub001,closed,somatovisual balance,max-vtpm V3,incorrect,accuracy,500pre,source,alpha,0.182394717045494
