sub,eyes,big,small,val
sub001,open,accuracy,corr,0.248287660982438
sub001,open,accuracy,incorr,-0.280906661084198
sub001,open,accuracy_e,corr_e,0.4954787674298
sub001,open,accuracy_e,incorr_e,-0.280906661084198
sub001,open,rt,fast,0.28737138530349
sub001,open,rt,slow,0.21778507853029
sub001,closed,accuracy,corr,-0.180001645236427
sub001,closed,accuracy,incorr,0.0178026050610822
sub001,closed,accuracy_e,corr_e,0.0255030013829963
sub001,closed,accuracy_e,incorr_e,0.0178026050610822
sub001,closed,rt,fast,-0.22100918833874
sub001,closed,rt,slow,-0.140509169524881
sub002,open,accuracy,corr,-0.203928145505904
sub002,open,accuracy,incorr,0.0410000280635094
sub002,open,accuracy_e,corr_e,-0.183371547684743
sub002,open,accuracy_e,incorr_e,0.0410000280635094
sub002,open,rt,fast,-0.211986268587591
sub002,open,rt,slow,-0.179975960520495
sub002,closed,accuracy,corr,0.1378871973925
sub002,closed,accuracy,incorr,0.377410049693836
sub002,closed,accuracy_e,corr_e,0.0178411683985848
sub002,closed,accuracy_e,incorr_e,0.377410049693836
sub002,closed,rt,fast,0.161477454414259
sub002,closed,rt,slow,0.125310089721827
sub003,open,accuracy,corr,0.215453784372049
sub003,open,accuracy,incorr,0.23483195381074
sub003,open,accuracy_e,corr_e,0.241953707471207
sub003,open,accuracy_e,incorr_e,0.23483195381074
sub003,open,rt,fast,0.308842343665185
sub003,open,rt,slow,0.123654691638763
sub003,closed,accuracy,corr,0.143812334081263
sub003,closed,accuracy,incorr,-0.0169615065915495
sub003,closed,accuracy_e,corr_e,0.598915195145869
sub003,closed,accuracy_e,incorr_e,-0.0169615065915495
sub003,closed,rt,fast,0.030499038792691
sub003,closed,rt,slow,0.280672014224329
sub004,open,accuracy,corr,0.113018868992312
sub004,open,accuracy,incorr,0.173932239342803
sub004,open,accuracy_e,corr_e,0.0168630621290258
sub004,open,accuracy_e,incorr_e,0.173932239342803
sub004,open,rt,fast,0.213958294595029
sub004,open,rt,slow,0.00847788286656224
sub004,closed,accuracy,corr,0.223981135567434
