sub,eyes,compare,behavior,abs_vis,rel_vis,lat_som
sub001,open,accuracy,correct,5.61649000343698,0.27260068669242,0.106256799200154
sub001,open,accuracy,incorrect,4.79568010501965,-0.113623047671684,0.138328610200636
sub001,open,accuracy_e,correct_e,6.55173747746411,0.207296233220173,0.132841659998885
sub001,open,accuracy_e,incorrect_e,4.79568010501965,-0.113623047671684,0.138328610200636
sub001,open,rt,fast,5.33729975729376,0.22610738493126,0.0680296228249727
sub001,open,rt,slow,5.86801958327002,0.368022367271889,0.153610492026947
sub001,closed,accuracy,correct,5.94158057203733,-0.0685022831112094,0.101134772247165
sub001,closed,accuracy,incorrect,6.72482698230727,0.163523248054286,-0.0282613558385953
sub001,closed,accuracy_e,correct_e,6.21059933422891,0.20693626782371,0.269952317046011
sub001,closed,accuracy_e,incorrect_e,6.72482698230727,0.163523248054286,-0.0282613558385953
sub001,closed,rt,fast,5.95370109997025,-0.0291976330176056,0.0590830980780994
sub001,closed,rt,slow,5.85480004859664,-0.126284323032127,0.137757589190563
sub002,open,accuracy,correct,2.73415403164369,-0.157911755603157,0.053764629824244
sub002,open,accuracy,incorrect,2.34445428652548,-0.187599364981859,0.0676537703389793
sub002,open,accuracy_e,correct_e,3.06437910119501,-0.310206049887188,0.108575594236686
sub002,open,accuracy_e,incorrect_e,2.34445428652548,-0.187599364981859,0.0676537703389793
sub002,open,rt,fast,2.83333160908822,-0.103158465753684,0.0568801912643923
sub002,open,rt,slow,2.64729573310493,-0.193763762007831,0.0474653932785584
sub002,closed,accuracy,correct,4.75060031927165,0.357610709183441,0.060248707082437
sub002,closed,accuracy,incorrect,4.64313356899726,0.345422876254141,0.0682819582271189
sub002,closed,accuracy_e,correct_e,4.87769845190415,0.388403085558356,0.0434226444199712
sub002,closed,accuracy_e,incorrect_e,4.64313356899726,0.345422876254141,0.0682819582271189
sub002,closed,rt,fast,4.54746329116513,0.488038251941778,0.06142881649074
sub002,closed,rt,slow,4.92977963189525,0.297416792764166,0.0611388302015024
sub003,open,accuracy,correct,3.13456245169409,0.123573830487327,0.0612023708780875
sub003,open,accuracy,incorrect,2.91647268416179,0.229700119991861,0.0563145420411141
sub003,open,accuracy_e,correct_e,3.02032433607287,-0.0236091814643656,0.047004466559803
sub003,open,accuracy_e,incorrect_e,2.91647268416179,0.229700119991861,0.0563145420411141
sub003,open,rt,fast,3.03813584304418,0.174367833162121,0.0213996127682881
sub003,open,rt,slow,3.2537104444414,0.12587497863582,0.107292084877135
sub003,closed,accuracy,correct,4.39772717101657,-0.0117531208151505,0.034096162737342
sub003,closed,accuracy,incorrect,4.60297789469404,-0.0235910087497958,0.104190442340341
sub003,closed,accuracy_e,correct_e,4.45377478635639,-0.0527874457595468,0.0161825905167543
sub003,closed,accuracy_e,incorrect_e,4.60297789469404,-0.0235910087497958,0.104190442340341
sub003,closed,rt,fast,4.72907585504988,0.0146491600755841,0.0318493049080827
sub003,closed,rt,slow,4.06472447623658,-0.0237580352351418,0.0384359255902667
sub004,open,accuracy,correct,3.16347277783006,0.172910748617226,0.213480861959804
sub004,open,accuracy,incorrect,2.96326052582813,0.545189512137456,-0.176683408758774
sub004,open,accuracy_e,correct_e,2.88076449335774,-0.200088264814899,0.14366842958099
sub004,open,accuracy_e,incorrect_e,2.96326052582813,0.545189512137456,-0.176683408758774
sub004,open,rt,fast,3.23033694145039,0.200467394781755,0.365255056844793
sub004,open,rt,slow,3.09483205560585,0.141198458960341,0.0399897267079748
sub004,closed,accuracy,correct,4.74714174228909,0.392918946008187,0.132829206534309
sub004,closed,accuracy,incorrect,4.68458254373907,0.103876773741156,0.329439532517231
sub004,closed,accuracy_e,correct_e,4.92569306743321,0.4817946997076,0.131629659899528
sub004,closed,accuracy_e,incorrect_e,4.68458254373907,0.103876773741156,0.329439532517231
sub004,closed,rt,fast,4.59638006386422,0.371592374640689,0.0686428574608928
sub004,closed,rt,slow,4.87012009084298,0.402784812694061,0.179597414005977
sub005,open,accuracy,correct,3.27503845637314,0.330389432627736,0.0666978400025591
sub005,open,accuracy,incorrect,2.87745129158191,0.156955302053292,-0.0635901796468118
sub005,open,accuracy_e,correct_e,3.25021782828747,0.413168254849183,0.126867114202782
sub005,open,accuracy_e,incorrect_e,2.87745129158191,0.156955302053292,-0.0635901796468118
sub005,open,rt,fast,3.30726764543983,0.252761704294707,0.0772078079495663
sub005,open,rt,slow,3.23963798521845,0.429801455591979,0.0587075140544099
sub005,closed,accuracy,correct,5.37580323059607,-0.345639997933319,0.00266811187388657
sub005,closed,accuracy,incorrect,5.49713380723269,-0.376845773826822,0.0696635954646244
sub005,closed,accuracy_e,correct_e,5.45008490207148,-0.286404606595008,0.0327401140274305
sub005,closed,accuracy_e,incorrect_e,5.49713380723269,-0.376845773826822,0.0696635954646244
sub005,closed,rt,fast,5.61486729292352,-0.263465240062905,0.0493367059772533
sub005,closed,rt,slow,5.09636160592753,-0.441708440212838,-0.0481137622221963
sub006,open,accuracy,correct,3.11794434682786,0.484594398666592,0.13326090012835
sub006,open,accuracy,incorrect,3.14048390088852,0.429103615047034,0.288315772626651
sub006,open,accuracy_e,correct_e,2.90102119174958,0.428373023294202,0.137612298871988
sub006,open,accuracy_e,incorrect_e,3.14048390088852,0.429103615047034,0.288315772626651
sub006,open,rt,fast,3.14265213343853,0.384255889917972,0.100985595639602
sub006,open,rt,slow,3.10143867746923,0.589002433072939,0.215436999910094
sub006,closed,accuracy,correct,4.68690905743688,0.0362302855599357,0.229839860819824
