sub,eyes,cond,pow
sub001,open,incorrect,-0.0635879194522309
sub001,open,correct,0.204900377099348
sub001,closed,incorrect,-0.0766974744992693
sub001,closed,correct,-0.0463200444192482
sub002,open,incorrect,0.00509125976447146
sub002,open,correct,-0.0764105493571948
sub002,closed,incorrect,0.0923861584544888
sub002,closed,correct,0.0315105444061822
sub003,open,incorrect,0.171715496727233
sub003,open,correct,0.155360324452584
sub003,closed,incorrect,-0.0252820290693384
sub003,closed,correct,0.00278003491534288
sub004,open,incorrect,0.132350895926955
sub004,open,correct,0.125907640635273
sub004,closed,incorrect,0.241316666204236
sub004,closed,correct,0.273990602535832
sub005,open,incorrect,0.232209717930799
sub005,open,correct,0.256611776641577
sub005,closed,incorrect,-0.30371139619782
sub005,closed,correct,-0.248246234508151
sub006,open,incorrect,0.534108877375484
sub006,open,correct,0.440541726239399
sub006,closed,incorrect,0.0366723402697933
sub006,closed,correct,0.0759021316228422
sub007,open,incorrect,-0.428106326454495
sub007,open,correct,-0.396086982300634
sub007,closed,incorrect,-0.544350180443239
sub007,closed,correct,-0.443798553541847
sub008,open,incorrect,-0.050815989210039
sub008,open,correct,0.181148998622652
sub008,closed,incorrect,-0.46690759240818
sub008,closed,correct,-0.225466440511147
sub009,open,incorrect,-0.11014453937714
sub009,open,correct,0.00128695149496779
sub009,closed,incorrect,-0.260734673545903
sub009,closed,correct,-0.230153733137924
sub010,open,incorrect,0.367435113874233
sub010,open,correct,0.453381184177248
sub010,closed,incorrect,-0.266891354398809
sub010,closed,correct,-0.175208444460413
sub011,open,incorrect,0.854021561690557
sub011,open,correct,1.11042245931573
sub011,closed,incorrect,-0.309158501627731
sub011,closed,correct,-0.295023243212285
sub012,open,incorrect,0.141395816483375
sub012,open,correct,0.31982806881531
sub012,closed,incorrect,-0.18749042193005
sub012,closed,correct,-0.154953583155571
sub017,open,incorrect,0.716527524900239
sub017,open,correct,0.70266730897733
sub017,closed,incorrect,-0.28917741567676
sub017,closed,correct,-0.242004545223155
sub018,open,incorrect,-0.10195962097606
sub018,open,correct,-0.0293260965951828
sub018,closed,incorrect,0.0122844511269682
sub018,closed,correct,-0.0157804912854469
sub020,open,incorrect,0.0919501745084598
sub020,open,correct,0.0794393401249858
sub020,closed,incorrect,-0.276624382240717
sub020,closed,correct,-0.148898057252528
sub021,open,incorrect,0.412668708398467
sub021,open,correct,0.522145768316096
sub021,closed,incorrect,-0.0391175750384095
sub021,closed,correct,0.00869267143395586
sub022,open,incorrect,0.525824344935789
sub022,open,correct,0.58777426312443
sub022,closed,incorrect,-0.0694482476467936
sub022,closed,correct,-0.0190240450448788
sub023,open,incorrect,0.00783197036531328
sub023,open,correct,0.165827884705317
sub023,closed,incorrect,-0.0550722885925856
sub023,closed,correct,-0.119060754210412
sub024,open,incorrect,0.48052312461237
sub024,open,correct,0.993570314207805
sub024,closed,incorrect,0.081475060352589
sub024,closed,correct,-0.0908719176675867
sub025,open,incorrect,0.545687152959762
sub025,open,correct,0.670774814386542
sub025,closed,incorrect,0.110766305113352
sub025,closed,correct,0.0810915684109666
sub026,open,incorrect,0.192451619830629
sub026,open,correct,0.102126351600362
sub026,closed,incorrect,-0.148760468478075
sub026,closed,correct,0.022452440226358
sub027,open,incorrect,0.402141559725525
sub027,open,correct,0.386189476236612
sub027,closed,incorrect,-0.111407964476625
sub027,closed,correct,-0.0385849578849138
sub028,open,incorrect,0.00724797328002277
sub028,open,correct,-0.0801941243225641
sub028,closed,incorrect,0.0692383618108675
sub028,closed,correct,-0.028035855427525
sub029,open,incorrect,0.0822109276780892
sub029,open,correct,0.0105934716737614
sub029,closed,incorrect,-0.19417516792667
sub029,closed,correct,-0.180997974462966
sub030,open,incorrect,0.0822363301117464
sub030,open,correct,0.0796765206456864
sub030,closed,incorrect,-0.137201769728604
sub030,closed,correct,-0.120776206200758
sub031,open,incorrect,0.303117948057289
sub031,open,correct,0.539361309521253
sub031,closed,incorrect,-0.0469768859763755
sub031,closed,correct,-0.126038184701407
sub032,open,incorrect,0.410353116059844
sub032,open,correct,0.447222048295521
sub032,closed,incorrect,-0.187781168294536
sub032,closed,correct,-0.128596512587208
sub033,open,incorrect,1.03598500806355
sub033,open,correct,0.428487475422675
sub033,closed,incorrect,0.0688056974560865
sub033,closed,correct,0.10127419734001
sub034,open,incorrect,0.349731322724842
sub034,open,correct,0.300527340041279
sub034,closed,incorrect,0.0519554714250114
sub034,closed,correct,-0.0181589181633986
sub035,open,incorrect,-0.0175919481993434
sub035,open,correct,0.0111667627192575
sub035,closed,incorrect,-0.0105979910379537
sub035,closed,correct,-0.0569493146852577
sub036,open,incorrect,0.179568225647656
sub036,open,correct,0.275520028026284
sub036,closed,incorrect,0.0640354429281475
sub036,closed,correct,0.0854446465194402
sub037,open,incorrect,0.0287472036646756
sub037,open,correct,0.214691073691752
sub037,closed,incorrect,-0.388635884940969
sub037,closed,correct,-0.0747881506484679
sub039,open,incorrect,-0.132373989342614
sub039,open,correct,0.0936797552190918
sub039,closed,incorrect,-0.259970155421412
sub039,closed,correct,-0.0204550759390967
