suj,win,cue,bin,rt,corr
sub001,preCue1,pre,b1,0.836397171020508,0.714285714285714
sub001,preCue1,pre,b2,1.22013401985168,0.657142857142857
sub001,preCue1,pre,b3,1.43414402008057,0.771428571428571
sub001,preCue1,pre,b4,0.839121103286743,0.771428571428571
sub001,preCue1,pre,b5,1.20726799964905,0.771428571428571
sub001,preCue1,pre,b6,0.956548929214478,0.857142857142857
sub001,preCue1,pre,b7,1.06925797462463,0.714285714285714
sub001,preCue1,retro,b1,1.07840597629547,0.735294117647059
sub001,preCue1,retro,b2,0.935584425926208,0.764705882352941
sub001,preCue1,retro,b3,1.22950994968414,0.735294117647059
sub001,preCue1,retro,b4,0.872674942016602,0.764705882352941
sub001,preCue1,retro,b5,1.22945058345795,0.676470588235294
sub001,preCue1,retro,b6,1.30378258228302,0.705882352941177
sub001,preCue1,retro,b7,1.124351978302,0.676470588235294
sub001,preTarget,pre,b1,0.879300117492676,0.771428571428571
sub001,preTarget,pre,b2,0.876383066177368,0.8
sub001,preTarget,pre,b3,1.0351619720459,0.657142857142857
sub001,preTarget,pre,b4,0.869807004928589,0.714285714285714
sub001,preTarget,pre,b5,0.976793050765991,0.771428571428571
sub001,preTarget,pre,b6,0.99037504196167,0.771428571428571
sub001,preTarget,pre,b7,1.0818338394165,0.714285714285714
sub001,preTarget,retro,b1,0.992683529853821,0.676470588235294
sub001,preTarget,retro,b2,0.900366425514221,0.794117647058823
sub001,preTarget,retro,b3,0.957319974899292,0.852941176470588
sub001,preTarget,retro,b4,1.36712348461151,0.735294117647059
sub001,preTarget,retro,b5,1.25995898246765,0.705882352941177
sub001,preTarget,retro,b6,1.26339852809906,0.705882352941177
sub001,preTarget,retro,b7,1.02199244499207,0.588235294117647
sub001,preCue2,pre,b1,0.935983896255493,0.657142857142857
sub001,preCue2,pre,b2,0.95638108253479,0.742857142857143
sub001,preCue2,pre,b3,0.942304849624634,0.742857142857143
sub001,preCue2,pre,b4,1.10347294807434,0.771428571428571
sub001,preCue2,pre,b5,0.878298997879028,0.857142857142857
sub001,preCue2,pre,b6,0.933657884597778,0.914285714285714
sub001,preCue2,pre,b7,1.44403505325317,0.6
sub001,preCue2,retro,b1,0.928908944129944,0.823529411764706
sub001,preCue2,retro,b2,1.14490354061127,0.705882352941177
sub001,preCue2,retro,b3,1.22666001319885,0.735294117647059
sub001,preCue2,retro,b4,1.08686244487762,0.764705882352941
sub001,preCue2,retro,b5,1.29786098003387,0.676470588235294
sub001,preCue2,retro,b6,0.888753056526184,0.647058823529412
sub001,preCue2,retro,b7,1.06131505966187,0.705882352941177
sub001,preProbe,pre,b1,0.855584144592285,0.857142857142857
sub001,preProbe,pre,b2,1.08402395248413,0.685714285714286
sub001,preProbe,pre,b3,0.897984027862549,0.857142857142857
sub001,preProbe,pre,b4,1.20726799964905,0.742857142857143
sub001,preProbe,pre,b5,1.30653810501099,0.685714285714286
sub001,preProbe,pre,b6,0.976793050765991,0.657142857142857
sub001,preProbe,pre,b7,0.877931118011475,0.742857142857143
sub001,preProbe,retro,b1,0.886407971382141,0.794117647058823
sub001,preProbe,retro,b2,0.99137806892395,0.823529411764706
sub001,preProbe,retro,b3,0.766206502914429,0.823529411764706
sub001,preProbe,retro,b4,1.03945755958557,0.764705882352941
sub001,preProbe,retro,b5,1.64349508285522,0.676470588235294
sub001,preProbe,retro,b6,1.03040659427643,0.647058823529412
sub001,preProbe,retro,b7,1.36972904205322,0.529411764705882
sub003,preCue1,pre,b1,1.33664917945862,0.714285714285714
sub003,preCue1,pre,b2,1.82426810264587,0.80952380952381
sub003,preCue1,pre,b3,1.06537795066833,0.904761904761905
sub003,preCue1,pre,b4,1.96502113342285,0.80952380952381
sub003,preCue1,pre,b5,2.04084014892578,0.857142857142857
sub003,preCue1,pre,b6,1.4164400100708,0.666666666666667
sub003,preCue1,pre,b7,1.31706094741821,0.761904761904762
sub003,preCue1,retro,b1,1.10600614547729,0.952380952380952
sub003,preCue1,retro,b2,1.2342369556427,0.714285714285714
sub003,preCue1,retro,b3,1.79599213600159,0.714285714285714
sub003,preCue1,retro,b4,1.19619798660278,0.80952380952381
sub003,preCue1,retro,b5,1.28473711013794,0.714285714285714
sub003,preCue1,retro,b6,1.20363807678223,0.952380952380952
sub003,preCue1,retro,b7,2.28149795532227,0.666666666666667
sub003,preTarget,pre,b1,1.92268705368042,0.714285714285714
sub003,preTarget,pre,b2,1.31706094741821,1
sub003,preTarget,pre,b3,1.51564788818359,0.666666666666667
sub003,preTarget,pre,b4,1.29324197769165,0.619047619047619
sub003,preTarget,pre,b5,1.42496514320374,0.857142857142857
sub003,preTarget,pre,b6,1.06204700469971,0.80952380952381
sub003,preTarget,pre,b7,2.16935276985168,0.857142857142857
sub003,preTarget,retro,b1,0.88029408454895,0.952380952380952
sub003,preTarget,retro,b2,1.55736422538757,0.714285714285714
sub003,preTarget,retro,b3,1.28473711013794,0.80952380952381
sub003,preTarget,retro,b4,1.19619798660278,0.904761904761905
sub003,preTarget,retro,b5,1.84513211250305,0.714285714285714
sub003,preTarget,retro,b6,1.11644983291626,0.761904761904762
sub003,preTarget,retro,b7,2.07688403129578,0.666666666666667
sub003,preCue2,pre,b1,1.22524285316467,0.80952380952381
sub003,preCue2,pre,b2,1.51564788818359,0.80952380952381
sub003,preCue2,pre,b3,1.31706094741821,0.857142857142857
sub003,preCue2,pre,b4,1.78845381736755,0.666666666666667
sub003,preCue2,pre,b5,1.42496514320374,0.80952380952381
sub003,preCue2,pre,b6,1.25323414802551,0.761904761904762
sub003,preCue2,pre,b7,1.96502113342285,0.80952380952381
sub003,preCue2,retro,b1,1.8589870929718,0.761904761904762
sub003,preCue2,retro,b2,1.20363807678223,0.904761904761905
sub003,preCue2,retro,b3,1.08098912239075,0.523809523809524
sub003,preCue2,retro,b4,0.994426965713501,0.904761904761905
sub003,preCue2,retro,b5,1.09665608406067,0.761904761904762
sub003,preCue2,retro,b6,1.64765596389771,0.80952380952381
sub003,preCue2,retro,b7,1.91749215126038,0.80952380952381
sub003,preProbe,pre,b1,1.1655900478363,0.80952380952381
sub003,preProbe,pre,b2,1.33664917945862,0.714285714285714
sub003,preProbe,pre,b3,1.34614586830139,0.80952380952381
sub003,preProbe,pre,b4,1.39388489723206,0.714285714285714
sub003,preProbe,pre,b5,1.32537388801575,0.904761904761905
sub003,preProbe,pre,b6,2.18433403968811,0.80952380952381
sub003,preProbe,pre,b7,1.98269701004028,0.80952380952381
sub003,preProbe,retro,b1,0.88029408454895,0.80952380952381
sub003,preProbe,retro,b2,1.19619798660278,0.904761904761905
sub003,preProbe,retro,b3,1.39497804641724,0.80952380952381
sub003,preProbe,retro,b4,1.16268801689148,0.714285714285714
sub003,preProbe,retro,b5,1.55736422538757,0.80952380952381
sub003,preProbe,retro,b6,1.80810499191284,0.666666666666667
sub003,preProbe,retro,b7,2.16004681587219,0.761904761904762
sub004,preCue1,pre,b1,0.84232497215271,0.741935483870968
sub004,preCue1,pre,b2,0.943054914474487,0.709677419354839
sub004,preCue1,pre,b3,0.770311117172241,0.774193548387097
sub004,preCue1,pre,b4,0.89979887008667,0.709677419354839
sub004,preCue1,pre,b5,0.720632076263428,0.645161290322581
sub004,preCue1,pre,b6,0.810755968093872,0.870967741935484
sub004,preCue1,pre,b7,0.759158849716187,0.67741935483871
sub004,preCue1,retro,b1,0.981663942337036,0.741935483870968
sub004,preCue1,retro,b2,0.691175937652588,0.870967741935484
sub004,preCue1,retro,b3,0.903607845306396,0.741935483870968
sub004,preCue1,retro,b4,0.798542022705078,0.709677419354839
sub004,preCue1,retro,b5,0.698341846466064,0.838709677419355
sub004,preCue1,retro,b6,0.588763952255249,0.838709677419355
sub004,preCue1,retro,b7,0.670141220092773,0.774193548387097
sub004,preTarget,pre,b1,0.800482034683228,0.838709677419355
sub004,preTarget,pre,b2,0.749725103378296,0.645161290322581
sub004,preTarget,pre,b3,0.929933071136475,0.645161290322581
sub004,preTarget,pre,b4,0.91936993598938,0.709677419354839
sub004,preTarget,pre,b5,0.76900577545166,0.806451612903226
sub004,preTarget,pre,b6,0.759158849716187,0.806451612903226
sub004,preTarget,pre,b7,0.818330049514771,0.67741935483871
sub004,preTarget,retro,b1,0.903607845306396,0.67741935483871
sub004,preTarget,retro,b2,0.790172100067139,0.774193548387097
sub004,preTarget,retro,b3,0.702215909957886,0.806451612903226
sub004,preTarget,retro,b4,0.830533981323242,0.67741935483871
sub004,preTarget,retro,b5,0.648811101913452,0.838709677419355
sub004,preTarget,retro,b6,0.749768972396851,0.903225806451613
sub004,preTarget,retro,b7,0.688971996307373,0.838709677419355
sub004,preCue2,pre,b1,0.778959035873413,0.774193548387097
sub004,preCue2,pre,b2,0.940330982208252,0.806451612903226
sub004,preCue2,pre,b3,0.711771965026855,0.67741935483871
sub004,preCue2,pre,b4,0.890636205673218,0.645161290322581
sub004,preCue2,pre,b5,0.89979887008667,0.806451612903226
sub004,preCue2,pre,b6,0.741441965103149,0.67741935483871
sub004,preCue2,pre,b7,0.62204909324646,0.709677419354839
sub004,preCue2,retro,b1,0.758085966110229,0.741935483870968
sub004,preCue2,retro,b2,0.619884014129639,0.806451612903226
sub004,preCue2,retro,b3,0.771790981292725,0.774193548387097
sub004,preCue2,retro,b4,0.610373973846436,0.838709677419355
sub004,preCue2,retro,b5,0.848572969436646,0.645161290322581
sub004,preCue2,retro,b6,0.740080118179321,0.870967741935484
sub004,preCue2,retro,b7,0.770984888076782,0.838709677419355
sub004,preProbe,pre,b1,0.911220073699951,0.806451612903226
sub004,preProbe,pre,b2,0.870613813400269,0.67741935483871
sub004,preProbe,pre,b3,0.840567111968994,0.67741935483871
sub004,preProbe,pre,b4,0.711771965026855,0.741935483870968
sub004,preProbe,pre,b5,0.879514932632446,0.67741935483871
sub004,preProbe,pre,b6,0.724520921707153,0.838709677419355
sub004,preProbe,pre,b7,0.889141798019409,0.645161290322581
sub004,preProbe,retro,b1,0.758533954620361,0.741935483870968
sub004,preProbe,retro,b2,0.733311891555786,0.774193548387097
sub004,preProbe,retro,b3,0.610373973846436,0.741935483870968
sub004,preProbe,retro,b4,0.700567007064819,0.935483870967742
sub004,preProbe,retro,b5,0.702215909957886,0.774193548387097
sub004,preProbe,retro,b6,0.740080118179321,0.741935483870968
sub004,preProbe,retro,b7,0.771790981292725,0.806451612903226
sub006,preCue1,pre,b1,0.79911196231842,0.875
sub006,preCue1,pre,b2,0.774736881256104,0.833333333333333
sub006,preCue1,pre,b3,0.835337042808533,0.833333333333333
sub006,preCue1,pre,b4,0.879609942436218,0.791666666666667
sub006,preCue1,pre,b5,1.2475825548172,0.916666666666667
sub006,preCue1,pre,b6,1.2461314201355,0.875
sub006,preCue1,pre,b7,1.02987349033356,0.875
sub006,preCue1,retro,b1,0.797868013381958,0.92
sub006,preCue1,retro,b2,0.920035839080811,0.88
sub006,preCue1,retro,b3,0.899402856826782,0.88
sub006,preCue1,retro,b4,0.860263109207153,0.84
sub006,preCue1,retro,b5,0.942159175872803,0.84
sub006,preCue1,retro,b6,0.990400075912476,0.88
sub006,preCue1,retro,b7,0.907729148864746,0.8
sub006,preTarget,pre,b1,0.729331493377686,0.875
sub006,preTarget,pre,b2,0.820550918579102,0.833333333333333
sub006,preTarget,pre,b3,0.990763545036316,0.875
sub006,preTarget,pre,b4,0.91060197353363,0.833333333333333
sub006,preTarget,pre,b5,1.23073136806488,0.875
sub006,preTarget,pre,b6,1.267737865448,0.791666666666667
sub006,preTarget,pre,b7,1.09005963802338,0.916666666666667
sub006,preTarget,retro,b1,0.791711091995239,0.92
sub006,preTarget,retro,b2,0.708880186080933,0.88
sub006,preTarget,retro,b3,0.882456064224243,0.8
sub006,preTarget,retro,b4,1.23104214668274,0.72
sub006,preTarget,retro,b5,0.861243009567261,0.88
sub006,preTarget,retro,b6,1.08042120933533,0.92
sub006,preTarget,retro,b7,1.29246616363525,0.92
sub006,preCue2,pre,b1,0.755138516426086,0.875
sub006,preCue2,pre,b2,0.841034531593323,0.916666666666667
sub006,preCue2,pre,b3,1.27193593978882,0.916666666666667
sub006,preCue2,pre,b4,0.893439054489136,0.875
sub006,preCue2,pre,b5,0.94541597366333,0.75
sub006,preCue2,pre,b6,0.996213316917419,0.833333333333333
sub006,preCue2,pre,b7,1.20250856876373,0.833333333333333
sub006,preCue2,retro,b1,0.797868013381958,0.84
sub006,preCue2,retro,b2,0.7686448097229,0.88
sub006,preCue2,retro,b3,0.882456064224243,0.88
sub006,preCue2,retro,b4,0.821635007858276,0.76
sub006,preCue2,retro,b5,0.921679973602295,0.92
sub006,preCue2,retro,b6,1.02966904640198,0.92
sub006,preCue2,retro,b7,1.63094687461853,0.84
sub006,preProbe,pre,b1,1.06962049007416,0.875
sub006,preProbe,pre,b2,0.857152581214905,0.958333333333333
sub006,preProbe,pre,b3,0.78862738609314,0.875
sub006,preProbe,pre,b4,0.854301571846008,0.833333333333333
sub006,preProbe,pre,b5,0.827435970306396,0.791666666666667
sub006,preProbe,pre,b6,1.06808662414551,0.833333333333333
sub006,preProbe,pre,b7,1.00620603561401,0.833333333333333
sub006,preProbe,retro,b1,0.983000993728638,0.92
sub006,preProbe,retro,b2,0.8023681640625,0.76
sub006,preProbe,retro,b3,0.91082501411438,0.88
sub006,preProbe,retro,b4,0.921679973602295,0.84
sub006,preProbe,retro,b5,0.797868013381958,0.76
sub006,preProbe,retro,b6,0.859441995620728,1
sub006,preProbe,retro,b7,1.23396992683411,0.88
sub008,preCue1,pre,b1,1.29228544235229,0.875
sub008,preCue1,pre,b2,1.22089338302612,0.958333333333333
sub008,preCue1,pre,b3,1.41831409931183,0.875
sub008,preCue1,pre,b4,1.40295350551605,0.958333333333333
sub008,preCue1,pre,b5,1.34274697303772,0.916666666666667
sub008,preCue1,pre,b6,1.23594200611115,0.916666666666667
sub008,preCue1,pre,b7,1.10524940490723,0.833333333333333
sub008,preCue1,retro,b1,1.32111811637878,0.96
sub008,preCue1,retro,b2,1.09078001976013,0.92
sub008,preCue1,retro,b3,1.14016795158386,0.92
sub008,preCue1,retro,b4,1.19118905067444,1
