sub,eye,measure,window,peak,compare,cond,value
sub001,open,visual power,1000pre,corinne,accuracy_e,correct_e,0.543106438121206
sub001,open,visual power,1000pre,corinne,accuracy_e,incorrect_e,0.136659010376075
sub001,open,visual power,1000pre,corinne,rt,fast,0.373058700189443
sub001,open,visual power,1000pre,corinne,rt,slow,0.421323104349314
sub001,open,laterilsation index,1000pre,corinne,accuracy_e,correct_e,-0.237233488055117
sub001,open,laterilsation index,1000pre,corinne,accuracy_e,incorrect_e,-0.114673984095361
sub001,open,laterilsation index,1000pre,corinne,rt,fast,0.0277193528180939
sub001,open,laterilsation index,1000pre,corinne,rt,slow,0.00111635009238284
sub001,open,somatovisual balance,1000pre,corinne,accuracy_e,correct_e,0.471710719328071
sub001,open,somatovisual balance,1000pre,corinne,accuracy_e,incorrect_e,0.447117592336943
sub001,open,somatovisual balance,1000pre,corinne,rt,fast,0.587826107112198
sub001,open,somatovisual balance,1000pre,corinne,rt,slow,0.576975465366797
sub001,closed,visual power,1000pre,corinne,accuracy_e,correct_e,0.172356709773239
sub001,closed,visual power,1000pre,corinne,accuracy_e,incorrect_e,-0.0243601913802856
sub001,closed,visual power,1000pre,corinne,rt,fast,0.032087842923307
sub001,closed,visual power,1000pre,corinne,rt,slow,0.0802355527056096
sub001,closed,laterilsation index,1000pre,corinne,accuracy_e,correct_e,0.0680849600347521
sub001,closed,laterilsation index,1000pre,corinne,accuracy_e,incorrect_e,-0.134255240501611
sub001,closed,laterilsation index,1000pre,corinne,rt,fast,0.0114957138637133
sub001,closed,laterilsation index,1000pre,corinne,rt,slow,0.0825780675656062
sub001,closed,somatovisual balance,1000pre,corinne,accuracy_e,correct_e,0.680077580356756
sub001,closed,somatovisual balance,1000pre,corinne,accuracy_e,incorrect_e,0.659332625934887
sub001,closed,somatovisual balance,1000pre,corinne,rt,fast,0.658954275232607
sub001,closed,somatovisual balance,1000pre,corinne,rt,slow,0.687941508875263
sub002,open,visual power,1000pre,corinne,accuracy_e,correct_e,-0.0236071021471316
sub002,open,visual power,1000pre,corinne,accuracy_e,incorrect_e,0.0263833860556797
