sub,eye,corr,rt,roi,hemi,pow
sub005,open,correct,slow,visual,right,0.0662966149986303
sub005,open,correct,all,visual,right,0.286498929014742
sub005,close,incorrect,fast,visual,left,-0.0027334718149901
sub005,close,incorrect,slow,visual,left,0.14585140561259
sub005,close,incorrect,all,visual,left,0.0705325316602968
sub005,close,incorrect,fast,visual,right,-0.168366597094503
sub005,close,incorrect,slow,visual,right,-0.00369714982912954
sub005,close,incorrect,all,visual,right,-0.0904681908068736
sub005,close,correct,fast,visual,left,0.216817809925036
sub005,close,correct,slow,visual,left,0.083056404052528
sub005,close,correct,all,visual,left,0.169665592767006
sub005,close,correct,fast,visual,right,-0.0871682424084199
sub005,close,correct,slow,visual,right,-0.0626689105151392
sub005,close,correct,all,visual,right,-0.0887746759409311
sub006,open,incorrect,fast,visual,left,0.0942582299198924
sub006,open,incorrect,slow,visual,left,-0.00631938784273087
sub006,open,incorrect,all,visual,left,0.0402891688294923
sub006,open,incorrect,fast,visual,right,1.12728633574947
sub006,open,incorrect,slow,visual,right,0.190938236921508
sub006,open,incorrect,all,visual,right,0.588004310067196
sub006,open,correct,fast,visual,left,0.239187037559727
sub006,open,correct,slow,visual,left,0.0961899404303273
sub006,open,correct,all,visual,left,0.151085811749424
sub006,open,correct,fast,visual,right,0.191603978041784
sub006,open,correct,slow,visual,right,0.0209695622062713
sub006,open,correct,all,visual,right,0.0953790702019129
sub006,close,incorrect,fast,visual,left,0.0388490406589105
sub006,close,incorrect,slow,visual,left,0.364931170111874
sub006,close,incorrect,all,visual,left,0.189660323657359
sub006,close,incorrect,fast,visual,right,0.128841632291936
sub006,close,incorrect,slow,visual,right,0.36554707892706
sub006,close,incorrect,all,visual,right,0.237891593916015
sub006,close,correct,fast,visual,left,0.0530316707429853
sub006,close,correct,slow,visual,left,0.379975352362509
sub006,close,correct,all,visual,left,0.212566346576722
sub006,close,correct,fast,visual,right,0.317346248185343
sub006,close,correct,slow,visual,right,0.46110964957341
sub006,close,correct,all,visual,right,0.385909336293224
sub007,open,incorrect,fast,visual,left,-0.457986458920879
sub007,open,incorrect,slow,visual,left,0.662157696395515
sub007,open,incorrect,all,visual,left,-0.130507795476386
sub007,open,incorrect,fast,visual,right,-0.719741349223828
sub007,open,incorrect,slow,visual,right,0.0194164050921588
sub007,open,incorrect,all,visual,right,-0.493192547472821
sub007,open,correct,fast,visual,left,-0.618449201115435
sub007,open,correct,slow,visual,left,-0.539726634292269
sub007,open,correct,all,visual,left,-0.605949125001832
sub007,open,correct,fast,visual,right,-0.625130362713017
sub007,open,correct,slow,visual,right,-0.419451486989824
sub007,open,correct,all,visual,right,-0.531664978163957
sub007,close,incorrect,fast,visual,left,-0.280630642956566
sub007,close,incorrect,slow,visual,left,-0.573572064730452
sub007,close,incorrect,all,visual,left,-0.447654223769927
sub007,close,incorrect,fast,visual,right,-0.333049896928455
sub007,close,incorrect,slow,visual,right,-0.676902058587884
sub007,close,incorrect,all,visual,right,-0.494508510905513
sub007,close,correct,fast,visual,left,-0.397780798849049
sub007,close,correct,slow,visual,left,-0.386518894445764
sub007,close,correct,all,visual,left,-0.387028424870669
sub007,close,correct,fast,visual,right,-0.443087157601672
sub007,close,correct,slow,visual,right,-0.424813033596295
sub007,close,correct,all,visual,right,-0.436741438308681
sub008,open,incorrect,fast,visual,left,0.290868492356333
sub008,open,incorrect,slow,visual,left,-0.517355276025281
sub008,open,incorrect,all,visual,left,-0.262012245522085
sub008,open,incorrect,fast,visual,right,0.413977717104245
sub008,open,incorrect,slow,visual,right,0.978902725899946
sub008,open,incorrect,all,visual,right,0.735487407233538
sub008,open,correct,fast,visual,left,-0.00671389975540373
sub008,open,correct,slow,visual,left,0.418229666072379
sub008,open,correct,all,visual,left,0.201419678134781
sub008,open,correct,fast,visual,right,0.34605964479769
sub008,open,correct,slow,visual,right,0.743467693314842
sub008,open,correct,all,visual,right,0.54488981214461
sub008,close,incorrect,fast,visual,left,-0.212580548228358
sub008,close,incorrect,slow,visual,left,-0.0523597731269318
sub008,close,incorrect,all,visual,left,-0.13665840546618
sub008,close,incorrect,fast,visual,right,-0.450218393323594
sub008,close,incorrect,slow,visual,right,-0.355023695787785
sub008,close,incorrect,all,visual,right,-0.404515345282796
sub008,close,correct,fast,visual,left,-0.0190129037797935
sub008,close,correct,slow,visual,left,-0.369729923557187
sub008,close,correct,all,visual,left,-0.205991006438396
sub008,close,correct,fast,visual,right,-0.242708796420645
sub008,close,correct,slow,visual,right,-0.515477779617108
sub008,close,correct,all,visual,right,-0.394335170341548
sub009,open,incorrect,fast,visual,left,-0.102940688870093
sub009,open,incorrect,slow,visual,left,0.185716305246702
sub009,open,incorrect,all,visual,left,0.0286496423780168
sub009,open,incorrect,fast,visual,right,-0.0151746566998732
sub009,open,incorrect,slow,visual,right,0.0231564706224671
sub009,open,incorrect,all,visual,right,0.00741638901182151
sub009,open,correct,fast,visual,left,-0.0109906064608315
sub009,open,correct,slow,visual,left,-0.0451120896189118
sub009,open,correct,all,visual,left,-0.030391112895422
sub009,open,correct,fast,visual,right,0.210054731702395
sub009,open,correct,slow,visual,right,0.0369500463960729
sub009,open,correct,all,visual,right,0.0947494281399438
sub009,close,incorrect,fast,visual,left,-0.0458895284398543
sub009,close,incorrect,slow,visual,left,0.550632408386188
sub009,close,incorrect,all,visual,left,0.237183664328702
sub009,close,incorrect,fast,visual,right,0.355583100850632
sub009,close,incorrect,slow,visual,right,0.172536211710143
sub009,close,incorrect,all,visual,right,0.265511090774022
sub009,close,correct,fast,visual,left,-0.0145783018163374
