sub,eye,corr,rt,roi,hemi,pow
sub028,open,incorrect,slow,visual,left,-0.0271242243688372
sub028,open,incorrect,all,visual,left,-0.0365221550269907
sub028,open,incorrect,fast,visual,right,0.748334140044829
sub028,open,incorrect,slow,visual,right,-0.103403689990972
sub028,open,incorrect,all,visual,right,0.287044019966151
sub028,open,correct,fast,visual,left,-0.266402707926002
sub028,open,correct,slow,visual,left,-0.0631489254884796
sub028,open,correct,all,visual,left,-0.170363562765437
sub028,open,correct,fast,visual,right,-0.164511285394146
sub028,open,correct,slow,visual,right,-0.00894688114903709
sub028,open,correct,all,visual,right,-0.0827541462801524
sub028,close,incorrect,fast,visual,left,-0.122948218091586
sub028,close,incorrect,slow,visual,left,0.279268945736872
sub028,close,incorrect,all,visual,left,0.0574079623614728
sub028,close,incorrect,fast,visual,right,0.628785732524181
sub028,close,incorrect,slow,visual,right,0.631199660488214
sub028,close,incorrect,all,visual,right,0.630137025371241
sub028,close,correct,fast,visual,left,0.0152834169846224
sub028,close,correct,slow,visual,left,-0.139513407537962
sub028,close,correct,all,visual,left,-0.0658665728512994
sub028,close,correct,fast,visual,right,0.267664297207277
sub028,close,correct,slow,visual,right,0.170679245488732
sub028,close,correct,all,visual,right,0.219224801609812
sub029,open,incorrect,fast,visual,left,0.579022686356587
sub029,open,incorrect,slow,visual,left,0.9035232013106
sub029,open,incorrect,all,visual,left,0.772636002193049
sub029,open,incorrect,fast,visual,right,-0.135225872006273
sub029,open,incorrect,slow,visual,right,-0.053919614192368
sub029,open,incorrect,all,visual,right,-0.108485976510012
sub029,open,correct,fast,visual,left,0.0298241795222183
sub029,open,correct,slow,visual,left,0.165786061689148
sub029,open,correct,all,visual,left,0.0947132640934627
sub029,open,correct,fast,visual,right,0.091877094439648
sub029,open,correct,slow,visual,right,0.137771300331149
sub029,open,correct,all,visual,right,0.116333200266206
sub029,close,incorrect,fast,visual,left,0.0748157290351222
sub029,close,incorrect,slow,visual,left,-0.323865834607638
sub029,close,incorrect,all,visual,left,-0.0444733392869204
sub029,close,incorrect,fast,visual,right,0.115273607932343
sub029,close,incorrect,slow,visual,right,-0.458807170917707
sub029,close,incorrect,all,visual,right,-0.108548121517466
sub029,close,correct,fast,visual,left,0.0337192597135115
sub029,close,correct,slow,visual,left,-0.0777570070466466
sub029,close,correct,all,visual,left,-0.017574635529518
sub029,close,correct,fast,visual,right,-0.0637259567129944
sub029,close,correct,slow,visual,right,-0.341749917167131
sub029,close,correct,all,visual,right,-0.206964061524655
sub030,open,incorrect,fast,visual,left,0.0824214498535722
sub030,open,incorrect,slow,visual,left,-0.0389185933635335
sub030,open,incorrect,all,visual,left,0.0303317277234857
sub030,open,incorrect,fast,visual,right,1.0022414518161
sub030,open,incorrect,slow,visual,right,1.03124734871921
sub030,open,incorrect,all,visual,right,1.02736768460835
sub030,open,correct,fast,visual,left,0.0492354025882654
sub030,open,correct,slow,visual,left,-0.0915498081344448
sub030,open,correct,all,visual,left,-0.0296766634630324
sub030,open,correct,fast,visual,right,0.386589430361423
sub030,open,correct,slow,visual,right,0.287742531136936
sub030,open,correct,all,visual,right,0.329294967365909
sub030,close,incorrect,fast,visual,left,0.754077422551473
sub030,close,incorrect,slow,visual,left,0.203827706938885
sub030,close,incorrect,all,visual,left,0.439198836966556
sub030,close,incorrect,fast,visual,right,-0.0754988323098132
sub030,close,incorrect,slow,visual,right,0.152316373350448
sub030,close,incorrect,all,visual,right,0.0235856848678424
sub030,close,correct,fast,visual,left,0.0281275491010887
sub030,close,correct,slow,visual,left,0.0137223333351759
sub030,close,correct,all,visual,left,0.0214047848692727
sub030,close,correct,fast,visual,right,0.189275940186922
sub030,close,correct,slow,visual,right,0.120482366911406
sub030,close,correct,all,visual,right,0.155213557013812
sub031,open,incorrect,fast,visual,left,0.65310959043335
sub031,open,incorrect,slow,visual,left,1.11797901461705
sub031,open,incorrect,all,visual,left,0.884792272373173
sub031,open,incorrect,fast,visual,right,0.646486854896908
sub031,open,incorrect,slow,visual,right,0.600765803597525
sub031,open,incorrect,all,visual,right,0.634538402005936
sub031,open,correct,fast,visual,left,0.825567320410263
sub031,open,correct,slow,visual,left,0.378709443746369
sub031,open,correct,all,visual,left,0.572609392036342
sub031,open,correct,fast,visual,right,0.954791114689327
sub031,open,correct,slow,visual,right,0.484059292651693
sub031,open,correct,all,visual,right,0.683672871671936
sub031,close,incorrect,fast,visual,left,-0.0817546013266123
sub031,close,incorrect,slow,visual,left,0.547809221478941
sub031,close,incorrect,all,visual,left,0.107540784571122
sub031,close,incorrect,fast,visual,right,-0.210848364414213
sub031,close,incorrect,slow,visual,right,-0.0979970498403852
sub031,close,incorrect,all,visual,right,-0.16847082746652
sub031,close,correct,fast,visual,left,-0.0840181155217533
sub031,close,correct,slow,visual,left,0.200428616536315
sub031,close,correct,all,visual,left,0.0294081936680616
sub031,close,correct,fast,visual,right,0.2218463599203
sub031,close,correct,slow,visual,right,0.00262494301957436
sub031,close,correct,all,visual,right,0.110678015973681
sub032,open,incorrect,fast,visual,left,0.874925706636293
sub032,open,incorrect,slow,visual,left,0.800099576679394
sub032,open,incorrect,all,visual,left,0.835371538008665
sub032,open,incorrect,fast,visual,right,0.875489762164163
sub032,open,incorrect,slow,visual,right,0.634499309353172
sub032,open,incorrect,all,visual,right,0.745399095662948
sub032,open,correct,fast,visual,left,0.926768477251954
sub032,open,correct,slow,visual,left,0.831327103150882
sub032,open,correct,all,visual,left,0.892635593044239
sub032,open,correct,fast,visual,right,0.771614708131477
sub032,open,correct,slow,visual,right,0.714560988520039
sub032,open,correct,all,visual,right,0.752035042300459
sub032,close,incorrect,fast,visual,left,-0.368142684037761
sub032,close,incorrect,slow,visual,left,-0.0859982814540322
sub032,close,incorrect,all,visual,left,-0.195090947301733
sub032,close,incorrect,fast,visual,right,-0.232808550190428
sub032,close,incorrect,slow,visual,right,0.13200270848589
sub032,close,incorrect,all,visual,right,-0.077735003216456
sub032,close,correct,fast,visual,left,0.164987656034933
sub032,close,correct,slow,visual,left,-0.0650233945139095
sub032,close,correct,all,visual,left,0.0427441243099755
sub032,close,correct,fast,visual,right,0.0611470350151724
sub032,close,correct,slow,visual,right,0.130704286026755
sub032,close,correct,all,visual,right,0.0929059533796151
sub033,open,incorrect,fast,visual,left,0.563476803060959
sub033,open,incorrect,slow,visual,left,0.227675784307403
sub033,open,incorrect,all,visual,left,0.659850086742899
sub033,open,incorrect,fast,visual,right,1.00982998570152
sub033,open,incorrect,slow,visual,right,2.29022425397918
sub033,open,incorrect,all,visual,right,1.25497335141025
sub033,open,correct,fast,visual,left,0.774861465442727
sub033,open,correct,slow,visual,left,0.311365527025288
sub033,open,correct,all,visual,left,0.521933115967704
sub033,open,correct,fast,visual,right,0.609951360591907
sub033,open,correct,slow,visual,right,0.460697216007019
sub033,open,correct,all,visual,right,0.515445233537867
sub033,close,incorrect,fast,visual,left,0.526819890151075
sub033,close,incorrect,slow,visual,left,0.0522192213392115
sub033,close,incorrect,all,visual,left,0.331134412196872
sub033,close,incorrect,fast,visual,right,0.160640862296473
sub033,close,incorrect,slow,visual,right,0.296558146741047
sub033,close,incorrect,all,visual,right,0.218350471450661
sub033,close,correct,fast,visual,left,0.54363128209138
sub033,close,correct,slow,visual,left,0.0502289135318804
sub033,close,correct,all,visual,left,0.243988682771407
sub033,close,correct,fast,visual,right,0.60738235686654
sub033,close,correct,slow,visual,right,0.249424111080199
sub033,close,correct,all,visual,right,0.413177486349086
sub034,open,incorrect,fast,visual,left,0.120748484835377
sub034,open,incorrect,slow,visual,left,0.35337627597769
sub034,open,incorrect,all,visual,left,0.250116966801032
sub034,open,incorrect,fast,visual,right,-0.0386898157650166
sub034,open,incorrect,slow,visual,right,0.982329354614855
sub034,open,incorrect,all,visual,right,0.42454477735027
sub034,open,correct,fast,visual,left,0.156898771065688
sub034,open,correct,slow,visual,left,0.245903005763168
sub034,open,correct,all,visual,left,0.190369803110162
sub034,open,correct,fast,visual,right,0.499876108201146
sub034,open,correct,slow,visual,right,0.426663636331179
sub034,open,correct,all,visual,right,0.480535552709943
sub034,close,incorrect,fast,visual,left,0.276574085466262
sub034,close,incorrect,slow,visual,left,-0.097117616412903
sub034,close,incorrect,all,visual,left,0.0690787201970175
sub034,close,incorrect,fast,visual,right,-0.123949083435446
sub034,close,incorrect,slow,visual,right,0.312876123137616
sub034,close,incorrect,all,visual,right,0.0559051748321752
sub034,close,correct,fast,visual,left,-0.0585685781171393
sub034,close,correct,slow,visual,left,0.114114756375636
sub034,close,correct,all,visual,left,0.0289658282796903
sub034,close,correct,fast,visual,right,0.0078127475698912
sub034,close,correct,slow,visual,right,0.439701510704482
sub034,close,correct,all,visual,right,0.204096860307741
sub035,open,incorrect,fast,visual,left,-0.207625955257465
sub035,open,incorrect,slow,visual,left,-0.0910521736997507
sub035,open,incorrect,all,visual,left,-0.149724798263633
sub035,open,incorrect,fast,visual,right,0.472696358196036
sub035,open,incorrect,slow,visual,right,0.0400374771540706
sub035,open,incorrect,all,visual,right,0.24142927143263
sub035,open,correct,fast,visual,left,0.052729831416268
sub035,open,correct,slow,visual,left,0.117269138189882
sub035,open,correct,all,visual,left,0.0810588299551196
sub035,open,correct,fast,visual,right,0.420352415187648
sub035,open,correct,slow,visual,right,0.517266544767243
sub035,open,correct,all,visual,right,0.465385904553707
sub035,close,incorrect,fast,visual,left,0.0484172561022003
sub035,close,incorrect,slow,visual,left,0.211421727999257
sub035,close,incorrect,all,visual,left,0.12205583404817
sub035,close,incorrect,fast,visual,right,0.15019545932117
sub035,close,incorrect,slow,visual,right,-0.0495693247098263
sub035,close,incorrect,all,visual,right,0.0564445243394954
sub035,close,correct,fast,visual,left,-0.00348232950596309
sub035,close,correct,slow,visual,left,0.233448177275018
sub035,close,correct,all,visual,left,0.0876608401612615
sub035,close,correct,fast,visual,right,0.0205932058320744
sub035,close,correct,slow,visual,right,-0.0649967886083349
sub035,close,correct,all,visual,right,-0.0200047960300097
sub036,open,incorrect,fast,visual,left,0.325097685469801
sub036,open,incorrect,slow,visual,left,0.382045110442405
sub036,open,incorrect,all,visual,left,0.352494230085382
sub036,open,incorrect,fast,visual,right,0.540429529192155
sub036,open,incorrect,slow,visual,right,0.310154049304546
sub036,open,incorrect,all,visual,right,0.429701467763274
sub036,open,correct,fast,visual,left,0.365609375324596
sub036,open,correct,slow,visual,left,0.373758660703823
sub036,open,correct,all,visual,left,0.369409840547316
sub036,open,correct,fast,visual,right,0.692732040242531
sub036,open,correct,slow,visual,right,0.593006336998953
sub036,open,correct,all,visual,right,0.644050413964222
sub036,close,incorrect,fast,visual,left,0.264725331479788
sub036,close,incorrect,slow,visual,left,0.412465629786536
sub036,close,incorrect,all,visual,left,0.343276778780647
sub036,close,incorrect,fast,visual,right,0.321998297245777
sub036,close,incorrect,slow,visual,right,0.01419759063106
sub036,close,incorrect,all,visual,right,0.159070703203594
sub036,close,correct,fast,visual,left,0.30329294634703
sub036,close,correct,slow,visual,left,0.172477841212734
sub036,close,correct,all,visual,left,0.246655462843923
sub036,close,correct,fast,visual,right,0.222701705877889
sub036,close,correct,slow,visual,right,0.187608317022433
sub036,close,correct,all,visual,right,0.220878694110664
sub037,open,incorrect,fast,visual,left,-0.349422071610095
sub037,open,incorrect,slow,visual,left,-0.0446326676775661
sub037,open,incorrect,all,visual,left,-0.236080852713364
sub037,open,incorrect,fast,visual,right,-0.138786547848313
sub037,open,incorrect,slow,visual,right,-0.3927309963513
sub037,open,incorrect,all,visual,right,-0.289161152180035
sub037,open,correct,fast,visual,left,0.0831504060943479
sub037,open,correct,slow,visual,left,0.0706414638448104
sub037,open,correct,all,visual,left,0.0775264809826948
sub037,open,correct,fast,visual,right,0.315362882787372
sub037,open,correct,slow,visual,right,0.529947892380701
sub037,open,correct,all,visual,right,0.405579053797388
sub037,close,incorrect,fast,visual,left,0.131304688813054
sub037,close,incorrect,slow,visual,left,-0.292219158864538
sub037,close,incorrect,all,visual,left,-0.0861162620718959
sub037,close,incorrect,fast,visual,right,-0.237998649513271
sub037,close,incorrect,slow,visual,right,-0.396625367497747
sub037,close,incorrect,all,visual,right,-0.334022393264315
sub037,close,correct,fast,visual,left,0.326157959103469
sub037,close,correct,slow,visual,left,-0.0826780081060278
sub037,close,correct,all,visual,left,0.118464352417453
sub037,close,correct,fast,visual,right,-0.0711267537290084
sub037,close,correct,slow,visual,right,-0.0354625856494558
sub037,close,correct,all,visual,right,-0.0610649478790642
sub039,open,incorrect,fast,visual,left,0.248912607539442
sub039,open,incorrect,slow,visual,left,1.63561472994747
sub039,open,incorrect,all,visual,left,0.819074791235603
sub039,open,incorrect,fast,visual,right,0.419806156831625
sub039,open,incorrect,slow,visual,right,1.03943424536672
sub039,open,incorrect,all,visual,right,0.703307817906472
sub039,open,correct,fast,visual,left,0.708919230910998
sub039,open,correct,slow,visual,left,0.854646172565703
sub039,open,correct,all,visual,left,0.744805338024166
sub039,open,correct,fast,visual,right,0.393570790457777
sub039,open,correct,slow,visual,right,0.150818511604199
sub039,open,correct,all,visual,right,0.264560723235821
sub039,close,incorrect,fast,visual,left,0.940073704913024
sub039,close,incorrect,slow,visual,left,-0.175600218716104
sub039,close,incorrect,all,visual,left,0.140039815190023
sub039,close,incorrect,fast,visual,right,0.0397971532232625
sub039,close,incorrect,slow,visual,right,0.0401214346303377
sub039,close,incorrect,all,visual,right,0.0399751423516386
sub039,close,correct,fast,visual,left,0.163104710266797
sub039,close,correct,slow,visual,left,0.208827576312441
sub039,close,correct,all,visual,left,0.185853091527739
sub039,close,correct,fast,visual,right,-0.0645871213445633
sub039,close,correct,slow,visual,right,0.387740140563291
sub039,close,correct,all,visual,right,0.119201251686288
