sub,band,stim,cond,bin,acc,rt,sess
"sub",slow,target,2back,b1,1,386,s1
"sub",slow,target,2back,b2,1,433,s1
"sub",alpha,target,2back,b1,1,386,s1
"sub",alpha,target,2back,b2,1,433,s1
"sub",beta,target,2back,b1,1,433,s1
"sub",beta,target,2back,b2,1,386,s1
"sub",gamma,target,2back,b1,1,386,s1
"sub",gamma,target,2back,b2,1,424,s1
"sub",slow,first,1back,b1,0.75,856,s2
"sub",slow,first,1back,b2,1,NaN,s2
"sub",alpha,first,1back,b1,1,NaN,s2
"sub",alpha,first,1back,b2,0.75,856,s2
"sub",beta,first,1back,b1,1,NaN,s2
"sub",beta,first,1back,b2,0.75,856,s2
"sub",gamma,first,1back,b1,1,NaN,s2
"sub",gamma,first,1back,b2,0.75,856,s2
"sub",slow,target,1back,b1,1,625,s2
"sub",slow,target,1back,b2,1,435,s2
"sub",alpha,target,1back,b1,1,456,s2
"sub",alpha,target,1back,b2,1,523,s2
"sub",beta,target,1back,b1,1,500,s2
"sub",beta,target,1back,b2,1,456,s2
"sub",gamma,target,1back,b1,1,459,s2
"sub",gamma,target,1back,b2,1,523,s2
"sub",slow,first,2back,b1,1,NaN,s2
"sub",slow,first,2back,b2,1,NaN,s2
"sub",alpha,first,2back,b1,1,NaN,s2
"sub",alpha,first,2back,b2,1,NaN,s2
"sub",beta,first,2back,b1,1,NaN,s2
"sub",beta,first,2back,b2,1,NaN,s2
"sub",gamma,first,2back,b1,1,NaN,s2
"sub",gamma,first,2back,b2,1,NaN,s2
"sub",slow,target,2back,b1,0.714285714285714,453,s2
"sub",slow,target,2back,b2,1,536,s2
"sub",alpha,target,2back,b1,0.857142857142857,499.5,s2
"sub",alpha,target,2back,b2,0.857142857142857,442,s2
"sub",beta,target,2back,b1,0.714285714285714,537,s2
"sub",beta,target,2back,b2,1,397,s2
"sub",gamma,target,2back,b1,0.714285714285714,523,s2
"sub",gamma,target,2back,b2,1,453,s2
"sub",slow,first,2back,b1,1,NaN,s1
"sub",slow,first,2back,b2,1,NaN,s1
"sub",alpha,first,2back,b1,1,NaN,s1
"sub",alpha,first,2back,b2,1,NaN,s1
"sub",beta,first,2back,b1,1,NaN,s1
"sub",beta,first,2back,b2,1,NaN,s1
"sub",gamma,first,2back,b1,1,NaN,s1
"sub",gamma,first,2back,b2,1,NaN,s1
"sub",slow,target,2back,b1,0.875,341,s1
"sub",slow,target,2back,b2,1,457.5,s1
"sub",alpha,target,2back,b1,1,485.5,s1
"sub",alpha,target,2back,b2,0.875,410,s1
"sub",beta,target,2back,b1,1,485.5,s1
"sub",beta,target,2back,b2,0.875,410,s1
"sub",gamma,target,2back,b1,0.875,406,s1
"sub",gamma,target,2back,b2,1,485.5,s1
"sub",slow,first,1back,b1,1,NaN,s2
"sub",slow,first,1back,b2,1,NaN,s2
"sub",alpha,first,1back,b1,1,NaN,s2
"sub",alpha,first,1back,b2,1,NaN,s2
"sub",beta,first,1back,b1,1,NaN,s2
"sub",beta,first,1back,b2,1,NaN,s2
"sub",gamma,first,1back,b1,1,NaN,s2
"sub",gamma,first,1back,b2,1,NaN,s2
"sub",slow,target,1back,b1,1,560,s2
"sub",slow,target,1back,b2,0.571428571428571,483.5,s2
"sub",alpha,target,1back,b1,0.857142857142857,481,s2
"sub",alpha,target,1back,b2,0.714285714285714,509,s2
"sub",beta,target,1back,b1,1,458,s2
"sub",beta,target,1back,b2,0.571428571428571,543.5,s2
"sub",gamma,target,1back,b1,1,402,s2
"sub",gamma,target,1back,b2,0.571428571428571,557.5,s2
"sub",slow,first,2back,b1,0.777777777777778,432.5,s2
"sub",slow,first,2back,b2,1,NaN,s2
"sub",alpha,first,2back,b1,0.888888888888889,418,s2
"sub",alpha,first,2back,b2,0.888888888888889,447,s2
"sub",beta,first,2back,b1,0.888888888888889,418,s2
"sub",beta,first,2back,b2,0.888888888888889,447,s2
"sub",gamma,first,2back,b1,0.888888888888889,447,s2
"sub",gamma,first,2back,b2,0.888888888888889,418,s2
"sub",slow,target,2back,b1,0.428571428571429,458,s2
"sub",slow,target,2back,b2,0.714285714285714,374,s2
"sub",alpha,target,2back,b1,0.571428571428571,383,s2
"sub",alpha,target,2back,b2,0.571428571428571,412,s2
"sub",beta,target,2back,b1,0.571428571428571,426.5,s2
"sub",beta,target,2back,b2,0.571428571428571,381,s2
"sub",gamma,target,2back,b1,0.428571428571429,436,s2
"sub",gamma,target,2back,b2,0.714285714285714,388,s2
"sub ",slow,first,2back,b1,0.9,605,s1
"sub ",slow,first,2back,b2,1,NaN,s1
"sub ",alpha,first,2back,b1,1,NaN,s1
"sub ",alpha,first,2back,b2,0.9,605,s1
"sub ",beta,first,2back,b1,0.9,605,s1
"sub ",beta,first,2back,b2,1,NaN,s1
"sub ",gamma,first,2back,b1,0.9,605,s1
"sub ",gamma,first,2back,b2,1,NaN,s1
"sub ",slow,target,2back,b1,1,669,s1
"sub ",slow,target,2back,b2,1,486,s1
"sub ",alpha,target,2back,b1,1,608,s1
"sub ",alpha,target,2back,b2,1,636,s1
"sub ",beta,target,2back,b1,1,649,s1
"sub ",beta,target,2back,b2,1,497,s1
"sub ",gamma,target,2back,b1,1,628,s1
"sub ",gamma,target,2back,b2,1,608,s1
"sub ",slow,first,1back,b1,1,NaN,s2
"sub ",slow,first,1back,b2,1,NaN,s2
"sub ",alpha,first,1back,b1,1,NaN,s2
"sub ",alpha,first,1back,b2,1,NaN,s2
"sub ",beta,first,1back,b1,1,NaN,s2
"sub ",beta,first,1back,b2,1,NaN,s2
"sub ",gamma,first,1back,b1,1,NaN,s2
"sub ",gamma,first,1back,b2,1,NaN,s2
"sub ",slow,target,1back,b1,1,409.5,s2
"sub ",slow,target,1back,b2,0.9,461,s2
"sub ",alpha,target,1back,b1,0.9,430,s2
"sub ",alpha,target,1back,b2,1,459,s2
"sub ",beta,target,1back,b1,0.9,399,s2
"sub ",beta,target,1back,b2,1,455,s2
"sub ",gamma,target,1back,b1,1,449.5,s2
"sub ",gamma,target,1back,b2,0.9,449,s2
"sub ",slow,first,2back,b1,1,NaN,s2
"sub ",slow,first,2back,b2,1,NaN,s2
"sub ",alpha,first,2back,b1,1,NaN,s2
"sub ",alpha,first,2back,b2,1,NaN,s2
"sub ",beta,first,2back,b1,1,NaN,s2
"sub ",beta,first,2back,b2,1,NaN,s2
"sub ",gamma,first,2back,b1,1,NaN,s2
"sub ",gamma,first,2back,b2,1,NaN,s2
"sub ",slow,target,2back,b1,1,545,s2
"sub ",slow,target,2back,b2,1,495,s2
"sub ",alpha,target,2back,b1,1,553,s2
"sub ",alpha,target,2back,b2,1,514.5,s2
"sub ",beta,target,2back,b1,1,613,s2
"sub ",beta,target,2back,b2,1,465.5,s2
"sub ",gamma,target,2back,b1,1,545,s2
"sub ",gamma,target,2back,b2,1,477.5,s2
"sub!",slow,first,2back,b1,1,NaN,s1
"sub!",slow,first,2back,b2,1,NaN,s1
"sub!",alpha,first,2back,b1,1,NaN,s1
"sub!",alpha,first,2back,b2,1,NaN,s1
"sub!",beta,first,2back,b1,1,NaN,s1
"sub!",beta,first,2back,b2,1,NaN,s1
"sub!",gamma,first,2back,b1,1,NaN,s1
"sub!",gamma,first,2back,b2,1,NaN,s1
"sub!",slow,target,2back,b1,1,595.5,s1
"sub!",slow,target,2back,b2,1,448,s1
"sub!",alpha,target,2back,b1,1,510,s1
"sub!",alpha,target,2back,b2,1,526,s1
"sub!",beta,target,2back,b1,1,510,s1
"sub!",beta,target,2back,b2,1,440.5,s1
"sub!",gamma,target,2back,b1,1,426,s1
"sub!",gamma,target,2back,b2,1,559,s1
"sub!",slow,first,1back,b1,1,NaN,s2
"sub!",slow,first,1back,b2,1,NaN,s2
"sub!",alpha,first,1back,b1,1,NaN,s2
"sub!",alpha,first,1back,b2,1,NaN,s2
"sub!",beta,first,1back,b1,1,NaN,s2
"sub!",beta,first,1back,b2,1,NaN,s2
"sub!",gamma,first,1back,b1,1,NaN,s2
"sub!",gamma,first,1back,b2,1,NaN,s2
"sub!",slow,target,1back,b1,1,529,s2
"sub!",slow,target,1back,b2,1,542,s2
"sub!",alpha,target,1back,b1,1,501,s2
"sub!",alpha,target,1back,b2,1,556,s2
"sub!",beta,target,1back,b1,1,501,s2
"sub!",beta,target,1back,b2,1,542,s2
"sub!",gamma,target,1back,b1,1,542,s2
"sub!",gamma,target,1back,b2,1,529,s2
"sub!",slow,first,2back,b1,1,NaN,s2
"sub!",slow,first,2back,b2,0.9,725,s2
"sub!",alpha,first,2back,b1,0.9,725,s2
"sub!",alpha,first,2back,b2,1,NaN,s2
"sub!",beta,first,2back,b1,0.9,725,s2
"sub!",beta,first,2back,b2,1,NaN,s2
"sub!",gamma,first,2back,b1,1,NaN,s2
"sub!",gamma,first,2back,b2,0.9,725,s2
"sub!",slow,target,2back,b1,1,588.5,s2
"sub!",slow,target,2back,b2,0.9,660,s2
"sub!",alpha,target,2back,b1,1,665,s2
"sub!",alpha,target,2back,b2,0.9,627,s2
"sub!",beta,target,2back,b1,1,664,s2
"sub!",beta,target,2back,b2,0.9,642,s2
"sub!",gamma,target,2back,b1,1,669,s2
"sub!",gamma,target,2back,b2,0.9,642,s2
"sub#",slow,first,2back,b1,1,NaN,s1
"sub#",slow,first,2back,b2,1,NaN,s1
"sub#",alpha,first,2back,b1,1,NaN,s1
"sub#",alpha,first,2back,b2,1,NaN,s1
"sub#",beta,first,2back,b1,1,NaN,s1
"sub#",beta,first,2back,b2,1,NaN,s1
"sub#",gamma,first,2back,b1,1,NaN,s1
"sub#",gamma,first,2back,b2,1,NaN,s1
"sub#",slow,target,2back,b1,1,590,s1
"sub#",slow,target,2back,b2,1,775,s1
"sub#",alpha,target,2back,b1,1,590,s1
"sub#",alpha,target,2back,b2,1,801,s1
"sub#",beta,target,2back,b1,1,775,s1
"sub#",beta,target,2back,b2,1,612,s1
"sub#",gamma,target,2back,b1,1,775,s1
"sub#",gamma,target,2back,b2,1,590,s1
"sub#",slow,first,1back,b1,1,NaN,s2
"sub#",slow,first,1back,b2,1,NaN,s2
"sub#",alpha,first,1back,b1,1,NaN,s2
"sub#",alpha,first,1back,b2,1,NaN,s2
"sub#",beta,first,1back,b1,1,NaN,s2
"sub#",beta,first,1back,b2,1,NaN,s2
"sub#",gamma,first,1back,b1,1,NaN,s2
"sub#",gamma,first,1back,b2,1,NaN,s2
"sub#",slow,target,1back,b1,0.888888888888889,710,s2
"sub#",slow,target,1back,b2,1,694,s2
"sub#",alpha,target,1back,b1,1,694,s2
"sub#",alpha,target,1back,b2,0.888888888888889,661.5,s2
"sub#",beta,target,1back,b1,1,758,s2
"sub#",beta,target,1back,b2,0.888888888888889,686,s2
"sub#",gamma,target,1back,b1,1,645,s2
"sub#",gamma,target,1back,b2,0.888888888888889,825.5,s2
"sub#",slow,first,2back,b1,1,NaN,s2
"sub#",slow,first,2back,b2,1,NaN,s2
"sub#",alpha,first,2back,b1,1,NaN,s2
"sub#",alpha,first,2back,b2,1,NaN,s2
"sub#",beta,first,2back,b1,1,NaN,s2
"sub#",beta,first,2back,b2,1,NaN,s2
"sub#",gamma,first,2back,b1,1,NaN,s2
"sub#",gamma,first,2back,b2,1,NaN,s2
"sub#",slow,target,2back,b1,0.888888888888889,843,s2
"sub#",slow,target,2back,b2,1,745,s2
"sub#",alpha,target,2back,b1,0.888888888888889,771.5,s2
"sub#",alpha,target,2back,b2,1,745,s2
"sub#",beta,target,2back,b1,0.888888888888889,816.5,s2
"sub#",beta,target,2back,b2,1,745,s2
"sub#",gamma,target,2back,b1,0.888888888888889,786,s2
"sub#",gamma,target,2back,b2,1,745,s2
"sub$",slow,first,2back,b1,1,NaN,s1
"sub$",slow,first,2back,b2,0.9,1452,s1
"sub$",alpha,first,2back,b1,1,NaN,s1
"sub$",alpha,first,2back,b2,1,NaN,s1
"sub$",beta,first,2back,b1,1,NaN,s1
"sub$",beta,first,2back,b2,0.9,1452,s1
"sub$",gamma,first,2back,b1,0.9,1452,s1
"sub$",gamma,first,2back,b2,1,NaN,s1
