sub,eyes,compare,behavior,abs_vis,rel_vis,lat_som
sub001,open,accuracy,correct,6.67020283686693,0.195257234346543,0.0175735693705587
sub001,open,accuracy,incorrect,5.61216693747072,0.00784466883902707,-0.107675372865981
sub001,open,accuracy_e,correct_e,6.39809345888631,0.0869112070738922,0.0153529947017091
sub001,open,accuracy_e,incorrect_e,5.61216693747072,0.00784466883902707,-0.107675372865981
sub001,open,rt,fast,6.66132351193433,0.174835045492092,0.0305610668239759
sub001,open,rt,slow,6.68928527797694,0.228385261095046,0.00139042996737588
sub001,closed,accuracy,correct,6.77655392993289,-0.0408505839012573,0.0498041776717553
sub001,closed,accuracy,incorrect,7.28989549190293,-0.0134765553419292,-0.124264788499766
sub001,closed,accuracy_e,correct_e,6.74897622685073,-0.00917909616894277,-0.173477911125566
sub001,closed,accuracy_e,incorrect_e,7.28989549190293,-0.0134765553419292,-0.124264788499766
sub001,closed,rt,fast,6.76332001344066,-0.0474861864124697,0.010489867085491
sub001,closed,rt,slow,6.76212493910251,-0.039831433859746,0.0825838325582052
sub002,open,accuracy,correct,3.37261187873417,-0.0763584920495942,0.0375249930104949
sub002,open,accuracy,incorrect,3.06116772978089,-0.0156238035433492,0.0228671149827078
sub002,open,accuracy_e,correct_e,3.51986412866722,-0.193974137586739,-0.0431526230643408
sub002,open,accuracy_e,incorrect_e,3.06116772978089,-0.0156238035433492,0.0228671149827078
sub002,open,rt,fast,3.53200435649211,-0.0951577976157365,0.0171975231856195
sub002,open,rt,slow,3.23544925377312,-0.0437832171257593,0.0569168319969376
sub002,closed,accuracy,correct,4.66995464731002,0.0406831049725867,0.0167167099612678
sub002,closed,accuracy,incorrect,4.56158831421652,0.0851341490769419,0.0468496743540331
sub002,closed,accuracy_e,correct_e,4.49143621937251,0.0363171064878284,-0.0184464958011016
sub002,closed,accuracy_e,incorrect_e,4.56158831421652,0.0851341490769419,0.0468496743540331
sub002,closed,rt,fast,4.70567184691002,0.188132881758807,-0.0566512853923808
sub002,closed,rt,slow,4.64298876887847,-0.0492685714956612,0.0806141136973304
sub003,open,accuracy,correct,3.64242544703939,0.133492502853159,0.0903257162765668
sub003,open,accuracy,incorrect,3.62698379071883,0.230949881901374,-0.0501730972514304
sub003,open,accuracy_e,correct_e,3.48067091323371,0.00863255643658524,0.0880192630696135
sub003,open,accuracy_e,incorrect_e,3.62698379071883,0.230949881901374,-0.0501730972514304
sub003,open,rt,fast,3.82514064938891,0.21399399727141,0.0978632348086396
sub003,open,rt,slow,3.44731553897158,0.0744413002980622,0.0768779853699877
sub003,closed,accuracy,correct,5.22039009863738,0.0278530734223708,0.0434274402335464
sub003,closed,accuracy,incorrect,4.96102724160082,-0.101921523637108,0.0947919536427768
sub003,closed,accuracy_e,correct_e,4.9832379626206,0.0100163681862441,0.0572189668550283
sub003,closed,accuracy_e,incorrect_e,4.96102724160082,-0.101921523637108,0.0947919536427768
sub003,closed,rt,fast,5.33253293025245,0.0118849838096317,0.0277051551803477
sub003,closed,rt,slow,5.11100964940807,0.0489598163150527,0.0613699959191706
sub004,open,accuracy,correct,3.96247578578968,0.138958836681351,0.0127692964867749
sub004,open,accuracy,incorrect,4.00403424847577,0.143427618834484,0.0242354782093056
sub004,open,accuracy_e,correct_e,3.77244054692405,0.142766093678288,0.00145254952348269
sub004,open,accuracy_e,incorrect_e,4.00403424847577,0.143427618834484,0.0242354782093056
sub004,open,rt,fast,4.13090720337789,0.201995068175835,-0.0613023967091132
sub004,open,rt,slow,3.76797547789463,0.0597710625056349,0.0843298280619149
sub004,closed,accuracy,correct,6.35084468937666,0.292437504365425,0.00130208902306075
sub004,closed,accuracy,incorrect,5.83702916693178,0.158480108572945,0.176989256437296
sub004,closed,accuracy_e,correct_e,5.8554754681137,0.225611325655828,0.0767062048176457
sub004,closed,accuracy_e,incorrect_e,5.83702916693178,0.158480108572945,0.176989256437296
sub004,closed,rt,fast,6.34410284343499,0.337348110266967,-0.00311274487516321
sub004,closed,rt,slow,6.31692942303886,0.232687030313968,0.00756405713051806
sub005,open,accuracy,correct,3.42019633301363,0.303212911129453,0.00510863283018646
sub005,open,accuracy,incorrect,3.2663174575816,0.169551700155537,0.0683515491899378
sub005,open,accuracy_e,correct_e,3.47309938700846,0.36659062367614,0.037785390009943
sub005,open,accuracy_e,incorrect_e,3.2663174575816,0.169551700155537,0.0683515491899378
sub005,open,rt,fast,3.39701414527249,0.351643713953333,0.013186516183732
sub005,open,rt,slow,3.4477319268534,0.250977124017075,-0.00480567344750813
sub005,closed,accuracy,correct,6.27131583983845,-0.287695894260833,-6.85550644971168e-05
sub005,closed,accuracy,incorrect,6.06706396313387,-0.305776810004516,0.0181149141058203
sub005,closed,accuracy_e,correct_e,6.21052844969239,-0.277972643861632,0.0143710051395259
sub005,closed,accuracy_e,incorrect_e,6.06706396313387,-0.305776810004516,0.0181149141058203
sub005,closed,rt,fast,6.29677642866353,-0.260276472104355,0.037374144975625
sub005,closed,rt,slow,6.23661097787436,-0.316739465701742,-0.0520919957467322
sub006,open,accuracy,correct,3.65024751884651,0.448583457656012,0.064197184207052
sub006,open,accuracy,incorrect,3.6526757850303,0.556654284881022,0.0542736708224719
sub006,open,accuracy_e,correct_e,3.55575306493821,0.323077121527621,0.0574040170025502
sub006,open,accuracy_e,incorrect_e,3.6526757850303,0.556654284881022,0.0542736708224719
sub006,open,rt,fast,3.73351977965556,0.465642154835905,0.0780059814855957
sub006,open,rt,slow,3.59484593303795,0.461172891787512,0.0450849658329537
