sub,eye,cue,measure,window,compare,cond,value
sub001,closed,right,lat,stim500pre,rt,slow,-0.09
sub001,closed,right,bal_ip_v,stim500pre,accuracy,correct,0.032
sub001,closed,right,bal_ip_v,stim500pre,accuracy,incorrect,0.204
sub001,closed,right,bal_ip_v,stim500pre,accuracy_e,correct_e,0.012
sub001,closed,right,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.204
sub001,closed,right,bal_ip_v,stim500pre,rt,fast,-0.022
sub001,closed,right,bal_ip_v,stim500pre,rt,slow,0.1
sub001,closed,right,bal_ip_i,stim500pre,accuracy,correct,-0.009
sub001,closed,right,bal_ip_i,stim500pre,accuracy,incorrect,0.09
sub001,closed,right,bal_ip_i,stim500pre,accuracy_e,correct_e,-0.108
sub001,closed,right,bal_ip_i,stim500pre,accuracy_e,incorrect_e,0.09
sub001,closed,right,bal_ip_i,stim500pre,rt,fast,-0.037
sub001,closed,right,bal_ip_i,stim500pre,rt,slow,0.03
sub002,open,left,vis,stim500pre,accuracy,correct,1.248
sub002,open,left,vis,stim500pre,accuracy,incorrect,0.754
sub002,open,left,vis,stim500pre,accuracy_e,correct_e,0.923
sub002,open,left,vis,stim500pre,accuracy_e,incorrect_e,0.754
sub002,open,left,vis,stim500pre,rt,fast,1.201
sub002,open,left,vis,stim500pre,rt,slow,1.349
sub002,open,left,lat,stim500pre,accuracy,correct,0.091
sub002,open,left,lat,stim500pre,accuracy,incorrect,-0.19
sub002,open,left,lat,stim500pre,accuracy_e,correct_e,-0.06
sub002,open,left,lat,stim500pre,accuracy_e,incorrect_e,-0.19
sub002,open,left,lat,stim500pre,rt,fast,0.125
sub002,open,left,lat,stim500pre,rt,slow,0.065
sub002,open,left,bal_ip_v,stim500pre,accuracy,correct,0.227
sub002,open,left,bal_ip_v,stim500pre,accuracy,incorrect,0.513
sub002,open,left,bal_ip_v,stim500pre,accuracy_e,correct_e,0.242
sub002,open,left,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.513
sub002,open,left,bal_ip_v,stim500pre,rt,fast,0.227
sub002,open,left,bal_ip_v,stim500pre,rt,slow,0.245
sub002,open,left,bal_ip_i,stim500pre,accuracy,correct,-0.019
sub002,open,left,bal_ip_i,stim500pre,accuracy,incorrect,0.274
sub002,open,left,bal_ip_i,stim500pre,accuracy_e,correct_e,0.08
sub002,open,left,bal_ip_i,stim500pre,accuracy_e,incorrect_e,0.274
sub002,open,left,bal_ip_i,stim500pre,rt,fast,-0.04
sub002,open,left,bal_ip_i,stim500pre,rt,slow,0.006
sub002,open,right,vis,stim500pre,accuracy,correct,2.456
sub002,open,right,vis,stim500pre,accuracy,incorrect,1.627
sub002,open,right,vis,stim500pre,accuracy_e,correct_e,1.465
sub002,open,right,vis,stim500pre,accuracy_e,incorrect_e,1.627
sub002,open,right,vis,stim500pre,rt,fast,2.889
sub002,open,right,vis,stim500pre,rt,slow,2.098
sub002,open,right,lat,stim500pre,accuracy,correct,-0.085
sub002,open,right,lat,stim500pre,accuracy,incorrect,-0.071
sub002,open,right,lat,stim500pre,accuracy_e,correct_e,-0.095
sub002,open,right,lat,stim500pre,accuracy_e,incorrect_e,-0.071
sub002,open,right,lat,stim500pre,rt,fast,-0.054
sub002,open,right,lat,stim500pre,rt,slow,-0.111
sub002,open,right,bal_ip_v,stim500pre,accuracy,correct,0.34
sub002,open,right,bal_ip_v,stim500pre,accuracy,incorrect,0.253
sub002,open,right,bal_ip_v,stim500pre,accuracy_e,correct_e,0.347
sub002,open,right,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.253
sub002,open,right,bal_ip_v,stim500pre,rt,fast,0.395
sub002,open,right,bal_ip_v,stim500pre,rt,slow,0.287
sub002,open,right,bal_ip_i,stim500pre,accuracy,correct,0.132
sub002,open,right,bal_ip_i,stim500pre,accuracy,incorrect,0.101
sub002,open,right,bal_ip_i,stim500pre,accuracy_e,correct_e,0.138
sub002,open,right,bal_ip_i,stim500pre,accuracy_e,incorrect_e,0.101
sub002,open,right,bal_ip_i,stim500pre,rt,fast,0.136
sub002,open,right,bal_ip_i,stim500pre,rt,slow,0.124
sub002,closed,left,vis,stim500pre,accuracy,correct,3.665
sub002,closed,left,vis,stim500pre,accuracy,incorrect,2.347
sub002,closed,left,vis,stim500pre,accuracy_e,correct_e,5.738
sub002,closed,left,vis,stim500pre,accuracy_e,incorrect_e,2.347
sub002,closed,left,vis,stim500pre,rt,fast,3.912
sub002,closed,left,vis,stim500pre,rt,slow,3.502
sub002,closed,left,lat,stim500pre,accuracy,correct,0.067
sub002,closed,left,lat,stim500pre,accuracy,incorrect,0.169
sub002,closed,left,lat,stim500pre,accuracy_e,correct_e,0.046
sub002,closed,left,lat,stim500pre,accuracy_e,incorrect_e,0.169
sub002,closed,left,lat,stim500pre,rt,fast,0.087
sub002,closed,left,lat,stim500pre,rt,slow,0.036
sub002,closed,left,bal_ip_v,stim500pre,accuracy,correct,-0.078
sub002,closed,left,bal_ip_v,stim500pre,accuracy,incorrect,-0.174
sub002,closed,left,bal_ip_v,stim500pre,accuracy_e,correct_e,-0.129
sub002,closed,left,bal_ip_v,stim500pre,accuracy_e,incorrect_e,-0.174
sub002,closed,left,bal_ip_v,stim500pre,rt,fast,-0.135
sub002,closed,left,bal_ip_v,stim500pre,rt,slow,-0.028
sub002,closed,left,bal_ip_i,stim500pre,accuracy,correct,-0.148
sub002,closed,left,bal_ip_i,stim500pre,accuracy,incorrect,-0.272
sub002,closed,left,bal_ip_i,stim500pre,accuracy_e,correct_e,-0.174
sub002,closed,left,bal_ip_i,stim500pre,accuracy_e,incorrect_e,-0.272
sub002,closed,left,bal_ip_i,stim500pre,rt,fast,-0.189
sub002,closed,left,bal_ip_i,stim500pre,rt,slow,-0.1
sub002,closed,right,vis,stim500pre,accuracy,correct,2.482
sub002,closed,right,vis,stim500pre,accuracy,incorrect,1.862
sub002,closed,right,vis,stim500pre,accuracy_e,correct_e,2.239
sub002,closed,right,vis,stim500pre,accuracy_e,incorrect_e,1.862
sub002,closed,right,vis,stim500pre,rt,fast,2.65
sub002,closed,right,vis,stim500pre,rt,slow,2.25
sub002,closed,right,lat,stim500pre,accuracy,correct,-0.13
sub002,closed,right,lat,stim500pre,accuracy,incorrect,-0.027
sub002,closed,right,lat,stim500pre,accuracy_e,correct_e,-0.173
sub002,closed,right,lat,stim500pre,accuracy_e,incorrect_e,-0.027
sub002,closed,right,lat,stim500pre,rt,fast,-0.037
sub002,closed,right,lat,stim500pre,rt,slow,-0.241
sub002,closed,right,bal_ip_v,stim500pre,accuracy,correct,0.034
sub002,closed,right,bal_ip_v,stim500pre,accuracy,incorrect,-0.03
sub002,closed,right,bal_ip_v,stim500pre,accuracy_e,correct_e,0.077
sub002,closed,right,bal_ip_v,stim500pre,accuracy_e,incorrect_e,-0.03
sub002,closed,right,bal_ip_v,stim500pre,rt,fast,-0.013
sub002,closed,right,bal_ip_v,stim500pre,rt,slow,0.091
sub002,closed,right,bal_ip_i,stim500pre,accuracy,correct,-0.002
sub002,closed,right,bal_ip_i,stim500pre,accuracy,incorrect,-0.081
sub002,closed,right,bal_ip_i,stim500pre,accuracy_e,correct_e,0.054
sub002,closed,right,bal_ip_i,stim500pre,accuracy_e,incorrect_e,-0.081
sub002,closed,right,bal_ip_i,stim500pre,rt,fast,-0.077
sub002,closed,right,bal_ip_i,stim500pre,rt,slow,0.083
sub003,open,left,vis,stim500pre,accuracy,correct,2.102
sub003,open,left,vis,stim500pre,accuracy,incorrect,3.479
sub003,open,left,vis,stim500pre,accuracy_e,correct_e,3.028
sub003,open,left,vis,stim500pre,accuracy_e,incorrect_e,3.479
sub003,open,left,vis,stim500pre,rt,fast,2.329
sub003,open,left,vis,stim500pre,rt,slow,1.874
sub003,open,left,lat,stim500pre,accuracy,correct,0.365
sub003,open,left,lat,stim500pre,accuracy,incorrect,0.23
sub003,open,left,lat,stim500pre,accuracy_e,correct_e,0.339
sub003,open,left,lat,stim500pre,accuracy_e,incorrect_e,0.23
sub003,open,left,lat,stim500pre,rt,fast,0.384
sub003,open,left,lat,stim500pre,rt,slow,0.346
sub003,open,left,bal_ip_v,stim500pre,accuracy,correct,0.432
sub003,open,left,bal_ip_v,stim500pre,accuracy,incorrect,0.371
sub003,open,left,bal_ip_v,stim500pre,accuracy_e,correct_e,0.503
sub003,open,left,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.371
sub003,open,left,bal_ip_v,stim500pre,rt,fast,0.382
sub003,open,left,bal_ip_v,stim500pre,rt,slow,0.481
sub003,open,left,bal_ip_i,stim500pre,accuracy,correct,-0.186
sub003,open,left,bal_ip_i,stim500pre,accuracy,incorrect,-0.103
sub003,open,left,bal_ip_i,stim500pre,accuracy_e,correct_e,-0.142
sub003,open,left,bal_ip_i,stim500pre,accuracy_e,incorrect_e,-0.103
sub003,open,left,bal_ip_i,stim500pre,rt,fast,-0.207
sub003,open,left,bal_ip_i,stim500pre,rt,slow,-0.165
sub003,open,right,vis,stim500pre,accuracy,correct,1.822
sub003,open,right,vis,stim500pre,accuracy,incorrect,1.552
sub003,open,right,vis,stim500pre,accuracy_e,correct_e,2.562
sub003,open,right,vis,stim500pre,accuracy_e,incorrect_e,1.552
sub003,open,right,vis,stim500pre,rt,fast,0.724
sub003,open,right,vis,stim500pre,rt,slow,2.971
sub003,open,right,lat,stim500pre,accuracy,correct,-0.283
sub003,open,right,lat,stim500pre,accuracy,incorrect,-0.212
sub003,open,right,lat,stim500pre,accuracy_e,correct_e,-0.331
sub003,open,right,lat,stim500pre,accuracy_e,incorrect_e,-0.212
sub003,open,right,lat,stim500pre,rt,fast,-0.252
sub003,open,right,lat,stim500pre,rt,slow,-0.31
sub003,open,right,bal_ip_v,stim500pre,accuracy,correct,0.631
sub003,open,right,bal_ip_v,stim500pre,accuracy,incorrect,0.643
sub003,open,right,bal_ip_v,stim500pre,accuracy_e,correct_e,0.615
sub003,open,right,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.643
sub003,open,right,bal_ip_v,stim500pre,rt,fast,0.696
sub003,open,right,bal_ip_v,stim500pre,rt,slow,0.567
sub003,open,right,bal_ip_i,stim500pre,accuracy,correct,0.381
sub003,open,right,bal_ip_i,stim500pre,accuracy,incorrect,0.327
sub003,open,right,bal_ip_i,stim500pre,accuracy_e,correct_e,0.405
sub003,open,right,bal_ip_i,stim500pre,accuracy_e,incorrect_e,0.327
sub003,open,right,bal_ip_i,stim500pre,rt,fast,0.379
sub003,open,right,bal_ip_i,stim500pre,rt,slow,0.38
sub003,closed,left,vis,stim500pre,accuracy,correct,1.616
sub003,closed,left,vis,stim500pre,accuracy,incorrect,0.771
sub003,closed,left,vis,stim500pre,accuracy_e,correct_e,0.619
sub003,closed,left,vis,stim500pre,accuracy_e,incorrect_e,0.771
sub003,closed,left,vis,stim500pre,rt,fast,2.239
sub003,closed,left,vis,stim500pre,rt,slow,0.999
sub003,closed,left,lat,stim500pre,accuracy,correct,0.429
sub003,closed,left,lat,stim500pre,accuracy,incorrect,0.287
sub003,closed,left,lat,stim500pre,accuracy_e,correct_e,0.472
sub003,closed,left,lat,stim500pre,accuracy_e,incorrect_e,0.287
sub003,closed,left,lat,stim500pre,rt,fast,0.418
sub003,closed,left,lat,stim500pre,rt,slow,0.464
sub003,closed,left,bal_ip_v,stim500pre,accuracy,correct,0.17
sub003,closed,left,bal_ip_v,stim500pre,accuracy,incorrect,0.278
sub003,closed,left,bal_ip_v,stim500pre,accuracy_e,correct_e,0.175
sub003,closed,left,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.278
sub003,closed,left,bal_ip_v,stim500pre,rt,fast,0.171
sub003,closed,left,bal_ip_v,stim500pre,rt,slow,0.153
sub003,closed,left,bal_ip_i,stim500pre,accuracy,correct,-0.309
sub003,closed,left,bal_ip_i,stim500pre,accuracy,incorrect,-0.153
sub003,closed,left,bal_ip_i,stim500pre,accuracy_e,correct_e,-0.338
sub003,closed,left,bal_ip_i,stim500pre,accuracy_e,incorrect_e,-0.153
sub003,closed,left,bal_ip_i,stim500pre,rt,fast,-0.308
sub003,closed,left,bal_ip_i,stim500pre,rt,slow,-0.334
sub003,closed,right,vis,stim500pre,accuracy,correct,0.748
sub003,closed,right,vis,stim500pre,accuracy,incorrect,0.602
sub003,closed,right,vis,stim500pre,accuracy_e,correct_e,0.772
sub003,closed,right,vis,stim500pre,accuracy_e,incorrect_e,0.602
sub003,closed,right,vis,stim500pre,rt,fast,0.995
sub003,closed,right,vis,stim500pre,rt,slow,0.501
sub003,closed,right,lat,stim500pre,accuracy,correct,-0.312
sub003,closed,right,lat,stim500pre,accuracy,incorrect,-0.185
sub003,closed,right,lat,stim500pre,accuracy_e,correct_e,-0.329
sub003,closed,right,lat,stim500pre,accuracy_e,incorrect_e,-0.185
sub003,closed,right,lat,stim500pre,rt,fast,-0.3
sub003,closed,right,lat,stim500pre,rt,slow,-0.323
sub003,closed,right,bal_ip_v,stim500pre,accuracy,correct,0.54
sub003,closed,right,bal_ip_v,stim500pre,accuracy,incorrect,0.469
sub003,closed,right,bal_ip_v,stim500pre,accuracy_e,correct_e,0.638
sub003,closed,right,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.469
sub003,closed,right,bal_ip_v,stim500pre,rt,fast,0.472
sub003,closed,right,bal_ip_v,stim500pre,rt,slow,0.607
sub003,closed,right,bal_ip_i,stim500pre,accuracy,correct,0.376
sub003,closed,right,bal_ip_i,stim500pre,accuracy,incorrect,0.248
sub003,closed,right,bal_ip_i,stim500pre,accuracy_e,correct_e,0.424
sub003,closed,right,bal_ip_i,stim500pre,accuracy_e,incorrect_e,0.248
sub003,closed,right,bal_ip_i,stim500pre,rt,fast,0.347
sub003,closed,right,bal_ip_i,stim500pre,rt,slow,0.406
sub004,open,left,vis,stim500pre,accuracy,correct,1.302
sub004,open,left,vis,stim500pre,accuracy,incorrect,0.49
sub004,open,left,vis,stim500pre,accuracy_e,correct_e,0.419
sub004,open,left,vis,stim500pre,accuracy_e,incorrect_e,0.49
sub004,open,left,vis,stim500pre,rt,fast,1.59
sub004,open,left,vis,stim500pre,rt,slow,1.015
sub004,open,left,lat,stim500pre,accuracy,correct,-0.437
sub004,open,left,lat,stim500pre,accuracy,incorrect,-0.578
sub004,open,left,lat,stim500pre,accuracy_e,correct_e,-0.512
sub004,open,left,lat,stim500pre,accuracy_e,incorrect_e,-0.578
sub004,open,left,lat,stim500pre,rt,fast,-0.417
sub004,open,left,lat,stim500pre,rt,slow,-0.456
sub004,open,left,bal_ip_v,stim500pre,accuracy,correct,0.484
sub004,open,left,bal_ip_v,stim500pre,accuracy,incorrect,0.462
sub004,open,left,bal_ip_v,stim500pre,accuracy_e,correct_e,0.518
sub004,open,left,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.462
sub004,open,left,bal_ip_v,stim500pre,rt,fast,0.481
sub004,open,left,bal_ip_v,stim500pre,rt,slow,0.487
sub004,open,left,bal_ip_i,stim500pre,accuracy,correct,0.414
sub004,open,left,bal_ip_i,stim500pre,accuracy,incorrect,0.442
sub004,open,left,bal_ip_i,stim500pre,accuracy_e,correct_e,0.466
sub004,open,left,bal_ip_i,stim500pre,accuracy_e,incorrect_e,0.442
sub004,open,left,bal_ip_i,stim500pre,rt,fast,0.407
sub004,open,left,bal_ip_i,stim500pre,rt,slow,0.421
sub004,open,right,vis,stim500pre,accuracy,correct,1.491
sub004,open,right,vis,stim500pre,accuracy,incorrect,3.217
sub004,open,right,vis,stim500pre,accuracy_e,correct_e,0.708
sub004,open,right,vis,stim500pre,accuracy_e,incorrect_e,3.217
sub004,open,right,vis,stim500pre,rt,fast,2.123
sub004,open,right,vis,stim500pre,rt,slow,0.889
sub004,open,right,lat,stim500pre,accuracy,correct,0.438
