sub,eyes,measure,roi,cond,compare,band,value
sub003,open,absolute,Brodmann area 19,incorrect,accuracy,alpha,2.21638241527703e-06
sub003,open,absolute,Brodmann area 19,correct_e,accuracy_e,alpha,2.13112884125058e-06
sub003,open,absolute,Brodmann area 19,incorrect_e,accuracy_e,alpha,2.21638241527703e-06
sub003,open,absolute,Brodmann area 19,fast,rt,alpha,2.41598102249194e-06
sub003,open,absolute,Brodmann area 19,slow,rt,alpha,1.84545242662633e-06
sub003,closed,visual power,Brodmann area 17,correct,accuracy,alpha,0.151278991533949
sub003,closed,visual power,Brodmann area 17,incorrect,accuracy,alpha,-0.119061966110433
sub003,closed,visual power,Brodmann area 17,correct_e,accuracy_e,alpha,0.163667149473787
sub003,closed,visual power,Brodmann area 17,incorrect_e,accuracy_e,alpha,-0.119061966110433
sub003,closed,visual power,Brodmann area 17,fast,rt,alpha,-0.00264111073679285
sub003,closed,visual power,Brodmann area 17,slow,rt,alpha,0.300303221329653
sub003,closed,visual power,Brodmann area 18,correct,accuracy,alpha,0.0683468810952421
sub003,closed,visual power,Brodmann area 18,incorrect,accuracy,alpha,0.068698975229221
sub003,closed,visual power,Brodmann area 18,correct_e,accuracy_e,alpha,0.167763066938761
sub003,closed,visual power,Brodmann area 18,incorrect_e,accuracy_e,alpha,0.068698975229221
sub003,closed,visual power,Brodmann area 18,fast,rt,alpha,-0.111171186223699
sub003,closed,visual power,Brodmann area 18,slow,rt,alpha,0.266639123245675
sub003,closed,visual power,Brodmann area 19,correct,accuracy,alpha,-0.0129098896923844
sub003,closed,visual power,Brodmann area 19,incorrect,accuracy,alpha,0.251315239346376
sub003,closed,visual power,Brodmann area 19,correct_e,accuracy_e,alpha,-0.106122414453768
sub003,closed,visual power,Brodmann area 19,incorrect_e,accuracy_e,alpha,0.251315239346376
sub003,closed,visual power,Brodmann area 19,fast,rt,alpha,-0.0920637078369024
sub003,closed,visual power,Brodmann area 19,slow,rt,alpha,0.0371967874416201
sub003,closed,somato lateralisation index,max,correct,accuracy,alpha,0.0723773010066888
sub003,closed,somato lateralisation index,max,incorrect,accuracy,alpha,0.0323319140357538
sub003,closed,somato lateralisation index,max,correct_e,accuracy_e,alpha,0.140490084194958
sub003,closed,somato lateralisation index,max,incorrect_e,accuracy_e,alpha,0.0323319140357538
sub003,closed,somato lateralisation index,max,fast,rt,alpha,0.0272724097252324
sub003,closed,somato lateralisation index,max,slow,rt,alpha,0.0954119470038128
sub003,closed,absolute,Brodmann area 17,correct,accuracy,alpha,1.21094375715588e-05
sub003,closed,absolute,Brodmann area 17,incorrect,accuracy,alpha,1.18157163196322e-05
sub003,closed,absolute,Brodmann area 17,correct_e,accuracy_e,alpha,1.17077378360529e-05
sub003,closed,absolute,Brodmann area 17,incorrect_e,accuracy_e,alpha,1.18157163196322e-05
sub003,closed,absolute,Brodmann area 17,fast,rt,alpha,1.07028825305075e-05
sub003,closed,absolute,Brodmann area 17,slow,rt,alpha,1.32358059964151e-05
sub003,closed,absolute,Brodmann area 18,correct,accuracy,alpha,6.72295889755555e-06
sub003,closed,absolute,Brodmann area 18,incorrect,accuracy,alpha,7.85999389961506e-06
sub003,closed,absolute,Brodmann area 18,correct_e,accuracy_e,alpha,6.46060454058588e-06
