sub,eyes,measure,roi,cond,compare,window,peak,band,value
sub001,open,visual power,Brodmann,correct,accuracy,500pre,source,beta,0.045975975606421
sub001,open,visual power,Brodmann,incorrect,accuracy,500pre,source,beta,0.0303584656713931
sub001,open,visual power,Brodmann,correct_e,accuracy_e,500pre,source,beta,0.259174655792847
sub001,open,visual power,Brodmann,incorrect_e,accuracy_e,500pre,source,beta,0.0303584656713931
sub001,open,visual power,Brodmann,fast,rt,500pre,source,beta,0.055298754351085
sub001,open,visual power,Brodmann,slow,rt,500pre,source,beta,0.0677898394406793
sub001,open,auditory power,max,correct,accuracy,500pre,source,beta,-0.0704947321877419
sub001,open,auditory power,max,incorrect,accuracy,500pre,source,beta,-0.305155703320686
sub001,open,auditory power,max,correct_e,accuracy_e,500pre,source,beta,-0.18876275972861
sub001,open,auditory power,max,incorrect_e,accuracy_e,500pre,source,beta,-0.305155703320686
sub001,open,auditory power,max,fast,rt,500pre,source,beta,0.0208729704122182
sub001,open,auditory power,max,slow,rt,500pre,source,beta,-0.166154570490877
sub001,open,somato lateralisation index,max,correct,accuracy,500pre,source,beta,-0.00819796131147639
sub001,open,somato lateralisation index,max,incorrect,accuracy,500pre,source,beta,-0.0980274969885592
sub001,open,somato lateralisation index,max,correct_e,accuracy_e,500pre,source,beta,-0.253202944590459
sub001,open,somato lateralisation index,max,incorrect_e,accuracy_e,500pre,source,beta,-0.0980274969885592
sub001,open,somato lateralisation index,max,fast,rt,500pre,source,beta,0.00993029976413818
sub001,open,somato lateralisation index,max,slow,rt,500pre,source,beta,0.0109462931280843
sub001,open,somatovisual balance,max-Brodmann,correct,accuracy,500pre,source,beta,0.790360323682947
sub001,open,somatovisual balance,max-Brodmann,incorrect,accuracy,500pre,source,beta,0.804655862071712
sub001,open,somatovisual balance,max-Brodmann,correct_e,accuracy_e,500pre,source,beta,0.819818705973641
sub001,open,somatovisual balance,max-Brodmann,incorrect_e,accuracy_e,500pre,source,beta,0.804655862071712
sub001,open,somatovisual balance,max-Brodmann,fast,rt,500pre,source,beta,0.800723057271014
sub001,open,somatovisual balance,max-Brodmann,slow,rt,500pre,source,beta,0.760680924639616
sub001,open,auditory lateralisation index,max,correct,accuracy,500pre,source,beta,-0.0811146268564315
sub001,open,auditory lateralisation index,max,incorrect,accuracy,500pre,source,beta,0.258122000665278
sub001,open,auditory lateralisation index,max,correct_e,accuracy_e,500pre,source,beta,-0.0233242782343144
sub001,open,auditory lateralisation index,max,incorrect_e,accuracy_e,500pre,source,beta,0.258122000665278
sub001,open,auditory lateralisation index,max,fast,rt,500pre,source,beta,0.0222597772325493
sub001,open,auditory lateralisation index,max,slow,rt,500pre,source,beta,-0.177597101744276
sub001,closed,visual power,Brodmann,correct,accuracy,500pre,source,beta,-0.181728669587623
sub001,closed,visual power,Brodmann,incorrect,accuracy,500pre,source,beta,-0.193471976949253
sub001,closed,visual power,Brodmann,correct_e,accuracy_e,500pre,source,beta,-0.104397728535323
sub001,closed,visual power,Brodmann,incorrect_e,accuracy_e,500pre,source,beta,-0.193471976949253
sub001,closed,visual power,Brodmann,fast,rt,500pre,source,beta,-0.158487870173806
sub001,closed,visual power,Brodmann,slow,rt,500pre,source,beta,-0.165174722174921
sub001,closed,auditory power,max,correct,accuracy,500pre,source,beta,0.0709310190038727
sub001,closed,auditory power,max,incorrect,accuracy,500pre,source,beta,-0.0387465633786683
sub001,closed,auditory power,max,correct_e,accuracy_e,500pre,source,beta,0.308550979681359
