sub,eyes,measure,roi,cond,compare,value
sub003,open,absolute,v1,incorrect,accuracy,4.07084494502362
sub003,open,absolute,v1,correct_e,accuracy_e,3.86669711222039
sub003,open,absolute,v1,incorrect_e,accuracy_e,4.07084494502362
sub003,open,absolute,v1,fast,rt,4.18793459115414
sub003,open,absolute,v1,slow,rt,3.75474875399895
sub003,closed,visual power,v1,correct,accuracy,-0.044231584934933
sub003,closed,visual power,v1,incorrect,accuracy,-0.067544727925605
sub003,closed,visual power,v1,correct_e,accuracy_e,-0.0687564904353271
sub003,closed,visual power,v1,incorrect_e,accuracy_e,-0.067544727925605
sub003,closed,visual power,v1,fast,rt,-0.124898249279614
sub003,closed,visual power,v1,slow,rt,-0.0194728470583988
sub003,closed,somato lateralisation index,max,correct,accuracy,0.0352681867723254
sub003,closed,somato lateralisation index,max,incorrect,accuracy,0.162634983939513
sub003,closed,somato lateralisation index,max,correct_e,accuracy_e,0.123931970932093
sub003,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.162634983939513
sub003,closed,somato lateralisation index,max,fast,rt,-0.0711779919215504
sub003,closed,somato lateralisation index,max,slow,rt,0.130600404190964
sub003,closed,absolute,v1,correct,accuracy,3.95973455896426
sub003,closed,absolute,v1,incorrect,accuracy,3.84027122626197
sub003,closed,absolute,v1,correct_e,accuracy_e,4.07136426634171
sub003,closed,absolute,v1,incorrect_e,accuracy_e,3.84027122626197
sub003,closed,absolute,v1,fast,rt,4.14122989124753
sub003,closed,absolute,v1,slow,rt,3.78200743026585
sub004,open,visual power,v1,correct,accuracy,0.164705292156715
sub004,open,visual power,v1,incorrect,accuracy,0.308141078895465
sub004,open,visual power,v1,correct_e,accuracy_e,-0.00509615055906223
sub004,open,visual power,v1,incorrect_e,accuracy_e,0.308141078895465
sub004,open,visual power,v1,fast,rt,0.253402202505129
sub004,open,visual power,v1,slow,rt,0.147895399013886
sub004,open,somato lateralisation index,max,correct,accuracy,0.173750778583038
sub004,open,somato lateralisation index,max,incorrect,accuracy,0.158517208359037
sub004,open,somato lateralisation index,max,correct_e,accuracy_e,0.0271245834228395
sub004,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.158517208359037
sub004,open,somato lateralisation index,max,fast,rt,0.338517785127135
sub004,open,somato lateralisation index,max,slow,rt,0.0281715300025161
sub004,open,absolute,v1,correct,accuracy,2.85479555477169
sub004,open,absolute,v1,incorrect,accuracy,2.79170676694648
sub004,open,absolute,v1,correct_e,accuracy_e,2.85919559858349
sub004,open,absolute,v1,incorrect_e,accuracy_e,2.79170676694648
sub004,open,absolute,v1,fast,rt,2.80057619016822
sub004,open,absolute,v1,slow,rt,2.91633139303816
sub004,closed,visual power,v1,correct,accuracy,0.269451062401119
sub004,closed,visual power,v1,incorrect,accuracy,0.224443744944508
sub004,closed,visual power,v1,correct_e,accuracy_e,0.0714007287936607
sub004,closed,visual power,v1,incorrect_e,accuracy_e,0.224443744944508
sub004,closed,visual power,v1,fast,rt,0.329026099409308
sub004,closed,visual power,v1,slow,rt,0.189136689059572
sub004,closed,somato lateralisation index,max,correct,accuracy,0.108776725892975
sub004,closed,somato lateralisation index,max,incorrect,accuracy,0.134220748830475
sub004,closed,somato lateralisation index,max,correct_e,accuracy_e,-0.0682807508047819
sub004,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.134220748830475
sub004,closed,somato lateralisation index,max,fast,rt,0.0863123383816474
sub004,closed,somato lateralisation index,max,slow,rt,0.103533656358056
sub004,closed,absolute,v1,correct,accuracy,2.94936339857136
sub004,closed,absolute,v1,incorrect,accuracy,2.91742683780433
sub004,closed,absolute,v1,correct_e,accuracy_e,2.87638841431138
sub004,closed,absolute,v1,incorrect_e,accuracy_e,2.91742683780433
sub004,closed,absolute,v1,fast,rt,3.12865219808581
sub004,closed,absolute,v1,slow,rt,2.79361920310173
sub005,open,visual power,v1,correct,accuracy,0.359360152332539
sub005,open,visual power,v1,incorrect,accuracy,0.170344293045045
sub005,open,visual power,v1,correct_e,accuracy_e,0.2337665738795
sub005,open,visual power,v1,incorrect_e,accuracy_e,0.170344293045045
sub005,open,visual power,v1,fast,rt,0.299554042364933
sub005,open,visual power,v1,slow,rt,0.4627436406903
sub005,open,somato lateralisation index,max,correct,accuracy,-0.0156756583672463
sub005,open,somato lateralisation index,max,incorrect,accuracy,0.0946177673503833
sub005,open,somato lateralisation index,max,correct_e,accuracy_e,0.0789292551165024
sub005,open,somato lateralisation index,max,incorrect_e,accuracy_e,0.0946177673503833
sub005,open,somato lateralisation index,max,fast,rt,0.0661503833661953
sub005,open,somato lateralisation index,max,slow,rt,-0.115112757667989
sub005,open,absolute,v1,correct,accuracy,3.03374386995253
sub005,open,absolute,v1,incorrect,accuracy,3.26389235057256
sub005,open,absolute,v1,correct_e,accuracy_e,2.82216268662279
sub005,open,absolute,v1,incorrect_e,accuracy_e,3.26389235057256
sub005,open,absolute,v1,fast,rt,2.8083316077796
sub005,open,absolute,v1,slow,rt,3.28777355489334
sub005,closed,visual power,v1,correct,accuracy,-0.353222437106898
sub005,closed,visual power,v1,incorrect,accuracy,-0.385921518865889
sub005,closed,visual power,v1,correct_e,accuracy_e,-0.382355424375307
sub005,closed,visual power,v1,incorrect_e,accuracy_e,-0.385921518865889
sub005,closed,visual power,v1,fast,rt,-0.336670644249783
sub005,closed,visual power,v1,slow,rt,-0.36174306896227
sub005,closed,somato lateralisation index,max,correct,accuracy,-0.0647801053737759
sub005,closed,somato lateralisation index,max,incorrect,accuracy,0.0102481863617997
sub005,closed,somato lateralisation index,max,correct_e,accuracy_e,-0.0486609983616184
sub005,closed,somato lateralisation index,max,incorrect_e,accuracy_e,0.0102481863617997
sub005,closed,somato lateralisation index,max,fast,rt,-0.0509037701591236
sub005,closed,somato lateralisation index,max,slow,rt,-0.0846271276698439
sub005,closed,absolute,v1,correct,accuracy,3.10721661325735
sub005,closed,absolute,v1,incorrect,accuracy,3.17296511516348
sub005,closed,absolute,v1,correct_e,accuracy_e,3.250931282279
sub005,closed,absolute,v1,incorrect_e,accuracy_e,3.17296511516348
sub005,closed,absolute,v1,fast,rt,3.22890620637724
sub005,closed,absolute,v1,slow,rt,2.98709128038047
sub006,open,visual power,v1,correct,accuracy,0.487031120950669
sub006,open,visual power,v1,incorrect,accuracy,0.288368081263285
