cl_fa,cl_sl,op_fa,op_sl
2.84865710369538e-05,2.85429347444079e-05,1.62287189552398e-05,1.77513616108455e-05
1.13680611843015e-05,1.38796730359596e-05,3.09381148211598e-06,2.97133366277728e-06
9.9051415898024e-06,9.21702013954005e-06,4.73121050301348e-06,4.08565411163135e-06
9.09055446956073e-06,1.00938606198909e-05,4.18198564388215e-06,3.98002211083322e-06
9.62023197455912e-06,8.55546042601006e-06,3.47721220124121e-06,3.15396472253034e-06
6.7146464496266e-06,6.43065129916778e-06,5.02621917608535e-06,5.72264370556204e-06
3.59875171311659e-07,3.19652780429874e-07,1.38795424596352e-07,1.68021091418301e-07
8.55337947495382e-06,7.85962253653056e-06,7.80868842539427e-06,9.33252317024258e-06
1.66109699139995e-05,1.53774454510663e-05,9.94803595522548e-06,1.11769780252783e-05
2.7155503836745e-05,2.8800545887358e-05,1.33708041415767e-05,1.19588208673287e-05
7.87012773302415e-06,7.945711724279e-06,6.6410126831191e-06,6.8403901380729e-06
1.86633445103023e-05,1.8919350329188e-05,1.06806364751924e-05,8.2170702408481e-06
6.74708337131175e-06,6.5108282280053e-06,2.81480156320456e-06,2.11731368071216e-06
1.18367701095751e-06,1.3366564057895e-06,2.31434790567815e-06,2.48499406227957e-06
4.66715683770005e-06,4.33346353935808e-06,4.1575315359352e-06,4.90055103461872e-06
5.95154509185577e-06,5.12937586918103e-06,3.51072697145102e-06,2.99878984304426e-06
1.20990470272872e-05,1.21676659733843e-05,4.07192029779912e-06,3.58290492895747e-06
6.48524738466891e-06,5.20851408324551e-06,3.5353229634401e-06,3.7020523920422e-06
4.71966514048058e-06,4.20989682662245e-06,1.78590727613266e-06,1.71702607608727e-06
6.9519558265877e-06,6.61305998750476e-06,1.72339676794227e-06,1.41124379626164e-06
4.13395216100255e-06,4.15712392096163e-06,2.33308118105367e-06,2.31579348104562e-06
7.74457006713279e-06,7.07490688011999e-06,5.40923895330419e-06,5.07597413998546e-06
9.80013984825648e-06,8.75065056663357e-06,2.51803608368252e-06,2.78656822275632e-06
2.22284655866993e-06,1.54872207223619e-06,6.58195007983314e-07,7.32844971651591e-07
9.6553999914184e-06,8.29110353894437e-06,2.46346263405494e-06,2.68366988444576e-06
1.41274004867584e-05,1.22053693223809e-05,1.09793497722165e-05,9.64468918309797e-06
8.31389434643432e-06,8.46285618695118e-06,4.34164142739287e-06,3.69943058133146e-06
1.5316877385254e-05,1.63969772378043e-05,4.79681236569155e-06,4.21586551268097e-06
7.17408834058348e-06,7.63294843941487e-06,3.13803044966683e-06,2.68796209954607e-06
2.03138483118902e-05,1.52894547781831e-05,1.13720356888391e-05,1.25661942675751e-05
2.26841963031281e-05,2.17350512977481e-05,1.08193947315863e-05,1.07802038568401e-05
3.20720622343268e-05,2.70652860316468e-05,1.54748977229004e-05,1.21446407609851e-05
2.30261874087617e-05,2.12384749686586e-05,1.06764180184116e-05,1.0023675671977e-05
